route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
native-row	#468	a41f81466f85d52597c97b41505756a8860698d0	claims/lemmas/L-91377-full-mobius-row-has-the-exact-native-capacity-and-benchmark.md	L-91377	Exact native ordinary/detail/score dictionary	UNCONDITIONAL THEOREM	VERIFIED	retained	ROUTE INFRASTRUCTURE	finite convolution	exact normalization		retain	no positivity claimed
native-dual	#468	a41f81466f85d52597c97b41505756a8860698d0	claims/lemmas/L-91378-radix-four-dual-diagonalizes-the-native-endpoint-deficit.md	L-91378	Native deficit is positive Y4-weighted detail slack	UNCONDITIONAL THEOREM	VERIFIED	retained	ROUTE INFRASTRUCTURE	carry identity	exact finite dual		retain	
root-hall	shared	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91690-factor67-target-hall-is-a-source-owned-root-thinning.md	L-91690	Target residual and nonnegative row bonus	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	retained	CONDITIONAL IMPLICATION	directed Hall/profile inputs	target/row equality; score superordination		retain narrow	not a complete positive score packet
pr499	#499	99d3983b57f82941131caa8d9c36e4947f1179a0	claims/lemmas/L-91820-positive-compact-hall-rough-inner-colour-fibre.md	L-91820	Target-null Hall bonus is a complete positive typed packet	PROPOSED COMPLETE THEOREM	FALSE	current	RH-BEARING PRODUCER	L-91690; packet cone	row-only nonnegative bonus	20260815-pr499-target-null-hall-packet-obstruction	request changes	exact Hall edge score is negative at x=2
pr499	#499	99d3983b57f82941131caa8d9c36e4947f1179a0	claims/lemmas/L-91821-whole-cell-integration-and-one-labelled-quantizer.md	L-91821	One positive complete fibre integrates to one row	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	current	RH-BEARING PRODUCER	L-91820	formal integration/quantizer after valid fibre		block	input fibre fails complete typing
pr499	#499	99d3983b57f82941131caa8d9c36e4947f1179a0	claims/lemmas/L-91822-all-column-nonnegative-response-complements.md	L-91822	All ordinary/detail complements nonnegative	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	current	CONDITIONAL IMPLICATION	L-91821; all-column inputs	capacity arithmetic conditional on d_X		retain conditional	
pr499	#499	99d3983b57f82941131caa8d9c36e4947f1179a0	claims/lemmas/L-91823-direct-native-y4-cost-of-response-complement.md	L-91823	Native cost O(log X)	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	current	CONDITIONAL IMPLICATION	L-91822; sparse Y4	cost arithmetic conditional on producer		retain conditional	
pr499	#499	99d3983b57f82941131caa8d9c36e4947f1179a0	claims/theorems/T-91821-positive-common-parent-response-complement-proposal.md	T-91821	Full proposal to RH	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	current	PROPOSED COMPLETE THEOREM	L-91820--23; endpoint consumer	conditional chain only		request changes	RH unproved
pr499	#499	99d3983b57f82941131caa8d9c36e4947f1179a0	advertised manifests	repro-499	Three advertised SHA256 manifests exist	ROUTE INFRASTRUCTURE	FALSE	current	DISCOVERY ONLY	remote file readback	none		add manifests	all three returned 404
pr500	#500	d73c1e7a1a482cac31581211a84db43cc34c824e	claims/lemmas/L-91850-source-owned-physical-coupling-compiler.md	L-91850	Abstract Hall-causal-physical coupling theorem	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	ROUTE INFRASTRUCTURE	stated positive kernels	abstract marginal theorem		retain	hypotheses do the work
pr500	#500	d73c1e7a1a482cac31581211a84db43cc34c824e	claims/lemmas/L-91851-factor67-one-shot-is-one-coupling-output-marginal.md	L-91851	Actual factor-67 row is output of one live coupling	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	current	RH-BEARING PRODUCER	L-91850 and frozen imports	operation schema		request exact Gamma_X	actual kernels/marginals not constructed
pr500	#500	d73c1e7a1a482cac31581211a84db43cc34c824e	claims/lemmas/L-91852-complete-cells-one-quantizer-and-discard-marginal.md	L-91852	Tagged cells, one quantizer and discard contract	UNCONDITIONAL THEOREM	VERIFIED	current	ROUTE INFRASTRUCTURE	Markov kernel assumptions	interface theorem		retain	
pr500	#500	d73c1e7a1a482cac31581211a84db43c34c824e	claims/lemmas/L-91853-physical-coupling-native-slack-cost-below-60989.md	L-91853	Native root cost below 60989	CONDITIONAL IMPLICATION	VERIFIED WITH FIXEScurrent	CONDITIONAL IMPLICATION	live row; inherited constants	cost arithmetic conditional on producer		retain conditional	
pr500	#500	d73c1e7a1a482cac31581211a84db43cc34c824e	experiments/X-91850-physical-coupling/physical_coupling.py	X-91850	Replay instantiates live arithmetic coupling	DISCOVERY ONLY	EMPIRICAL ONLY	current	DISCOVERY ONLY	synthetic/random fixtures	abstract schema regression		do not promote	imports not read; owner validator rejects valid many-to-one map
pr500	#500	d73c1e7a1a482cac31581211a84db43cc34c824e	claims/theorems/T-91850-physical-factor67-reconstruction-candidate.md	T-91850	Full proposal to RHPROPOSED COMPLETE THEOREM	UNPROVEN / GAP	current	PROPOSED COMPLETE THEOREM	L-91850--53; endpoint consumer	conditional chain only		request changes	RH unproved
