claim	statement_scope	consumed_scope	status	firewall
R-98800	x=2 Hall edge score	type boundary	VERIFIED EXACT	bonus has no declared score
L-91690	compact P61 root Hall	root only	FROZEN INPUT	no stopped-leaf Hall
L-98800	two-sort compact fibre	root source+row	PROPOSED COMPLETE	bonus current-only
L-98801	residual causal split	actual target mass	PROPOSED COMPLETE	bonus excluded
L-98802	endpoint integration/quantizer	one live common kernel	OPEN INTERFACE	PR #521 JNTLC/live marginal not instantiated
L-91733	all-column mismatch	q>=2	FROZEN INPUT	no cutoff atom
L-98803	native response complement	same q/4q row	CONDITIONAL	depends on open L-98802
L-91378	native Y4 dual	actual final slack	FROZEN EXACT	no continuum benchmark
L-98804	hereditary native cost	unit-mass live envelope	OPEN INTERFACE	60989 ledger not derived for live object
T-91313	endpoint deficit consumer	one-sided upper bound	FROZEN CONDITIONAL	producer first
T-98800	full composition	RH candidate	PROPOSED / REVIEW REQUIRED	RH unproved
