semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
Q4.CARRY_FOURIER_CORE	q4	Every finite carry field has an exact sine-transform and inverse-discrete-Laplacian energy representation.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90411-exact-carry-fourier-inverse-laplacian.md	L-90411	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite carry fields	exact finite Fourier/Green identity	Use path-qualified semantic IDs because PR #383 reuses numerical claim IDs.	Low additive modes remain source-sensitive.	standalone coordinate theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	C independently path-pinned the recovered Q4 dust.	
Q4.HAAR_FINE_SCALE	q4	The compact-Q4 carry field is an exact reflected discrete bridge; all fine Haar scales close at PIG size.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md	L-90416(path-qualified)	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite endpoint; Haar scales <=sqrt(N)	exact finite reduction	Do not conflate with the distinct Brownian-bridge file sharing L-90416.	Mean and coarse coefficients remain open.	standalone theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Duplicate numerical IDs are resolved by exact paths.	
Q4.JORDAN_PERIODIZED	q4	Complete residue averaging yields the exact Jordan-2 GCD-square covariance model.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90417-complete-residue-carry-covariance-is-a-jordan2-gcd-square.md	L-90417(path-qualified)	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	complete periodized residue ensemble	exact covariance factorization	Keep the periodized ensemble distinct from the actual fixed-endpoint measure.	Fixed-endpoint incomplete-period transfer remains open.	standalone periodized theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The exact local model survives without yielding PIG.	
Q4.FOURTEEN_ROW_RENEWAL	q4	The phase-locked factor-16 source has an exact fourteen-row image and corrected one-state Mobius renewal.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md|claims/lemmas/L-90430-normalized-phase-filtered-mobius-renewal.md	L-90427(path-qualified)/L-90430	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite row compression	finite-row and renewal identities	Retain the u_1 term, column-one gauge, and factor-two spectral correction.	The renewal is noncontractive and proves no sign.	standalone corrected identities			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Only the corrected path-qualified versions survive.	
Q4.FOURIER_GOLDBACH	q4	Q4 compact innovation energy has an exact singular cosine-antiderivative and weighted radix-four Goldbach normal form.	386	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	L-90703	B:OMITTED	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite/local arithmetic normal form	exact algebraic reduction	Keep the source-specific low-frequency/Goldbach cancellation open and distinguish the exact norm-loss no-go.	Transfer to the exact physical measure and signed low-frequency cancellation remain open.	standalone exact normal form			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Reviewer C final pass pinned the exact theorem path and its scope.	A local arithmetic reduction, not PIG or RH.
Q4.POSITIVE_DIVISOR_COMPILER	q4	The scale-four inverse has positive coefficients and an exact coefficient-one descending divisor Markov compiler; the source-free reciprocal shortcut is false.	540	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md|claims/refutations/R-95050-no-source-free-linear-transfer-from-a-log-derivative-to-its-reciprocal.md	L-95050/R-95050	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	multiplicative source compiler	Euler-factor theorem and no-go	Do not infer additive critical capacity from macroscopically large positive mass.	Source-specific additive carry estimate remains open.	standalone theorem and firewall			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	C's follow-up resolves the earlier omitted-result provenance defect.	
Q4.ANNULAR.TYPE_I_II	q4	The factor-1024 safe annularization, ten exact bands, and source-preserving Type-I/II normal forms are exact.	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md|claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md|claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	L-95400/L-95401/L-95402	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	finite annular packet and declared sectors	filter/kernel/reduction theorem	Pin exact kernel certificate, boundary ownership, cutoffs, and distinguish compact log support from compact Fourier support.	Balanced coprime Type-II correlation remains open.	strong standalone reduction			LIGHT_KERNEL_REPLAY; BROAD_SCAN_NOT_RERUN	CANONICALIZE_WITH_FIXES	The exact reduction is distinct from the open sign.	
OPEN.Q4.SACF	q4	The absolute-polylog balanced separated coprime Type-II correlation satisfies the declared SACF bound.	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/theorems/T-95400-annular-separated-coprime-focc-is-the-exact-q4-gate.md	SACF	B:OPEN_RH_EQUIVALENT	A×B:WEAKEN_TO_OPEN_SUFFICIENT	C:FOLLOWUP_CONFIRMS	OPEN_SUFFICIENT_FOR_RH	declared finite annular packet	open sufficient estimate		OPEN.Q4.SACF	sufficient for RH; not proved equivalent in PR #580			NOT_APPLICABLE	REGISTER_OPEN_CUT	The later UOSACF, not SACF, has the proved converse.	
OPEN.Q4.UOSACF	q4	The one-sided subpower annular coefficient estimate UOSACF holds.	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95600-uosacf-is-equivalent-to-rh.md	L-95600/UOSACF	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CONTROLLING	OPEN_RH_EQUIVALENT	canonical one-sided annular criterion	RH-equivalent criterion		OPEN.Q4.UOSACF	equivalent to RH			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	This is the controlling Q4 terminal classification.	
Q4.FILTER.EXHAUSTION	q4	Subpower-invertible finite filters preserve UOSACF; finite-filter weakening is exhausted.	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95601-subpower-invertible-filters-preserve-the-q4-criterion.md	L-95601	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:CONTROLLING	VERIFIED_WITH_FIXES	declared endpoint spaces and subpower-invertible filters	filter invariance theorem	State exact normalization, endpoint spaces, and inverse costs.	No finite filter proves UOSACF.	classification theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	This prevents repeated finite-filter reattacks.	
Q4.FILTER.CRITICAL_ZERO_BARRIER	q4	Boundary moments can be added at polylogarithmic cost, but an extra zero at z=1/2 forces power-sized inverse cost.	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/lemmas/L-95520-safe-zero-moment-tower-for-q4.md|claims/refutations/R-95520-polylog-stable-filters-cannot-add-safe-line-zero.md	L-95520/R-95520	B:PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED	VERIFIED	finite dyadic filters	filter barrier	State the finite-filter/inverse-cost class exactly.	Only nonfinite or source-sensitive signed mechanisms remain.	standalone stable-filter no-go			NOT_APPLICABLE	CANONICALIZE_RESULT_AND_REFUTATION	Reviewer C final pass pinned and completed the filter-barrier review.	Boundary moments are cheap; another z=1/2 zero is power-costly.
