packet_id	source_key	pr	commit	path	git_blob	reading_depth	execution	source_url	scope_note
HT	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares/PROOF.md	2ee61d78b5bcf8e06de973f7e29634112c37e1a9	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
AN	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/annular-scalar-route/PROOF.md	0f1b21227d064e61f4f532d9025c78106baa688e	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/annular-scalar-route/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
ES	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/euler-tail-stability/PROOF.md	24ebe2ccf09d26e773a0071c6b335bcaff2b4b3d	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/euler-tail-stability/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
FM	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt/PROOF_ATTEMPT.md	d1769ac602ce228f29885b541cd27108ad182018	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt/PROOF_ATTEMPT.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
PC	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count/PROOF.md	d74f2d0fc75ffedd53198f7b12b5bcbbdba8b6c5	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
SS	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap/PROOF.md	046a12cd9233aa7d8a9a3a5d4d4c64a67d4207be	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
MC	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour/PROOF.md	8ebf299f6985600f56af0e340bf2ee57c090a65f	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/balanced-mobius-contour/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
CR	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/completion-rigidity-review/PROOF.md	8234e427ddda608f081ebff7c26605f8bad57eb5	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/completion-rigidity-review/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
PR	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/positive-residual-review/PROOF.md	9d49700e4378b2d5d0f1ebfe41861ac1dd01bd6e	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-06-logarithmic-core/positive-residual-review/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
RN	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-normalization-and-minima/PROOF.md	d5192fab330a92f336b7cb2c1c93ba517754d307	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-08-residual-normalization-and-minima/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
