candidate_id	family	source_pr	source_sha	source_path	source_claim_id	candidate_statement	reason_material	requested_disposition	notes
M-620-DIRECT-HALL	score-free/direct-integral Hall	620	493e12fcba3f9b98dda7c3595bff73b256e00ca4	claims/theorems/T-99020-direct-integral-score-free-hall-rh-candidate.md	T-99020	Full score-free Hall candidate and source/score interfaces.	Inside Reviewer A arithmetic/native remit.	REVIEWER_C_CENSUS_AND_D_RECONCILIATION	Extract first broken arrow; do not accept RH proposal.
M-635-SAME-ROW	same-row score/calibration	635	b8d4772b5cab0655b3edf68864df6d925c76b5ba	claims/refutations/R-99161-literal-score-is-locked-by-ordinary-response.md	R-99161	Literal score is locked by ordinary response; overthinning is not repair.	Controls source-faithful calibration.	CANONICAL_REFUTATION_CANDIDATE	Omitted controlling correction.
M-638-VOLTERRA	Volterra/equality frame	638	73ee57ccc684f4062769a6d1c0456b3ef6318db2	claims/lemmas/L-99230-distributional-volterra-green-formula.md	L-99230	Two boundary modes and activation-knot atoms.	Controls smooth-density to positive-frame promotions.	STANDALONE_CANDIDATE	Review controlling theorem only.
M-439-CAUSAL	causal packet/rough reservoir	439	706445c01d4a5c9f852a4faf1329bd9858dc727a	claims/lemmas/L-91355-nonduplicating-causal-packet-budget.md	L-91355	Exact nonduplicating packet budget and child coefficient below 1/8.	Material source-accounting theorem.	REVIEWER_C_CENSUS	Reviewer C should pin exact path.
M-470-Y4-CONE	Y4-zero/native capacity	470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	claims/lemmas/L-91687-y4-zero-columns-are-score-free-triangular-repair-directions.md	L-91687	Score-free repair cone and exact raw q=2 separator.	Directly relevant to native capacity.	CANONICAL_REFUTATION_CANDIDATE	Repair cone is not a completed producer.
M-454-FARKAS	finite primal/Farkas	454	a0409d54250bc211d62718a1aedb6fa020d7f091	claims/lemmas/L-91671-atomwise-provenance-partition-is-the-exact-native-root-ledger-certificate.md	L-91671	Atomwise provenance reduces root ledger to rational primal/Farkas alternative.	Durable finite theorem.	STANDALONE_CANDIDATE	Live allocation remains open.
M-508-TL-HEAVY	Target-Lorenz directed tail	508	4ae97dffd1f76ed3244b8f3028560ffa80663caf	claims/lemmas/L-93781-directed-target-lorenz-tail.md	L-93781	51,118,080-event directed tail and typed row-bonus split.	Heavy certificate family in source genealogy.	REVIEWER_C_COMPUTATION_DELTA	Do not rerun.
M-521-LIVE-MARGINAL	Target-Lorenz live marginal	521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	claims/lemmas/L-94023-the-anchored-native-interface-is-one-exact-joint-primal-farkas-problem.md	L-94023	Actual marginal, negative q=2 child and joint native gate.	Settles response-vs-capacity typing.	CANONICAL_SOURCE_FIREWALL_CANDIDATE	Review only controlling claims.
M-472-RADIAL	native radial/Y4 null gauge	472	bb364396e09717237351d4aed9aadf6c570cb7fc	claims/lemmas/L-19881-y4-zero-repair-is-a-null-gauge-for-the-prime-radial-dictionary.md	L-19881	Y4-zero repair is invisible to prime radial dictionary.	Cross-family alias candidate.	REVIEWER_C_CENSUS	No model allocation or RH follows.
M-630-2E9	heavy C4MBI/Harnack	630	bec6ec52ff94e0439fa6a4615c4641f7714d1d54	claims/theorems/T-99100-factor67-harnack-renormalization.md	T-99100	Exact certificate through 2,000,000,001.	Omitted from Reviewer A computation table.	REVIEWER_C_COMPUTATION_DELTA	Retain hashes; do not rerun.
