pr	head_before	exact_head_after	title_after	family_after	disposition_before	pass1_disposition	controlling_later_pr	strongest_surviving_result	first_broken_arrow	current_open_gate	lifecycle_recommendation	review_depth	pass2_needed
399		9deddaa92c1b709b052e0994bd9a6dc0bb307366	research: terminal P79 and positive-kernel recursion close; one-prime arithmetic splice remains	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	405/431/436	independent endpoint, capacity, operator and finite-algebra lemmas identified in claim registry	completed rough cascade/source partition and later causal Hall/source typing fail	LRPT/SFFEP source-labelled native common parent	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
400		7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	correction/advance: Suzuki closes the amplitude embedding; the RH gate is first-chaos model-space domination	suzuki_hardy_first_chaos	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
401		82fe81e52d8c221c8649376d759aa8d0ee64c0c7	radical: Xi Pick positivity as a Brownian–theta passive network	brownian_theta_pick	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
402		f5e8be06dfed171baca362316a24b1ce017ad235	correction: factor-four renewal energy is exactly an innerness test	suzuki_innerness	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
403		885716b9cf97c7c4deea3b4590b99e5faf13bc1f	full proposal + reduction: one-charge infravacuum positive-energy completion	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	408/411/412/413/414/418-430	common kernel congruences, one-node detector reduction, and explicit source decompositions	explicit arithmetic source identification and one-node/source-to-model exhaustion were not constructed	ONAE/OVOT/AOT or later equivalent source-to-model kernel lock	ARCHIVE_WRAPPER; KEEP_LOCAL_REDUCTIONS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	correction + advance: prime and Fisher Hardy colligations are explicit; the common renormalized source map remains	suzuki_hardy_source_to_model	CONTROLLED_BY_LATER_REFUTATION	CONTROLLED_BY_LATER_REFUTATION	405/431/436/443/450	independent endpoint, capacity, operator and finite-algebra lemmas identified in claim registry	complete factor-54 wrappers fail at native-root/source/capacity or endpoint-composition arrows	source-faithful native producer with one-use endpoint accounting	archive historical wrappers; retain controlling descendants	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
405		97d40e6574ba54d827fd361c70d550eeb60c9faf	review: PR #399 factor-54 full proof proposal	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	405	review-level exact counterexamples, scope repairs, and frozen-head provenance	two-factor SHARP preservation fails: wN(s)N(r) differs from wM(s)M(r)	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
406		b59e6fdbc8ac84231ad697c02687f199e83fb1b4	Accidental connector test — closed	factor54_endpoint_operator_genealogy	ADMINISTRATIVE_TEST	ADMINISTRATIVE_TEST	405/431/436/443/450	none	not applicable	not applicable	EXCLUDE_FROM_SCIENTIFIC_CENSUS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
407		bf17e32c53724267ffc536073e586c1e9059d2d0	withdrawn full-proof claim + retained hostile audit: parallel least-prime partition was not proved	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REFUTATION	405/407/415/439	exact two-state noncomposition firewall	parallel least-prime child formulas were never proved to be one source partition	source-labelled all-generation capacity splice	ARCHIVE_WITHDRAWN_WRAPPER; KEEP_REFUTATION	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	ea3948ea21d90b9c9824874c5051dcc76e216a5b	breakthrough: plastic-cutoff Julia absorption and three-front exhaustion attack	suzuki_hardy_source_to_model	CONTROLLED_BY_LATER_REFUTATION	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
