pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
161	Counted inverse-Ritz lower floors	7fa0b00f487dfbe9b0d264824804cdd2487832a9	VERIFIED WITH FIXES	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
163	Exact low-index saturation and trace-tail programme	c3ebadec228d79b802af89c8a01759c3290c32bf	GAP/BLOCKED	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Preserve finite saturation/refutation; block cofinal shortcut and ID collisions.	GAP/BLOCKED
164	Finite profile-soft source blocks and cofinal wrapper	e2e8a23f860184ce66d24ea75b04ca8a57a4b6a3	GAP/BLOCKED	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	D_DELTA_NOT_REVIEWED	SW	Finite blocks need complete source provenance and cofinal emitted sequence.	GAP/BLOCKED
165	Scalar Barta no-go and terminal-prime criteria	3a4c4f77271596fef6af4aa7262503c7cde28cc0	VERIFIED WITH FIXES	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)	c3c6c98a580277e22a04790222989bf3816f2ef2	D_DELTA_NOT_REVIEWED	SW	Later review-report head separate; terminal criteria source-qualified.	FIX THEN MERGE
168	Cardinal/radical finite-section repair	2a3667399b4a16311e1875932f9361c6aa6c8d0d	VERIFIED	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
169	Three-block triangular Schur floor	06d1d133c2c786447e6c126861cc2d6a31f82a8b	VERIFIED	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
173	CvS coordinate/Polya/gap-parity audit	7085396b3c7e033d50ac4c031c5acdbe9b7814a6	VERIFIED WITH FIXES	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Apply all errata before theorem integration.	FIX THEN MERGE
177	Terminal-prime visible block and local-Weyl moat	92f85f30073b6adfda0c419246e15c74de4ce91e	GAP/BLOCKED	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Endpoint-domain mismatch.	GAP/BLOCKED
179	Weil cardinal defect and line-zero deflation	7eeb88fecbe7e01b67517ccc4172f48dc689d5cb	VERIFIED WITH FIXES	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
181	Phase-aware pole-free prime-error band	379a75654ae5443370b7a0b4b0e5d72f77807645	GAP/BLOCKED	reports/gpt56-02-p/2026-08-01-pre-public-riemann-review.md	27bb5dcd7a0a1739eeaa26ad97f12eb0a14bc19b	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Checker lacks complete zero-shell coverage.	GAP/BLOCKED
