claim_key	family	source_pr	source_sha	mathematical_status	review_status	lifecycle	rh_relationship	integration_action	statement	notes
EL-CARRY-SPINE	elementary	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	PROPOSED_COMPLETE_SUBSTRUCTURE	VERIFIED_WITH_FIXES	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE_SCOPED	Carry target, Möbius divergence, balanced fragmentation and Farkas normal form form an exact finite spine.	Closing positive/subpower-debt theorem is not included.
EL-ONEPASS-4LOG2	elementary	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	UNCONDITIONAL_THEOREM	VERIFIED	LIVE	INDEPENDENT_PARTIAL_PROGRESS	CANONICALIZE	Central one-pass packing gives 4 log(2) sqrt(X)+O(log^2 X).	Sharp consumer requires constant 4.
EL-GREEN-MARKOV	elementary	335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE	Balanced fragmentation is a descending Markov Green occupation and Cycle-Debt duals factor through policy capacity drift.	Source-specific debt remains open.
EL-GFEP-FROZEN	elementary	356	1a60df88aadac731ec32e48a87b74537662114dd	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_REFUTATION	Coordinatewise GFEP for the frozen half-binary/half-ternary first-entrance policy changes sign cofinally.	Does not cover other policies.
EL-PRODUCER-FROZEN	elementary	356	1a60df88aadac731ec32e48a87b74537662114dd	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_REFUTATION	The actual sparse producer of the frozen policy changes sign arbitrarily far out.	Generic producer positivity for all policies is not refuted.
EL-BTF-FROZEN	elementary	356	1a60df88aadac731ec32e48a87b74537662114dd	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_REFUTATION	Frozen subpower weighted-negative and absolute BTF fail because one coordinate has near-square-root excursions.	Signed cycle-optimized debt is a different object.
EL-FINITE-ATOMIC-NOGAP	elementary	356	1a60df88aadac731ec32e48a87b74537662114dd	UNCONDITIONAL_NO_GO	VERIFIED	LIVE_FIREWALL	GENERIC_MECHANISM_NO_GO	CANONICALIZE	Every finite stationary fixed-ratio fragmentation lacks a source-independent spectral gap.	Does not rule out source-specific cancellation, adaptive, nonstationary or continuum policies.
EL-UNIFORM-PASCAL	elementary	335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	PROPOSED_COMPLETE_SUBSTRUCTURE	VERIFIED_WITH_FIXES	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE_SCOPED	Uniform Pascal has an explicit resonance-free Green kernel and exact SHARP occupation formula.	Arithmetic occupation sign remains open.
EL-SHARP-OUTER	elementary	347	f70bcda4d04200c96ddf5b74bc65ccb4aa8750ae	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE_PARTIAL	INDEPENDENT_PARTIAL_PROGRESS	CANONICALIZE	SHARP positivity holds throughout the outer 255/256 with a tail-only finite replay and cofinal proof.	Inner 1/256 and all-depth limit remain open.
EL-SHARP-FULL	elementary	329	219cab4496357867018f300936c877967ac0a81b	OPEN	UNPROVEN_GAP	LIVE	RH_BEARING	RETAIN_OPEN	Full SHARP is nonnegativity of the uniform-Pascal Green occupation.	Do not infer from outer positivity.
EL-CYCLE-DEBT	elementary	315	33b312e32818adb78b5bdc78e4c64f1a870b532c	OPEN	UNPROVEN_GAP	LIVE_PRIMARY	RH_BEARING_MECHANISM	RETAIN_PRIORITY	Prove source-specific subpower weighted negative Green debt after recombination and actual capacity accounting.	Unaffected by frozen-coordinate oscillation.
EL-BOUNDARY-ATOMIC	elementary	304	78b75fc17e27334a9950018528c1c6e083d74820	FALSE	VERIFIED	SUPERSEDED	NONE	ARCHIVE_WITH_SALVAGE	The complete critical boundary does not have polylog ordinary divisor-source atomic norm.	Its commutator and optimized-flow descendants survive.
EL-BOUNDARY-OPT	elementary	315	33b312e32818adb78b5bdc78e4c64f1a870b532c	OPEN	UNPROVEN_GAP	LIVE_PRIMARY	RH_BEARING_MECHANISM	RETAIN_PRIORITY	All-generation capacity-faithful destination-recombined boundary recurrence.	Fresh first-boundary and outer-band results are partial inputs.
EL-SOURCE-CAPACITY	elementary	303	4367007d658c78a42024a9c94c3c6b078cac2568	FALSE	VERIFIED	LIVE_FIREWALL	NONE	CANONICALIZE_REFUTATION	Source mass cannot automatically be spent as central-edge capacity; the canonical capacity is a first difference.	Mandatory for all future flow claims.
EL-MERSENNE-SAT	elementary	314	f07f44263c3ff4b219918b05cac61a75e18ff773	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_SALVAGE	Eventual exact restricted Mersenne-collar saturation is false.	Eta/Mersenne localization identities survive.
EL-WSTS	elementary	348	89f0eb418a470d55e945b08daa3d0f0dc2fc7914	RH_EQUIVALENT_CRITERION	VERIFIED_WITH_FIXES	LIVE_CRITERION	RH_EQUIVALENT	CANONICALIZE_CRITERION	Repaired WSTS forward and converse consumers identify an RH-equivalent shell-tail criterion.	Not evidence that closure is technically small.
EL-ENDPOINT-MELLIN	endpoint	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE	Exact prime-endpoint Mellin symbol retains every hypothetical open-strip zero pole.	Eventual endpoint sign remains RH-bearing.
EL-PRIME-MOAT	endpoint	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE	INDEPENDENT_PROGRESS	CANONICALIZE	The zero-insensitive prime-power moat is globally negative and decreasing.	Does not control the zero-sensitive coordinate.
EL-ANN64	endpoint	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	RH_EQUIVALENT_CRITERION	VERIFIED_WITH_FIXES	LIVE_CRITERION	RH_EQUIVALENT	CANONICALIZE_CRITERION	The improved factor-64 zero-safe annular scalar has a certified RH-side margin and is minimal in the declared phase-blind integer-radix class.	Unconditional sign is open.
EL-OCCUPANCY	endpoint	353	ed566f3198e236c54ba18049181016536f56d456	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE_MECHANISM	ROUTE_INFRASTRUCTURE	CANONICALIZE	Every moving carry column and the aggregate prime source admit an exact positive occupancy/mean-age representation.	Positive source normal form is not endpoint negativity.
EL-PRIME-SQUARE	endpoint	353	ed566f3198e236c54ba18049181016536f56d456	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE	INDEPENDENT_PROGRESS	CANONICALIZE	Prime squares supply the entire deterministic negative quadratic drift at critical normalization.	Higher powers are lower order at the reviewed scope.
EL-COMPLETE-GAP	endpoint	353	ed566f3198e236c54ba18049181016536f56d456	RH_EQUIVALENT_CRITERION	VERIFIED_WITH_FIXES	LIVE_CRITERION	RH_EQUIVALENT	CANONICALIZE_CRITERION	The complete prime-power gap is o(log^2 X) iff RH in the reviewed normalization.	Signed packing-score loss is the independent finite mechanism.
EL-R4DSL	endpoint	353	ed566f3198e236c54ba18049181016536f56d456	OPEN	UNPROVEN_GAP	LIVE_PRIMARY	RH_BEARING_MECHANISM	RETAIN_PRIORITY	Prove subquadratic signed score loss for the positive radix-four endpoint-detail packing.	Local positivity and triangular feasibility are not the missing step.
Q4-BIREFLECTED	q4	241	3a227e7595e1fe9e38956048297aa97531c80e4e	UNCONDITIONAL_THEOREM	VERIFIED	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE	Exact independent-frequency bireflected local-block identity.	Never collapse the two frequencies.
Q4-ALLPASS	q4	325	8036edcd8b42f1fb3bbee605a6fae3b22985238d	UNCONDITIONAL_THEOREM	VERIFIED	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE	Euler-Blaschke Q4 factor is all-pass, causal and zero-safe with an exact state/current gauge.	Gauge remains delayed.
Q4-PHYSICAL	q4	341	6725c527a1022842b370adb0b5656d2a02827d73	UNCONDITIONAL_THEOREM	VERIFIED	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE	The real-X physical field equals the correctly typed carry transform; integer endpoints equal a predecessor row plus explicit atom.	Ordinary divisor convolution is mandatory.
