pr	head_resolution	exact_head_sha_if_resident	coverage_source	selected_claim_ids	final_lifecycle_disposition	controlling_review	canonical_extraction	notes
375	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
376	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
377	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		ADMINISTRATIVE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
378	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
379	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	HEAT.HERMITE.COUNTABLE_CRITERION|OPEN.HEAT.HERMITE_CONSTANT_FOUR	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
380	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		REFUTED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
381	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	8b32a5941a349df16bdce59909ad66741293cb0a	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	ARITH.CARRY.FACTOR64_PAYMENT	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
382	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	d5630815f68554649445cbe19989b562dc685bd3	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPEN.ARITH.CARRY_WEIGHTED_RESPONSE|REFUTATION.CARRY.SOURCE_BLIND_CONVEXITY	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
383	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	d764be15bd8ea902ad260484eab44d19a9e82175	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	Q4.CARRY_FOURIER_CORE|Q4.HAAR_FINE_SCALE|Q4.JORDAN_PERIODIZED|Q4.FOURTEEN_ROW_RENEWAL	CANONICALIZED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
384	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
385	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	HEAT.HERMITE.UNCONDITIONAL_REGIONS	CANONICALIZED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
386	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	66e60006bedbababefae22ad8f88f06753139a2b	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	Q4.FOURIER_GOLDBACH	CANONICALIZED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
387	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		REFUTED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
388	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	REFUTATION.BROWNIAN.COFINAL_STABILITY	REFUTED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
389	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
