computation_id	source_pr	exact_head_sha	checker_path	result_path	artifact_hashes	claimed_coverage	mathematical_theorem_depending_on_it	method_inspection_status	source_result_consistency	independently_replayed	heavy_campaign_not_re_run	canonical_relevance	verdict	notes
COMP.ENDPOINT.FACTOR54	375	a3662f62ac0f1a7ec21bca3498938fedcbeeddba	UNRESOLVED_CANONICAL_CHECKER	UNRESOLVED_CANONICAL_RESULT	UNRESOLVED_CANONICAL_HASH	factor-54/native-capacity endpoint scans	historical factor-54 endpoint proposals	metadata-level inventory only	TARGETED_REVIEW_STILL_REQUIRED	no	HEAVY_CAMPAIGN_NOT_RE_RUN	historical; retain only if a live theorem cites exact bytes	TARGETED_REVIEW_STILL_REQUIRED	Exact checker/result/hash must be pinned before canonical use.
COMP.BROWNIAN.EARLY_SCAN	376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	UNRESOLVED_CANONICAL_CHECKER	UNRESOLVED_CANONICAL_RESULT	UNRESOLVED_CANONICAL_HASH	finite Brownian producer scans	historical Brownian proposal	analytic controlling review inspected	controlled by PR #388	no	HEAVY_CAMPAIGN_NOT_RE_RUN	nonprobative after Bohr refutation	CONTROLLED_BY_LATER_REFUTATION	Retain only as historical reconnaissance.
COMP.BROWNIAN.BOHR	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	same review record	git provenance at frozen head	analytic selected-prime/vertical-limit theorem	Brownian finite-producer refutation	method theorem inspected	consistent with frozen review	not a heavy numerical replay	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical no-go	RETAINED_HEAVY_CERTIFICATE	Analytic review controls later scans in the same class.
COMP.FINITE.PICK.LOEWNER	383/386/390/392	d764be15bd8ea902ad260484eab44d19a9e82175;66e60006bedbababefae22ad8f88f06753139a2b;ea20af8867c3119c23efc27738d343aac2f79362;d2387cd21eb891a8801fd122bc8d0ddd7c1c0fc4	UNRESOLVED_MULTIPLE_CHECKERS	UNRESOLVED_MULTIPLE_RESULTS	UNRESOLVED_MULTIPLE_HASHES	finite Pick/Loewner and Q4 endpoint searches	finite exclusions and safe-side packet diagnostics	representative exact identities inspected through Reviewer B	finite only; no strict global witness	partial light reconstruction	HEAVY_CAMPAIGN_NOT_RE_RUN	retain finite theorem boxes only	RETAINED_HEAVY_CERTIFICATE	Canonical per-campaign split still required.
COMP.SAFE_LINE.HAUSDORFF_PICK	393	ec118df8a133a1e4800f292641d42af1ba79f938	experiments/X-91001-safe-line-hausdorff-pick/verify.py	experiments/X-91001-safe-line-hausdorff-pick/results/verification.json	retained SHA256SUMS at frozen head	1270 finite algebra/synthetic checks	safe-line Hausdorff/Pick transform packet	method scope inspected; no zeta computation inferred	claimed source/result match per PR; not independently byte-fetched	selected exact formulas only	HEAVY_CAMPAIGN_NOT_RE_RUN	supporting finite algebra	DELTA_VERIFIED_WITH_FIXES	Does not prove prime-side Pick positivity.
COMP.RADIAL.DEPTH_PROJECTOR	394	82ee32348b05512514462966bfeb4e2de4ae5ecf	experiments/X-91004-radial-curvature-depth-projector/verify.py	experiments/X-91004-radial-curvature-depth-projector/results/verification.json	retained SHA256SUMS at frozen head	73 synthetic/high-precision checks	radial curvature/depth projector	finite method inspected in PR body	claimed consistent; hashes not independently fetched	exact Fraction analogues only	HEAVY_CAMPAIGN_NOT_RE_RUN	supporting local identities	DELTA_VERIFIED_WITH_FIXES	No zero search or global curvature sign replayed.
COMP.CATALAN.VK	395	7106b3b2e06b8193861851890db12767a03b5df4	experiments/X-91008-gamma-catalan-safe-disc/verify.py;experiments/X-91009-vk-annular-pick-ray/verify.py	corresponding results/verification.json files	retained SHA256SUMS at frozen head	finite Catalan and scale-law checks	high-carrier/VK annular theorem	method boundary inspected	claimed source/result consistency; external theorem not replayed	exact Catalan coefficients only	HEAVY_CAMPAIGN_NOT_RE_RUN	supporting local algebra and source lock	DELTA_CONDITIONAL	Analytic transfer uses external input.
COMP.CAUCHY.GREEN_REMOVAL	396	a7e140614a2544b320c274acc5c599e5176cea97	experiments/X-91024-corrected-green-removal/ (exact filename to pin)	retained corrected threshold result	UNRESOLVED_CANONICAL_HASH	692 threshold checks plus exact rational certificate reported	Green-removal density positivity	method described and representative rational margin inspected	path/hash requires targeted pinning	one exact rational margin only	HEAVY_CAMPAIGN_NOT_RE_RUN	candidate canonical standalone theorem support	TARGETED_REVIEW_STILL_REQUIRED	Exact directory and SHA ledger need frozen-tree audit.
COMP.XI.ORDER3.SOURCE_REPLAY	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	experiments/X-92100-critical-reserve-allocation/verify.py	retained verification JSON	git blob 5020ebd96949d3942866471b27eadbc618c55b4d	local curvature and 1.7837e-10 budget algebra	Xi Pick order-three theorem	source script identified as corrupt syntax by Reviewer B	source/result authentication failed	clean independent light replay only	HEAVY_CAMPAIGN_NOT_RE_RUN	replace corrupt replay before canonicalization	DELTA_VERIFIED_WITH_FIXES	Never claim the retained PASS authenticated.
COMP.XI.EXTERNAL_ZERO_HEIGHT	446/460	880d14cb4bcbf542ec199137d60c58d9a8fd723d;db9a767e312d9928f5ef827762dcb4ef95494af0	literature/external/*verified-height*source-lock.md	external theorem lock	journal/DOI metadata requires repair	zeros verified to H*=3,000,175,332,800 plus simplicity/tail input	Xi order-three reserve budget	legal use inspected; external computation not rerun	mathematical use plausible; citation metadata defective	no	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical external dependency lock	RETAINED_HEAVY_CERTIFICATE	High-zero verification explicitly not rerun.
