family	canonical_claim_count	previous_inspection	pass4_inspection	evidence	final_boundary
brownian_weil	6	FOCUSED_PRIMARY_COMPONENTS	PRIMARY_FIXED_COMPACT_RECONSTRUCTED	R27	Brownian normalization and fixed-height remainder now reconstructed; no moving-height positivity. Earlier cardinal R16 and Fourier correction remain binding.
c4mbi	1	FOCUSED_PRIMARY_COMPONENTS	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Primary four-band and prime-owner identities recovered and checked. Root equivalence retains parent Bellman antecedents; no global sign or descendant bound.
carry_critical_hinge	3	NO_NEW_SCIENTIFIC_DISPOSITION	PRIMARY_REWARD_AND_ALL_THREE_REFUTATIONS	R29	All named reward/cone omissions audited and finite examples replayed. Specific cofinal weighted response remains open.
conjunctive	18	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
dickman_bellman	3	FOCUSED_PRIMARY_COMPONENTS	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Actual fixed P61 weighted variation now reconstructed. Prior classical Dickman/VK inputs and their quantifiers remain explicit; dynamic fixed-small-prime producer not proved.
direct_main_cauchy_jordan	3	FOCUSED_PRIMARY_COMPONENTS	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Three-square storage and real-frequency scalar frame reconstructed. Completed source identification and critical prime-inserted sign remain open.
direct_main_mellin	4	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Transform and fixed-z asymptotic checked; all-row arithmetic sign remains open.
direct_main_p79	6	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Do not rehabilitate prior false Hall/surplus or positive splice; .4 excluded explicitly.
direct_main_taylor	6	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Supercritical/remainder proofs checked; critical producer remains open and its statuses are split.
factor67_lorenz	1	FOCUSED_PRIMARY_COMPONENTS	FULL_P61_NEW_REPLAY	R25	Million-endpoint finite region and entire divisor tail replayed with integer intervals. Rough completion and growing-P uniformity remain open.
finite_certificates	2	NO_NEW_SCIENTIFIC_DISPOSITION	CONDITIONAL_BOX_AND_CHECKER_AUDIT	R31	Pick68 complete downstream box reconstructed; high-ordinate primitive production remains conditional. Pick71 core and status logic read, not backend replayed.
heat_hermite	6	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
historical_native_assets	7	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Both Farkas forms checked with sign/certificate repairs; source feasibility and endpoint positivity not proved.
mellin_landau	12	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
native_endpoint	1	FOCUSED_PRIMARY_COMPONENTS	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	Primary score/packing identity and conditional affine algebra read. Full actual row-source construction, original negative primitive fixture and complete error campaign not regenerated.
owner_vaughan	6	NO_NEW_SCIENTIFIC_DISPOSITION	PRIMARY_SHORT_LONG_CARRIER_AND_DERIVATIVE	R30	Full carrier asymptotics and SHARP derivative bridge checked. Unlisted owner/staircase sources retain earlier rather than new acceptance.
q4	11	FOCUSED_PRIMARY_COMPONENTS	PRIMARY_HAAR_AND_FOURIER_MEASURE_AUDIT	R28	Fine-mode and complete Lebesgue identities supported; arbitrary physical-measure transfer and critical mean/coarse control not accepted.
review_infrastructure	3	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
safe_line_operator	4	FOCUSED_PRIMARY_COMPONENTS	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	All-Green and terminal/small-scale densities audited; net-pole convention repaired. Actual completed Hankel-to-model-space intertwiner, middle-scale numerical certification and other safe-line producers remain open or unaudited.
sharp_native	9	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
suzuki_hardy	4	NO_NEW_SCIENTIFIC_DISPOSITION	SAFE_SOURCE_AND_SIGN_REPAIR	R26	Safe signed source reconstructed; actual prime2 rules out pointwise elementary PSD. Full critical intertwiner remains an open mathematical claim.
terminal	1	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
wavelet_xd	9	NO_NEW_SCIENTIFIC_DISPOSITION	PRIMARY_ABEL_AND_CONDITIONAL_HASSE	R30	Abel frame/desmoothing reconstructed; Hasse requires actual flow divergence and active prime cube. PR688 phase producer not rederived.
xi_pick	13	NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_robin		NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_corrections		NO_NEW_SCIENTIFIC_DISPOSITION	NO_NEW_SCIENTIFIC_ACCEPTANCE	prior packets	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_xi		NO_NEW_SCIENTIFIC_DISPOSITION	CONDITIONAL_BOX_AND_LOCATOR_REPAIR	R31	Source blob repaired; exact8x8 box reconstructed under supplied rectangles. No new actual-xi primitive result.
formal_metadata		NO_NEW_SCIENTIFIC_DISPOSITION	SOURCE_TYPE_AND_RUNNER_AUDIT	R31	Inspected conditionalconsumer and LandauProps match scope; no fresh Lean build, axiom audit or transitive-source inspection.
