review_id	family	source_label	verdict	sources	reason	required_action	evidence
D-U001	mellin_landau	L-99272 tail Landau consumer	ACCEPT_LOCAL	P01;M05	Nonnegative tail transform with finite abscissa cannot continue analytically through its real abscissa; the proof retains the actual [1,infinity) transform.	Retain finite initial abscissa, local integrability, real-axis continuation and the fixed arithmetic source. The arithmetic sign remains open.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U002	mellin_landau	L-99270 negative-mass holomorphy	ACCEPT_LOCAL	P02	Subpower cumulative negative mass gives absolute Mellin convergence on every compact sub-half-plane by partial integration.	Do not replace logarithmic negative mass by unweighted mass or control only a bounded interval.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U003	mellin_landau	L-99270 fixed log-box smoothing	ACCEPT_LOCAL	P02	The multiplier (1-A^-s)/s is nonzero for Re(s)>0; its detector is fixed before the implication is used.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U004	mellin_landau	L-99602 rows 2 and 3	ACCEPT_LOCAL	P03	Substituting b=2a-1 gives 3P3=-3(a-1)(a-2); neither root lies in |a|<1.	Keep the original row Mellin identity and both producer hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U005	mellin_landau	Fixed 5:3 numerator	ACCEPT_LOCAL	P03	Independent elimination gives 5P2+3P3=-3(a-1)(a-2). This proves noncancellation, not the signed bound.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U006	mellin_landau	L-99240 row factorization and positivity	ACCEPT_LOCAL	P04	T Mellin times phi Mellin equals 1/s^2; the row moment and the positive 3N+2 increment establish positivity on every activation cell.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U007	sharp_native	L-99600 compact Hall prefixes	ACCEPT_LOCAL	P05	Every one of the 66 integer-prefix extrema was rebuilt with rational outward bounds; the unique worst prefix is 13 at x=67.	This is only the compact target Hall gate, not the rough-source recursion.	New complete finite prefix replay, not reuse of the source producer.
D-U008	sharp_native	L-99600 RN child and cocycle	ACCEPT_LOCAL	P05	Actual child density is T(Z/t)/T(Y/t), with support and zero conventions; the intermediate factor cancels in the cocycle.	Do not substitute a bare cutoff; the (16,4,4) density is 1/5.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U009	sharp_native	L-99613 powers m>=2	ACCEPT_WITH_REPAIR	P06	Removal ratios are at most q^(-3/2); the complete labelled-prime mass is below one, so alternating level pairs are nonnegative with the first pair strictly positive.	Use a non-strict inequality when the preceding level is empty; keep the duplicate 67 label and the separate m=1 boundary.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U010	sharp_native	L-99940 distributional descent	ACCEPT_LOCAL	P07	The open-cell derivative of T(y)^2/y is 3T(y)/y; activation contributes the beta(n)n^(-3/2) atom.	State right-continuous/zero-extension endpoint conventions.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U011	sharp_native	L-99942 critical negative mass	ACCEPT_LOCAL	P08	Only the absolutely continuous negative variation is multiplied by e^u; the activation atoms must not be included.	Positivity of the primitive H2 does not control its weighted downward variation.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U012	q4	Q4.CARRY_FOURIER_CORE	ACCEPT_LOCAL	P09;M09	Complete step-cell differences give the sine coefficients and the inverse cyclic Laplacian norm; a separate rational Green calculation reproduces it.	Keep N and endpoint conventions, the zero mode, and the path-qualified source identity.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U013	q4	Q4.JORDAN_PERIODIZED covariance	ACCEPT_LOCAL	P10;M09	Uniform independent residues give covariance (gcd(d,e)^2-1)/(4de); Jordan inversion produces the positive divisor Gram.	This is the periodized ensemble, not the native fixed-endpoint measure.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U014	q4	Q4.JORDAN_PERIODIZED polylog bound	ACCEPT_LOCAL	P10	J2(q)<=q^2 followed by weighted divisor Cauchy gives at most a squared harmonic-number loss.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U015	q4	L-95600 RH-to-UOSACF direction	ACCEPT_WITH_INPUTS	P11	Odd-Mobius Mertens control and bounded variation of each fixed band give the stated subpower annular bound.	The full earlier annular identity and the forward RH consumer were not independently reread; this row accepts the displayed converse component, not a new complete gate audit.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U016	q4	L-95601 fixed inverse filter	ACCEPT_WITH_REPAIR	P12;M09	A fixed causal polynomial with genuinely subpower forward/inverse coefficient mass preserves the exponent scale.	Specify bounded initial-interval data and the actual inverse operator; exclude D-F01 moving-row extrapolation.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U017	q4	L-95601 moving order extension	REFUTE_AS_WRITTEN	P12	The periodic orders 2,4,4 kill an exponentially growing sequence from n=2 onward. Every individually frozen inverse still has polynomial mass.	D-F01: remove this extension or assume a subpower bound for the actual variable-row inverse.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U018	wavelet_xd	Ratio-eight minimal compactifier	ACCEPT_LOCAL	P13	The polynomial (1-sqrt(2)S)(1-S)^2 annihilates the three-dimensional carrier span sqrt(y),1,log(y); normalized degree three is minimal.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U019	wavelet_xd	Factor-67 disjoint copy and inverse	ACCEPT_LOCAL	P13	The intervals [1,8] and [67,536] are disjoint, and the source relation has a convergent positive geometric inverse.	Keep scalar-source and pair-energy normalizations separate.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U020	wavelet_xd	Minimal-wavelet negative-mass criterion	ACCEPT_WITH_INPUTS	P13;P01;P02	The fixed compact multiplier has no zero at an off-critical reciprocal-zeta pole; Landau supplies the forward implication and classical RH Mertens control supplies the converse.	The estimate itself remains open.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U021	wavelet_xd	MWOC energy identified with Poisson energy	REFUTE_AS_WRITTEN	P13;P14;M10	The lower endpoint term is a^2|G|^2, not |G|^2, for a=X/8. The actual X=16 source has G nonzero.	D-F04: correct the identity and distinguish the two energies; use the separate suffix-field repair below.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U022	wavelet_xd	D suffix-field repair of literal MWOC	REPAIR_PROOF_SUPPLIED	P13;P14	All fixed suffix tests are controlled by the old Hilbert norm; their Mellin multipliers separate every reciprocal-zeta pole. RH gives uniform suffix control by Abel summation.	Use REPAIRS.md R4 rather than the false equality of the two energies. This is a new review deduction, not an upstream accepted theorem.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
