pr	full_head_sha	programme	reading_depth_this_pass	current_boundary
862	67d5d6a5f588642f4c451fe35d2369b5ddac9346	gamma finite defect	metadata/body	Actual limiting weighted defect vanishing OPEN; Windows symlink test skipped.
861	c0a11d2585ac8513be77bc72df6fe0e699d78211	published earlier polynomial attempt	metadata/body + local full note; remote blob check	Auxiliary derivative obstruction only; note blob matches supplied historical ZIP.
860	e1a782cffaafbc9cc228273ed94ce63ae0407632	branching high-height explicit thresholds	metadata/body	Alternative to 859 at SAME packet path/ID; derivative-measure version; no uniform depth-height confinement.
859	cbf7d5f9a693fee17ee62dae4cfb1c2296499282	branching high-height contour version	metadata/body	Every fixed depth eventually central; residual growing windows OPEN; not same proof as 860.
858	72ccb357e774db1189e82f4f1b83459f00638c7e	gamma endpoint index	metadata/body	Every fixed stage has finite nonreal index; actual centered N5 nonreal approximant zero is not xi.
857	3f1984867d23b588d09c88a892882411724b174b	Gamma-Dirichlet branching factors	metadata/body	Native Gamma(5/2) first iterate refutes monotone-modulus derivative; entire convergence does not preserve zeros.
856	f21012f63adac789653e9bf6dbb8c309fa5fe7c5	Brownian companion phase	metadata/body	Actual full companion phase target refuted; neutral xi-multiple direction not a zero exclusion.
855	0e19b74fe6dfb39bef69a5edd3f0b3098b10a6ad	centered gamma approximation	metadata/body	Whole-strip O(N^-3) rate does not give zero preservation at finite/limiting stages.
854	f737983edb993ffc1142c37320eb3c9b304ab06a	theta moment realization and independent-spin barrier	metadata/body	Finite moments through12; independent-spin/Gaussian whole-law scheme blocked; interacting route not refuted.
853	e0b82da7ecdd4ed21e47e8b6adbb8c5182eac048	Gamma branching contraction	metadata/body	Stochastic contraction is not a zero-preserving theorem; Gamma1 control distinct from Gamma(5/2).
852	be81538aeea443570fff02b767aec899567a166b	gamma flow centering	metadata/body	Rates and finite continuous-flow defects have different quantifiers from cofinal real-rootedness.
851	57726ef9b3bf90561df5a361e3b01169c892a62a	Gauss-Thorin local zeros	metadata/body	Local full-source zero controls, not all-height or all-stage zero confinement.
850	5c26d1f7e1075fdea18119a5abb447102ab5850b	Brownian law contraction	metadata/body	Zero-preserving premise OPEN; publication report includes Windows symlink suite failure.
849	11a12b8ceb7db98c7961a5cebf3870b2f31dfa79	reciprocal gamma approximation	metadata/body	Cofinal critical-band confinement OPEN.
848	2f0056d542603cb8118b9ac9da45b397162778e4	balanced Newton/collision energy	metadata/body + 37-path inventory + complete collision-energy proof	Live head is later than original a1b4625 body; full all-integer covariance remains OPEN, diagonal polylog theorem is narrower.
847	6f3b816e6e8e4eafc0e3bc4dc830267f07f3a44d	Ising whole-law programme	metadata/body	Finite moments8 and sufficient whole-law theorem; no complete realization.
846	d9b60f8569af65b6787fc33c75c849640c8974e6	Brownian renormalization companion	metadata/body	Retain later actual-source phase correction 856 when interpreting this proposal.
845	59384bcdea88bdedb86c503479c6c26c681daf5e	AC29 polynomial-boundary continuation	complete AC29 proof + metadata + discussion	New source for quantitative graph construction; positive-eta all-degree bound still OPEN; no comments at check.
844	d019681c8aaef4e1ddd64b83f2b1def98aaff945	direct phase/convexity	metadata/body	Global closing sign OPEN.
843	279bbe3d5198d7f7eb3e0072267f65c7374d7e5e	trace/Hankel all-rank target	metadata/body	All-rank sign OPEN; retain publisher Windows 14-pass/1-fail/1-error limits.
842	34ee76ed5bc8124a30aff7567152d4ae9f7f69cb	connected 73-spin theta realization	metadata/body	Ten theta moments exact; fixed higher-order local submersion is not target reachability at unbounded order.
841	01d5a86136866e53e50df5ce90dfa441abdc32d8	full-theta finite Hankel	metadata/body	Finite matrix positivity not all-rank; bounded self-adjointizing metric obstruction retained.
840	5663f5c4dd193d20bb815cb865d961c42b453946	gamma native feedback	metadata/body	Finite feedback admissibility not growing small full energy.
839	1742bb3d55cd289ab72a555b09f8fe4a6d8ded59	infinite-core metric obstruction	metadata/body	Signed trace criterion OPEN; positive replacement-model conclusions do not transfer.
838	459c3f78b3dc8c95ae6cc7b1bec0154499d76c9f	native generators common zero divisor	metadata/body	Common-divisor identity and necessary feedback cost do not prove a small-energy inverse.
