edge_id	premise_semantic_ids	conclusion_semantic_id	edge_type	source_pr_sha	review_verdict	first_missing_input	rh_role	notes
E-MELLIN-001	CONSUMER.MELLIN.TWO_ROW & ARITH.ROWS2_3.NONNEGATIVE_OR_HOLOMORPHIC_DEFECT	RH	hyperedge	#652@24ab64551225f2dba9aa53a533eb9b0285c6e363	CONDITIONAL_EXACT	Arithmetic witnesses for both fixed rows	conclusion_consumer	Analytic consumer verified; producer is Reviewer A remit.
E-MELLIN-002	CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	RH	implication	#652@24ab64551225f2dba9aa53a533eb9b0285c6e363,#653@e928fd615d753882706bb88c51b717bd8d4a86ba	VERIFIED	Subpower negative-mass estimate is unproved	conclusion_consumer	Implication is exact.
E-MELLIN-003	CONSUMER.MELLIN.MINIMAL_WAVELET_ABSCISSA & CRITICAL_WAVELET_ENERGY_BOUND	RH	equivalence	#675@7b28224ba1b072d4ccd5b93ad37c0a64e7939740	VERIFIED_WITH_FIXES	Critical energy bound is RH-equivalent	equivalence	Criterion is not independent progress.
E-XI-001	OPERATOR.XI.PICK_ORDER3.DETERMINANT & OPERATOR.XI.PICK_ORDER3.TP_CURVATURE & OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	OPERATOR.XI.PICK_ORDER3	hyperedge	#445@c079c2ef21022be951027de1316aecf1168422c1,#446@880d14cb4bcbf542ec199137d60c58d9a8fd723d	VERIFIED_WITH_FIXES		standalone_unconditional	Repair source replay and analytic source lock.
E-XI-002	CRITERION.XI.PICK_ALL_PACKET	RH	equivalence	#438@bb7327d21c47410820cda2671f45dbe709a72eea	CONDITIONAL_EXACT	All packet sizes >=4 remain open	RH_equivalent	Order three does not abstractly bootstrap.
E-XI-003	OPERATOR.XI.CURVATURE.PAIRWISE & OPERATOR.XI.CURVATURE.ANCHOR_DOMINATION	OPERATOR.XI.SCHWARZIAN_ORDER2	hyperedge	#460@db9a767e312d9928f5ef827762dcb4ef95494af0	VERIFIED_WITH_FIXES		standalone_unconditional	Order-two Loewner only.
E-XI-004	OPERATOR.XI.FRACTIONAL_STRING.BETA_HANKEL & OPERATOR.XI.FRACTIONAL_STRING.SCALING	FIXED_ORDER_HIGH_AXIS_PASSIVITY	implication	#461@ea633d416609565b3926f37c9302c93e1b818e2d	VERIFIED_WITH_FIXES		finite_order_asymptotic	Valid for each prescribed fixed order.
E-XI-005	OPERATOR.XI.FRACTIONAL_STRING.GROWING_ORDER	GROWING_ORDER_HIGH_AXIS_PASSIVITY	implication	#461@ea633d416609565b3926f37c9302c93e1b818e2d	GAP_BLOCKED	Uniform moving-frame/Vandermonde theorem	unverified_claim	No downstream use allowed.
E-XI-006	CRITERION.XI.NEAR_CUT_STRING	RH	equivalence	#461@ea633d416609565b3926f37c9302c93e1b818e2d	OPEN_RH_EQUIVALENT	Positive string completion to O(1/x) of cut	RH_equivalent	Finite fixed orders cannot supply it.
E-SUZUKI-001	OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING	AMPLITUDE_LEVEL_SCATTERING	implication	#400@7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	VERIFIED		standalone_unconditional	Does not sign curvature.
E-SUZUKI-002	OPERATOR.SUZUKI.JORDAN_CURVATURE_GRAM & OPERATOR.SUZUKI.MODEL_TANGENT_RESERVE & FULL_SOURCE_FAITHFUL_DOMINATION	RH	hyperedge	#400@7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e,#429@56294bfcd2bdbce4c40b08f67cb996a39868f563	OPEN_RH_EQUIVALENT	Full coefficient-one source domination	RH_equivalent	First unsupported arrow.
E-THETA-001	OPERATOR.THETA.SUPERSYMMETRIC_BULK & OPERATOR.BROWNIAN.TWO_COPY_REFLECTION & THETA_DTN_BOUNDARY_IDENTIFICATION	CRITERION.OPERATOR.SAFE_PICK	hyperedge	#401@82fe81e52d8c221c8649376d759aa8d0ee64c0c7,#408@ea3948ea21d90b9c9824874c5051dcc76e216a5b	OPEN_RH_EQUIVALENT	Theta/Brownian DtN identification	RH_equivalent	Positive bulk alone is insufficient.
E-OPERATOR-001	OPERATOR.PRIME.TAIL_HANKEL_JULIA & OPERATOR.FISHER.MODEL_COLLIGATION & RENORMALIZED_COMMON_SOURCE_MAP	CRITERION.OPERATOR.FIXED_SCALE_POSITIVE_FORM	hyperedge	#404@ab71aa1fe0b1fd192011bbf40f032d2f42889ea0,#429@56294bfcd2bdbce4c40b08f67cb996a39868f563	OPEN_RH_EQUIVALENT	Renormalized common source map	RH_equivalent	Source types cannot be conflated.
E-OPERATOR-002	OPERATOR.PRIME.JULIA_ABSORPTION & FINITE_DRIFT_GAMMA_POLE_BRIDGE_LOCK	RH	hyperedge	#408@ea3948ea21d90b9c9824874c5051dcc76e216a5b	OPEN_RH_EQUIVALENT	Finite source lock	RH_equivalent	Absorption margin is closed; normalization is not.
E-HEAT-001	HEAT.FRACTIONAL.SIBUYA_SOURCE & HEAT.FRACTIONAL.DIFFERENCE_GRAM & FIXED_CENTER_PHASE_SENSITIVE_BOUND	RH	hyperedge	#618@2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	OPEN_SUFFICIENT_FOR_RH	Fixed-center phase-sensitive bound	RH_bearing	Uniform-center route is refuted.
E-HEAT-002	HEAT.FRACTIONAL.POLE_CENTERED_SIGNED_SOURCE & POLE_CENTERED_SIGNED_HEAT_ESTIMATE	RH	hyperedge	#623@712412e286cc309bbe9960ee839df158316df9e5	OPEN_RH_EQUIVALENT	PCSCHE signed estimate	RH_equivalent	Positive completion cannot replace signed source.
E-HERMITE-001	HEAT.HERMITE.COUNTABLE_CRITERION & GLOBAL_FIRST_HERMITE_NONNEGATIVITY	RH	equivalence	#379@589f1c05ccaf248cf08c87fefa7d5ab6d2380708	OPEN_RH_EQUIVALENT	Global diagonal sign	RH_equivalent	Criterion exact; sign open.
E-HERMITE-002	HEAT.HERMITE.BROAD_KERNEL_POSITIVITY & HEAT.HERMITE.FIXED_RESOLUTION_EXTERIOR & HEAT.HERMITE.FOUR_LOGLOG_WEDGE	UNCONDITIONAL_FIRST_HERMITE_REGION	hyperedge	#384@95ed673529fd4ed8ac9308f6ef43e11bda1954c1,#385@ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	VERIFIED_WITH_FIXES		standalone_unconditional	Distinct from failed uniform fractional heat.
E-HERMITE-003	SIGNED_PRIME_CANCELLATION_AT_CONSTANT_FOUR & HEAT.HERMITE.COUNTABLE_CRITERION	RH	hyperedge	#379@589f1c05ccaf248cf08c87fefa7d5ab6d2380708,#385@ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	OPEN_RH_EQUIVALENT	Signed prime-power theorem near n~(log|x|)^4	RH_equivalent	First open arrow.
E-Q4-001	Q4.ANNULAR.TRIPLE_FILTER & Q4.ANNULAR.TEN_BAND_DECOMPOSITION & Q4.ANNULAR.TYPE_I_II_NORMAL_FORMS	CRITERION.Q4.SACF	reduction	#580@812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	VERIFIED_WITH_FIXES	Balanced coprime Type-II estimate	RH_bearing	Exact reduction only.
E-Q4-002	CRITERION.Q4.SACF	CRITERION.Q4.UOSACF	implication	#580@812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05,#606@327c0967c67e7efa08fcb62937ca1730f8c24069	CONDITIONAL_EXACT	SACF estimate	RH_bearing	Reconcile exact normalization with Reviewer A.
E-Q4-003	CRITERION.Q4.UOSACF	RH	equivalence	#606@327c0967c67e7efa08fcb62937ca1730f8c24069	VERIFIED_WITH_FIXES	UOSACF is unproved	RH_equivalent	Finite filters preserve the difficulty.
E-BROWNIAN-001	RAW_FINITE_BROWNIAN_COFINAL_STABILITY	RH	implication	#388@ede3f2db2fe0c571964d2e603ba5d91ee463091a	FALSE	Premise mechanism is false	dead_route	Do not revive without a producer outside Bohr class.
E-BROWNIAN-002	HEIGHT_DEPENDENT_NEW_BROWNIAN_PRODUCER	RH	conditional_direction	#388@ede3f2db2fe0c571964d2e603ba5d91ee463091a	OPEN_SUFFICIENT_FOR_RH	No producer exists	research_frontier	Category, not theorem.
E-WEIL-001	OPERATOR.XI.CARDINAL_CAPTURE & CORRECTED_KERNEL_ARITHMETIC_FLOOR	RH	hyperedge	#365@902a4cfeb36392c07878591e4a8381e3f4c7b2db	OPEN_RH_EQUIVALENT	Corrected arithmetic floor	RH_equivalent	Zero-side capture is not the missing sign.
E-WEIL-002	OPERATOR.WEIL.ODD_SECTOR & ODD_HALF_LINE_POSITIVITY	RH	equivalence	#368@023434958a4c115c4d1f7d93ea310716f8bd81ae	OPEN_RH_EQUIVALENT	Odd half-line sign theorem	RH_equivalent	Use corrected reviewed pole block.
E-FREDHOLM-001	OPERATOR.FREDHOLM.GAUSSIAN_TRACE_CLASS & OPERATOR.FREDHOLM.NEGATIVE_INDEX & ALL_ORDER_PRIME_SIDE_POSITIVITY	RH	hyperedge	#373@34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	OPEN_RH_EQUIVALENT	All-order prime-side positivity	RH_equivalent	Fixed-degree substitute is refuted.
E-FREDHOLM-002	FIXED_DEGREE_HIGH_CARRIER_POSITIVITY	RH	implication	#387@388ba7feb9927025d46a70963389ec45c9ead2ac	FALSE	Fixed degrees are asymptotically blind	dead_route	Exact no-go.
E-BESSEL-001	OPERATOR.BESSEL.REVERSE_BESSEL_CLOSURE & POSITIVE_SCHUR_COMPLETION_ONE_QUARTER_GAP	RH	hyperedge	#389@2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd	OPEN_RH_EQUIVALENT	Positive Schur completion across one-quarter gap	RH_equivalent	Local Bessel identities do not close it.
E-FINITE-001	FINITE.ROBIN.BARRIER_5582_5583	RH	implication	#372@9b9c2536d89b65cb999ec08e20fce3386383803a	FALSE	Finite barrier cannot imply a global criterion	finite_only	Catalogue only.
