semantic_id	source_pr	source_head_sha	source_path	source_claim_id	final_verdict	required_fix
OPERATOR.BIRMAN_SCHWINGER.NORMAL_FORM	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91900-birman-schwinger-loop-detects-every-bound-state-and-negative-direction.md	L-91900	VERIFIED	
OPERATOR.XI.PICK_ORDER2	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91905-every-two-node-infinitesimal-safe-xi-pick-matrix-is-unconditionally-positive.md	L-91905	VERIFIED_WITH_FIXES	State centered grouping, differentiated local convergence, multiplicity, and exact external input.
OPERATOR.XI.PICK_ORDER3.DETERMINANT	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md	L-92000	VERIFIED	
OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92001-the-tp-curvature-of-the-actual-xi-logarithmic-derivative-is-unconditionally-negative.md	L-92001	VERIFIED_WITH_FIXES	State grouped convergence and multiplicity summation.
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92100-reciprocal-concavity-is-closed-under-positive-sums.md	L-92100	VERIFIED	
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92101-one-high-off-line-orbit-is-absorbed-by-a-small-critical-reserve-fraction.md	L-92101	VERIFIED_WITH_FIXES	State the representative and multiplicity convention and the c>r, kappa<1 hypotheses.
OPERATOR.XI.CRITICAL_RESERVE_BUDGET	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92102-the-complete-hypothetical-off-line-curvature-budget-uses-less-than-one-critical-orbit.md	L-92102	VERIFIED_WITH_FIXES	Correct the Platt-Trudgian bibliographic/source lock; state N(T) bound and orbit counting; do not claim the external computation was rerun.
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92103-the-actual-xi-reciprocal-clark-coordinate-is-concave-through-order-three.md	L-92103	VERIFIED_WITH_FIXES	Retain the residual (m0-1)R0 if the selected critical orbit has multiplicity m0; state grouped C2 convergence.
OPERATOR.XI.PICK_ORDER3	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	T-92100	VERIFIED_WITH_FIXES	Replace the corrupt historical replay; repair external lock; retain residual multiplicity; state PSD canonically and omit distinct-node positive-definite strictness unless separately proved.
OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91904-the-infinitesimal-safe-pick-kernel-is-a-countable-rh-criterion.md	L-91904	OPEN_RH_EQUIVALENT	
OPERATOR.XI.LOEWNER_LOW_ORDER	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	OPERATOR.XI.CURVATURE.PAIRWISE / SCHWARZIAN_ORDER2	VERIFIED_WITH_FIXES	Pin exact downstream theorem paths and alias anchor domination to the same critical-reserve ledger as PR #446.
OPERATOR.XI.FRACTIONAL_STRING_FIXED_ORDER	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	OPERATOR.XI.FRACTIONAL_STRING.BETA_HANKEL / SCALING	VERIFIED_WITH_FIXES	Pin the exact source filenames; state derivative uniformity and normalization.
OPERATOR.XI.FRACTIONAL_STRING_GROWING_ORDER	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92302-the-xi-impedance-is-eventually-matrix-monotone-to-a-growing-order.md	L-92302	GAP_BLOCKED	Supply quantified moving-band Vandermonde and perturbation bounds uniform in order and height.
