finding_id	original_finding	repaired_evidence	disposition	residual_scope	build_status	integration_effect	notes
BXC-PRESERVE-01	Accepted finite Pick, LDL, PSD/PD, reciprocal-concavity, Hermite, Q4, and firewall algebra must be preserved	Repair commit changes source-specific wrappers, comparator, registry, reports, and QA; accepted finite algebra modules are not rewritten	RESOLVED	None identified in the repaired diff	BUILD_NOT_EXECUTED	Preserve accepted algebra during reconciliation	Static diff comparison only; kernel build not run
BXC-P0-01	Arbitrary name-only external Props and no concrete actual-Xi object	Concrete riemannXi, centeredXi, actualXiNodeP, PublishedVerifiedHeightTheorem, GroupedActualXiC2Expansion, multiplicity, residual, reserve, and paid-prefix structures	RESOLVED	Analytic fields remain unproved explicit hypotheses	BUILD_NOT_EXECUTED	Canonical theorem may remain PROVED_CONDITIONAL	No axiom or opaque carrier is used
BXC-P0-02	External high-zero theorem and bibliographic/artifact source lock were not exact	Exact height 3000175332800, exact critical-line theorem, DOI/arXiv/journal metadata, SourceLockExact, and recomputed normalized statement SHA-256	PARTIALLY_RESOLVED_WITH_EXCLUSION	The artifact digest hashes the normalized local theorem/citation record, not external PDF/source/computation bytes	BUILD_NOT_EXECUTED	Preserve narrow source-lock scope; do not claim external-file hash verification	Normalized record hash verified as 2eb547a373c49f56fa4da97284534bc06ee9a71548121a2b15d337cb79832c73
BXC-P0-03	Repeated-node branch assumed the desired IsPSD3 conclusion	positive_node_eq_of_sq_eq plus repeated12_pick_psd, repeated13_pick_psd, repeated23_pick_psd and actualXi order-two reduction	RESOLVED	None at source-statement level	BUILD_NOT_EXECUTED	Repeated positive packets may be included in the conditional headline	Wholesale hrepeated premise removed
BXC-P0-04	Canonical semantic IDs were mapped to weaker generic finite lemmas	C.tsv uses source-specific declarations and conditional statuses; C_API.tsv contains generic API IDs	RESOLVED	Analytic source bridges remain explicit blockers	BUILD_NOT_EXECUTED	Semantic reconciliation may use repaired C.tsv with conditional boundaries	Heat full theorem remains blocked
BXC-P0-05	XiPickOrderThreeConditional comparator covered only ordered-distinct generic PSD	Shared ChallengeStatement includes concrete inputs, one/two/three-node PSD, and repeated nodes; Challenge and Solution have identical type	RESOLVED	Comparator compilation not executed here	BUILD_NOT_EXECUTED	Comparator mapping is source-faithful subject to build	PSD only; no PD or order-four statement
BXC-P0-06	No authoritative exact-head Lean build, comparator build, or axiom output	Runnable run_c_repair_validation.sh exists and covers the requested suite; no workflow run/status exists for repaired head	UNRESOLVED_BLOCKER	Full exact-head Lean, registry, comparator, no-sorry, and axiom evidence absent	BUILD_NOT_EXECUTED	Blocks final reconciliation acceptance	Static fixtures cannot substitute for kernel execution
BXC-P1-01	Source-specific one-orbit theorem was replaced by a generic assumed-payment lemma	Exact defect and cross-curvature formulas, reviewed domain, epsilon=2m*kappa/(1-kappa), payment proof, and epsilon<=9m/b^2 theorem	RESOLVED	None at finite source-specific algebra level	BUILD_NOT_EXECUTED	ONE_ORBIT canonical row may remain PROVED after build	Multiplicity and reflected representative are explicit
BXC-P1-02	Reserve shares lacked nonnegativity, ownership, one-use accounting, and leftover proof	ActualXiReserveAllocation and buildActualXiReserveAllocation encode nonnegative shares/tails, everyOrbitPaid, totalShare_le_one, leftover_nonnegative, and oneUse	RESOLVED_BY_HONEST_DOWNGRADE	Infinite reciprocal-square tail and numerical budget remain explicit inputs	BUILD_NOT_EXECUTED	CRITICAL_RESERVE_BUDGET remains PROVED_CONDITIONAL	Finite-prefix ledger is proved from ReserveTailInputs
BXC-P1-03	Actual-Xi reciprocal/companion wrappers were generic finite closure and did not encode grouped C2 assembly	Paid-prefix nonnegative energy plus componentwise local C2 convergence derives actual-Xi energy; exact reciprocal and companion bridges are explicit fields consumed by source-specific theorems	RESOLVED_BY_HONEST_DOWNGRADE	Grouped expansion, tail, paid-prefix convergence, and scalar curvature bridges are unproved explicit hypotheses	BUILD_NOT_EXECUTED	Actual-Xi rows remain PROVED_CONDITIONAL	No analytic input is silently promoted to a proof
BXC-P1-04	QA trusted booleans, leaf-name regexes, incomplete axiom coverage, and inert bundles	Lean #check/#print declaration audit, registry-generated axiom set, exact shared comparator type check, source-lock hash join, and external-input source-closure scan	PARTIALLY_RESOLVED_WITH_EXCLUSION	Scripts not executed at repaired head; unused-input check is syntactic source closure rather than kernel dependency extraction	BUILD_NOT_EXECUTED	Do not treat generated QA evidence as authoritative until exact-head suite runs	Committed static replay is diagnostic only
BXC-P2-01	Blueprint and QA reports overstated source-specific and analytic completion	content-C.tex, C_OPERATOR_QA.md/tsv, and C_REPAIR_RESPONSE.md separate proved finite/source algebra from conditional analytic inputs and pending build	RESOLVED	None identified in documentation scope	BUILD_NOT_EXECUTED	Documentation is suitable for reconciliation with stated boundaries	RH and order-four remain explicitly unproved
BXC-TRUST-01	Need to exclude sorry/admit/custom axiom/opaque/unsafe trust cheats	Repaired diff adds no axiom, opaque, unsafe, or admit declaration; Challenge has one intended sorry and Solution/ChallengeDeps are clean by source inspection	PARTIALLY_RESOLVED_WITH_EXCLUSION	No kernel-level no-sorry or parsed #print axioms run was executed	BUILD_NOT_EXECUTED	Trust acceptance remains blocked by exact-head suite	Static source inspection does not imply an axiom PASS
BXC-PUB-01	Repair had to land completely on the primary branch and be reported to the binding review	PR #735 points to b20ee9b3678e5d8fa32b04b156bc02cec782a97b; repair is one commit above original head; promised files and PR #749 response comment are present	RESOLVED	No CI status attached to the published head	BUILD_NOT_EXECUTED	Remote publication itself is complete	No workflow or Reviewer A/B mathematics changed
