edge_id	all_required_premises	conclusion	status	note	review_reference
AS-E01	exact normalized kernel; dyadic primitive enclosures; outward aggregation; complete continuum split exhaustion	seven-point pressure for all nonnegative gaps	VALID_FINITE_CERTIFICATE	New independent certificate, not original Arb hashes	supplement/REPORT.md#S01
AS-E02	seven-point inequality; span overlap count; nonnegative omitted pair terms	E_m+span/500>=19(m-6)/5000	VALID_FINITE_THEOREM	No factor-six omission	supplement/REPORT.md#S02
AS-E03	trace-m PSD Gram; exact spectral envelope; seven-window pressure	269/280 block defect with span charge	VALID_FINITE_THEOREM	Actual finite Gram needs comparison adapter	supplement/REPORT.md#S02
AS-E04	fixed-size block bound; uniform bounded-separation overlap; span split; tail and endpoint o(N); convex pinching	global defect lower bound	VALID_CONDITIONAL_HYPEREDGE	Fixed m errors summed as uniform o(1) per block	supplement/REPORT.md#S02
AS-E05	global defect lower bound; stability inequality; external trace/mean-square/tail inputs	conditional simple-line proportions H269 and H280	VALID_CONDITIONAL_HYPEREDGE	Not an RH assertion or finite-code-only theorem	supplement/REPORT.md#S02
AS-E06	rank-two cone relation P^2>=4R; exact repaired symbolic certificate; optimized replay	rank-two CTI	VALID_FINITE_THEOREM	No all-rank transfer	supplement/REPORT.md#S03
AS-E07	fresh finite Conrey trial bound; published Conrey functional implication	fifth derivative line proportion >49/50	VALID_CONDITIONAL_HYPEREDGE	Optimized .997 budget not recovered	supplement/REPORT.md#S04
AS-E08	complete actual pole manifest; CRT selector congruences; residue theorem	finite selected first and second jet moments	VALID_FINITE_THEOREM	Second selector includes factor r	supplement/REPORT.md#S05
AS-E09	normalized anchor/growth; Cartan collar; finite water filling	safe finite contour bounds	VALID_FINITE_THEOREM	Does not absorb cofinal selector losses	supplement/REPORT.md#S05
AS-E10	actual positive theta source and derivatives; frozen companion lambda; uniform all-y variance; T^2 log r/r ->0	high-order full lower-ray sector/nonvanishing	VALID_WITH_BINDING_REPAIR	Does not control low-order Levinson numerator	supplement/REPORT.md#S06
AS-E11	uniform divisor coefficient estimates; finite simultaneous-root sieve; displayed growing-k parameters	ShortTranslates	RECONSTRUCTED_ANALYTIC_CHAIN	Not a kernel build	supplement/REPORT.md#S07
AS-E12	ShortTranslates; Rankin and greedy covering; CRT; consecutive-prime conversion	LongGapTheorem at stated asymptotic scale	RECONSTRUCTED_ANALYTIC_CHAIN	No RH implication	supplement/REPORT.md#S07
AS-E13	weighted Poisson atoms; dyadic intensity du/u; finite expected total mass	finiteFragments fallback null almost surely for positive cap	VALID_ANALYTIC_COMPONENT	Finite mass is not finite atom count	supplement/REPORT.md#S08
AS-E14	quoted Catalan v1 valuation asymptotic; compulsory nonzero Pascal-Cauchy summand; clearing factors	max-summand proof majorant not negative quadratic	VALID_CONDITIONAL_PROOF_OBSTRUCTION	Not original PDF authentication and not rationality	supplement/REPORT.md#S09
AS-E15	all source-specific cofinal sign/normalization/capture premises in parent route map	RH	OPEN_CONDITIONAL_HYPEREDGE	This supplement discharges no central cofinal arithmetic sign	supplement/REPORT.md#S10
