local_object	local_sha256	pr497_object	pr497_sha256	comparison	disposition
L-93420	c7b5ee3eef3e7c393db1a5698998e4d532ec70fbaea98fa325c403d7cbceeb43	L-93600 + L-93601	6136a5b38aa19577b0ee1a867f4132164338b23a8a08e9e34f75675fae805cf2 + e8d5d86c153d0f0893cedcd7287f57e731a2f4983191b99292be8b4f5393e311	PR497 has a proved 5Y^-3/2 ramp remainder, explicit boundary strip, all 65 rows and 51,118,080 exact events; 93420 used an asserted 2/25 bound and 17,508,451-event extremal-row control	PR497 CONTROLS; do not republish
L-93421	96d88e1a23edc4a62f6c4fd28065f84ad2088c1b0397986422d056990ba28d48	L-93602	eeb1e6a812d333f85b2cd878231b37ea2fb58dcaa4d0d3a4a87a0ba1ad92a4ea	Same compact/tail AVLT composition, with PR497 carrying the stronger tail antecedent	PR497 CONTROLS
L-93422	b2798f3f84d61692062550aea7badeae33268e83397fc8992431cfdd6ad5d834	L-93603	01d1205ffb6daeeca752f634428a83ded07e95187f8adf94576e8572f63ad6b7	Same common-parent programme; 93420 is more explicit about the label tuple, cutoff coefficients and current-only row-bonus type, but not a stronger conclusion	Carry only the explicit typing/labels into successor L-93783
L-93423	bc9508d8e141c5ca78af951736af675e8351ae2ff2f7e60290b6f3326317217c	R-93600 + L-93604	6601b5680dbb04938aadaa774d7f8fb008dc8091de64b8ba96bfaba900b2b5a5 + 7cab20521f25af68463d18275dc97c69f5a4543cb757f98a030c9cf5a7c42640	Same positive-source/signed-observation two-ledger repair and all-column inequality	PR497 CONTROLS
L-93424	0207c4a0dff38858cc524a5ac5f840c998573e1e7c51bc1fe307567609b83f42	L-93605	edee9cf7dc9155650a77170c59ff10c3e13c50835b67fa4a3e4913d4ab28b954	Same named 60989 native Y4 ledger	PR497 CONTROLS
R-93420	e5b8db802818179a9de8dbc974b70ac5def9a5f9138de40c098b16d4b2103461	R-93600	6601b5680dbb04938aadaa774d7f8fb008dc8091de64b8ba96bfaba900b2b5a5	Same type firewall against relabelling signed comparison as positive source	PR497 CONTROLS
T-93420	2783436a9dd311c7f2bce09e6f7508f694925445c0aef68fbdfeb6416467a9db	T-93601	3fcfe2c94ad434f12ec113a06dc3198acaa55f73b92331ce33dcde322b752196	Same one-sided endpoint composition	PR497 CONTROLS
T-93421	c4c30e0f919c27ac22d523f02d91c46f82f78dfafa6389f02e6dd22b2f60547c	T-93600 + T-93601	943632f95a8a5258ddce1d20f99b71d3aa3a2cb871bff1d123166934ec44e22e + 3fcfe2c94ad434f12ec113a06dc3198acaa55f73b92331ce33dcde322b752196	Same candidate-complete proposal with PR497 stronger tail and durable remote freeze	PR497 CONTROLS
X-93420 tail	9be5f9b27dd85e0329433a992054e7167d94fb39317085a44a4657f4d59b4f4b	X-93600	bbe12b0e9e7499314e955a0d350f713361afa17a626783cb6b398cfe601dc721	17,508,451-event floating artifact versus 51,118,080 exact-order all-row artifact	PR497 CONTROLS; successor replaces floating values with directed intervals
X-93420 packet	6537ade50cc919401d70a696c2d37061b3417483eb0a39737139a89c55b491a5	X-93601	5a7192f778235b2169e3b3d7767a06bfb839e761d6f4ec70833978d00ad4c725	Substantially same native ledger regression	PR497 CONTROLS; successor adds exact typed-leaf compiler regression
