kind	formal_id	source_semantic_id	lean_declaration	lean_module	formal_status	honest_scope	source_head
CANONICAL	CONSUMER.MELLIN.FIXED_ROW	CONSUMER.MELLIN.FIXED_ROW	RiemannFormal.Analysis.FixedDetectorReciprocalZetaIdentity	RiemannFormal.Analysis.FixedDetectorConsumer	STATED	Exact fixed-detector reciprocal-zeta interface; no producer instance.	ae0887b8125601c98dc809cffe01c7f1c78bb998
CANONICAL	CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	RiemannFormal.Analysis.fixed_mellin_singularity_transfer	RiemannFormal.Analysis.SingularityTransfer	PROVED	Fixed source, multiplier, main term and holomorphic-defect singularity transfer.	ae0887b8125601c98dc809cffe01c7f1c78bb998
CANONICAL	CONSUMER.MELLIN.ZERO_SAFE_BOX	CONSUMER.MELLIN.ZERO_SAFE_BOX	RiemannFormal.Analysis.logBoxMultiplier_nonzero	RiemannFormal.Analysis.MellinAPI	PROVED	Fixed logarithmic-box multiplier nonvanishing on Re(s)>0.	ae0887b8125601c98dc809cffe01c7f1c78bb998
CANONICAL	CONSUMER.MELLIN.SPECIALIZED_LANDAU	CONSUMER.MELLIN.SPECIALIZED_LANDAU	RiemannFormal.Analysis.nonnegative_landau_boundary	RiemannFormal.Analysis.LandauConsumer	PROVED_CONDITIONAL	Consumes the exact missing tail-Mellin Landau proposition explicitly.	ae0887b8125601c98dc809cffe01c7f1c78bb998
CANONICAL	API.MELLIN.SUBPOWER_NEGATIVE_MASS	API.MELLIN.SUBPOWER_NEGATIVE_MASS	RiemannFormal.Analysis.fixedDetector_negativeMass_implies_RH	RiemannFormal.Analysis.FixedDetectorConsumer	PROVED_CONDITIONAL	Concludes Mathlib RH from every analytic and arithmetic premise explicitly; no premise already returns RH.	ae0887b8125601c98dc809cffe01c7f1c78bb998
CANONICAL	CONSUMER.MELLIN.TWO_ROW	CONSUMER.MELLIN.TWO_ROW	RiemannFormal.Arithmetic.FixedRows.rows23_no_common_zero	RiemannFormal.Arithmetic.FixedRows	PROVED	Exact rows 2 and 3 common-zero exclusion on the open-unit-disc domain.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	CONSUMER.MELLIN.FIVE_THREE	CONSUMER.MELLIN.FIVE_THREE	RiemannFormal.Arithmetic.FixedRows.fiveThree_nonzero	RiemannFormal.Arithmetic.FixedRows	PROVED	Exact -3(a-1)(a-2) factorization and noncancellation.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.SHARP.COMPACT_HALL_RN	ARITH.SHARP.COMPACT_HALL_RN	RiemannFormal.Arithmetic.SourceIdentities.sharpRNDensity_16_4_4	RiemannFormal.Arithmetic.SourceIdentities	BLOCKED_MATHEMATICS	Exact finite (16,4,4) RN/response/capacity fixture only; compact Hall theorem remains open.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.SHARP.ALPHA_NATIVE_PROMOTION	ARITH.SHARP.ALPHA_NATIVE_PROMOTION	RiemannFormal.Arithmetic.SourceIdentities.native_one_prime_ne_contracted_two_child	RiemannFormal.Arithmetic.SourceIdentities	REFUTED_FORMALIZED	Exact native r versus contracted 2r² promotion firewall.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	RiemannFormal.Arithmetic.SourceIdentities.scalarFirstOwnerExpansion_eq_finiteEulerProduct	RiemannFormal.Arithmetic.SourceIdentities	BLOCKED_MATHEMATICS	Generic finite scalar/list helper, not the full labelled sequential first-owner theorem.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.SOURCE.TYPING_FIREWALLS	ARITH.SOURCE.TYPING_FIREWALLS	RiemannFormal.Arithmetic.SourceIdentities.response_capacity_coefficients_differ_16_4_4	RiemannFormal.Arithmetic.SourceIdentities	BLOCKED_MATHEMATICS	Finite response/capacity and normalization fixtures; complete provenance ledger remains open.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.WAVELET.MINIMAL_RATIO8	ARITH.WAVELET.MINIMAL_RATIO8	RiemannFormal.Arithmetic.Wavelet.threeTap_minimal	RiemannFormal.Arithmetic.Wavelet	BLOCKED_MATHEMATICS	Generic three-tap minimality helper, not the canonical sqrt(2) ratio-eight/factor-67 wavelet.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.WAVELET.ABEL_MERTENS	ARITH.WAVELET.ABEL_MERTENS	RiemannFormal.Arithmetic.Wavelet.finite_sum_by_parts	RiemannFormal.Arithmetic.Wavelet	BLOCKED_MATHEMATICS	Generic finite summation by parts, not the full compact Abel-Mertens frame.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.XD.OLD_K0_K1_EDGE	ARITH.XD.OLD_K0_K1_EDGE	RiemannFormal.Arithmetic.Wavelet.K0_ne_K1	RiemannFormal.Arithmetic.Wavelet	BLOCKED_MATHEMATICS	Direct type-tag inequality only; historical false edge remains superseded evidence.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.XD.SAME_K1_TRANSLATION	ARITH.XD.SAME_K1_TRANSLATION	RiemannFormal.Arithmetic.Wavelet.sameKernelIdentity_coefficient	RiemannFormal.Arithmetic.Wavelet	BLOCKED_MATHEMATICS	Local same-kernel identity smoke test, not the quantitative Vaughan translation.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	ARITH.VAUGHAN.HALF_DIVISOR	ARITH.VAUGHAN.HALF_DIVISOR	RiemannFormal.Arithmetic.HalfDivisor.eta_mul_eta	RiemannFormal.Arithmetic.HalfDivisor	BLOCKED_MATHEMATICS	Exact arithmetic-function convolution; b_U/h_U fields and near-collision theorem remain open.	6d42bbc31c81e7d6a03909e205b56f30f6f7b49a
CANONICAL	OPERATOR.XI.PICK_ORDER2	OPERATOR.XI.PICK_ORDER2	RiemannFormal.Operator.actualXiPickOrderTwo_of_inputs	RiemannFormal.Operator.XiOrderThree	PROVED_CONDITIONAL	Actual-Xi order-two PSD from explicit published-height and grouped-expansion inputs.	381a5a98ade7c6bad7122e5182c2fc07332dc747
