handoff_pr	handoff_head	candidate_id	source_pr	source_head	source_claim	prior_packet_status	followup_disposition	canonical_record	notes
710	e91d6aa25d2e8576e82d26170127941eec430f75	CONSUMER.MELLIN.FIVE_THREE	649	433fd3662f7b2e4ba384ce64f196380e88624090	L-99261	PR-level represented but no exact delta node	NEWLY_EXTRACTED	DELTA.MELLIN.FIVE_THREE_FIXED	Fixed analytic detector separated from its open arithmetic producer.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.PIG.CARRY_FOURIER_CORE	383	d764be15bd8ea902ad260484eab44d19a9e82175	L-90411	omitted as standalone theorem	NEWLY_EXTRACTED	DELTA.Q4.CARRY_FOURIER_CORE	Exact finite coordinate theorem; no PIG sign.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.PIG.HAAR_JORDAN_CORE	383	d764be15bd8ea902ad260484eab44d19a9e82175	L-90416/L-90417	omitted and numerically colliding	NEWLY_EXTRACTED	DELTA.Q4.HAAR_FINE_SCALE;DELTA.Q4.JORDAN_PERIODIZED;ALIAS.PR383.NUMERIC_COLLISIONS	Fixed-endpoint Haar and periodized Jordan geometries kept distinct.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.PIG.FOURTEEN_ROW_RENEWAL	383	d764be15bd8ea902ad260484eab44d19a9e82175	L-90427/L-90430	omitted corrected local theorem	NEWLY_EXTRACTED	DELTA.Q4.FOURTEEN_ROW_RENEWAL	Column-one gauge, u1 term and factor-two correction made controlling.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.FOURIER_GOLDBACH_NORMAL_FORM	386	66e60006bedbababefae22ad8f88f06753139a2b	L-90703/R-90703	omitted local reduction/no-go	NEWLY_EXTRACTED	DELTA.Q4.FOURIER_GOLDBACH;DELTA.R.Q4_ANTIDERIVATIVE_L2	Exact normal form plus operator-class norm-loss firewall.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4_HERMITE.ALL_SUBLINEAR_EXCESS	520	41db5f783c751e66c786f18fa7fbd6d9bf229a8d	T-94051	already extracted as conditional with controlling PR #528	ALREADY_COVERED	DELTA.Q4.PHASE_LOCKED_HERMITE	No new verdict; fixed-center/uniform quantifiers remain separated.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.SCALE4.POSITIVE_DIVISOR_COMPILER	540	d2984600a848aca04f27b46bda86bd92229a4a0b	L-95050/R-95050	generic unpinned row	EXACTIFIED	DELTA.Q4.POSITIVE_DIVISOR_COMPILER;DELTA.R.Q4_SOURCE_FREE_RECIPROCAL	Exact head/path and multiplicative-only scope pinned.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.PASSIVE_SCALE_STATE	563	c4cc65cccb3f13a6499506cf3c26bd521c455864	L-95280--L-95282/R-95280	already extracted with fixes	ALREADY_COVERED	DELTA.Q4.PASSIVE_STATE	No extra review required.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.FINITE_ODD_CORE_PRECONDITIONER	573	0865242eb9dc0ed6094afc8a87a52b974c6f1307	L-95310/L-95311/R-95310	already extracted as conditional reduction	ALREADY_COVERED	DELTA.Q4.ODD_CORE	Feasibility/correlation gate remains FOCC/UOSACF.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.ONE_SIDED_MOMENT_COMPRESSION	595	e66a91166b80cbf0a520e3a78ea96582d263d563	L-95510/L-95511	already extracted and controlled by PR #606	ALREADY_COVERED	DELTA.Q4.UOSACF	SACF sufficient versus UOSACF equivalent distinction retained.
