packet_id	source_key	packet_root	pass1_coverage	remaining_review
LC	S803	standalone/2026-09-06-logarithmic-core	SUBSTANTIVE_PAPER	Parent source reconciliation; Littlewood strictness input; checker and primitive-engine boundaries
WP	S803	standalone/2026-09-06-logarithmic-core/window-one-positivity	SUBSTANTIVE_PAPER_CERTIFICATE_HELD	Independent primitive/code audit and all finite coefficient and infinite-tail acceptance checks
HT	S803	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares	INVENTORY_TRIAGE	Complete proof and source/height/prime-square tail review
AN	S803	standalone/2026-09-06-logarithmic-core/annular-scalar-route	INVENTORY_TRIAGE	Complete scalar route and signed remainder review
ES	S803	standalone/2026-09-06-logarithmic-core/euler-tail-stability	INVENTORY_TRIAGE	Full tails and stability quantifiers
FM	S803	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt	INVENTORY_TRIAGE	PROOF_ATTEMPT and failed inference; do not erase useful negative result
PC	S803	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count	INVENTORY_TRIAGE	Curvature versus signed failure count; source convention
SS	S803	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap	INVENTORY_TRIAGE	Bootstrap hypotheses; cofinality; full source
MC	S803	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour	INVENTORY_TRIAGE	Contour poles; signed versus absolute estimates
CR	S803	standalone/2026-09-06-logarithmic-core/completion-rigidity-review	INVENTORY_TRIAGE	Author review is research; check rigidity and downstream effect
PR	S803	standalone/2026-09-06-logarithmic-core/positive-residual-review	INVENTORY_TRIAGE	Residual normalization; positivity versus critical estimate
RN	S803	standalone/2026-09-08-residual-normalization-and-minima	INVENTORY_TRIAGE	Both safe jets; complete finite minima and certificate replay
RG	S803	standalone/2026-09-08-residual-spectral-exponent	SUBSTANTIVE_PAPER	Complete source/code lock and RN comparison; retain unknown Theta
JG	S804	standalone/2026-09-06-astra-sharp-jordan-green	SUBSTANTIVE_PAPER	Proof dependency closure; two manuscripts versus historical #440; supporting files
CSM	S804	standalone/2026-09-06-astra-critical-source-map	SUBSTANTIVE_PAPER	Maximal domain versus source space; retained normalization and source checks
CD	S804	standalone/2026-09-06-astra-compact-domain-completion	SUBSTANTIVE_PAPER	Author numerical campaign and full certificate code not replayed
DC	S804	standalone/2026-09-06-astra-domain-cutoff	INVENTORY_TRIAGE	Complete cutoff, GRAM_FLOOR and damping/tail arguments
MW	S804	standalone/2026-09-06-astra-mobius-work-resonance	INVENTORY_TRIAGE	Hidden latest packet: WORK_IDENTITY and RESONANCE; validation code partly inspected only
DO	S805	standalone/2026-09-06-astra-dilation-observability	INVENTORY_TRIAGE	Whole source dictionary, Gram, leakage, numerical proof scope
BG	S805	standalone/2026-09-06-astra-block-gain	INVENTORY_TRIAGE	Full norm versus detail relaxation; exact failed direct lift
GT	S805	standalone/2026-09-06-astra-growth-transfer	INVENTORY_TRIAGE	Analytic inputs, target/metric and exponent transfer
BL	S805	standalone/2026-09-06-astra-balanced-lift	INVENTORY_TRIAGE	Rational optimizer, horizon and zero-forced growth
GE	S805	standalone/2026-09-06-astra-green-energy	INVENTORY_TRIAGE	Full Green form, tridiagonal inverse and finite certificate
TE	S805	standalone/2026-09-06-astra-terminal-endpoint	INVENTORY_TRIAGE	Changed terminal family versus parent; fixed-grid criterion
BH	S805	standalone/2026-09-07-astra-balanced-hyperbola	INVENTORY_TRIAGE	Hyperbola decomposition and complete tail; signed terms
CL	S805	standalone/2026-09-07-astra-critical-line-attempt	INVENTORY_TRIAGE	P squared versus absolute P squared; actual failed closing estimate
OEC	S811	standalone/2026-09-07-astra-logarithmic-domain-transfer	INVENTORY_TRIAGE	Full log-cost, smoothing, zero-forced lower bound and Abel argument
EF	S811	standalone/2026-09-07-astra-entropy-feedback	INVENTORY_TRIAGE	Feedback condition, full-domain versus source-domain distinction
EPD	S811	standalone/2026-09-07-astra-endpoint-prime-discrepancy	INVENTORY_TRIAGE	Exact endpoint state and RH-conditional converse
PDS	S811	standalone/2026-09-07-astra-prime-discrepancy	INVENTORY_TRIAGE	Later-published overlapping packet: higher-power tail and entropy/L1 comparison
FR	S812	standalone/2026-09-07-astra-future-realization	INVENTORY_TRIAGE	Ordinary compact L2 realization, exact prefix and numerical evidence
FC	S812	standalone/2026-09-07-astra-feedback-and-conditioning	INVENTORY_TRIAGE	Fixed feedback quantifiers versus new finite optimizer; Gram conditioning
ST	S814	standalone/2026-09-07-astra-source-stability	INVENTORY_TRIAGE	Source-specific lower floor and all small-value constants; HC reconstructs only needed input
HC	S817	standalone/2026-09-07-astra-quantitative-capture	SUBSTANTIVE_PAPER	Full predecessor/implementation reconciliation; constants not numerically certified
CCT	S818	standalone/2026-09-08-astra-critical-cutoff-taper	SUBSTANTIVE_PAPER	PDS higher-power tail dependency; checker and package replay
SSQ	S818	standalone/2026-09-08-astra-square-grid-localization	SUBSTANTIVE_PAPER	Finite prime-energy prefix replay; retain BT versus CM distinction
IE	S819	standalone/2026-09-08-astra-intrinsic-entropy	SUBSTANTIVE_PAPER_CERTIFICATE_HELD	Degree-six full-tail trial and copied interval-core independent audit/replay
LT	S823	standalone/2026-09-08-astra-late-tail-zero-insertion	SUBSTANTIVE_PAPER	Parent-source and checker review; no actual numerical zero insertion claimed
TSR	TSR	standalone/2026-09-07-astra-all-rank-spectral-intersection	SUBSTANTIVE_PAPER_FINITE_TABLE_RECONSTRUCTED	Publishability/source attribution; original checker and counting-family compatibility
