packet	source_key	commit	path	blob	read_scope	execution_scope	note
WP	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/PROOF.md	644392c4a59edff697851fe526b8da5de96492cf	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
IE	S819	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/PROOF.md	afb721d6eddae8eb4fe861091f9747394bd7c708	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
RC	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-08-rational-residual-capture/PROOF.md	e7b0dfd9db3a114962ed610c9b19900df135b58b	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
ADG	S825	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/PROOF.md	d87d275f53b68472e29dce777de3f786566184fc	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
DPG	S826	3a82b80da82edbcd65d4538418a3d51d6030f058	standalone/2026-09-08-astra-divisor-poincare/PROOF.md	3e598e27e6b258d2fbd1a77740543ae99e191c3f	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
DC10	S790	6b309554bf1e2f83a83325cd54038f5a0b9b0014	standalone/2026-09-05-astra-theta-count-closure/divisor-cusp-pass10/PROOF.md	2e7d67973881dc440868abd3e46bb65f379b2b31	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
FR	S812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/PROOF.md	cd5d68c82169f32da6b41eb788b7313ed5d7e547	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
FC	S812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-feedback-and-conditioning/PROOF.md	c4b257e73368b9a69044d29796960401d8cf3569	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
ST	S814	dc7babb830cb696810fb68bd74f6a33459f5f921	standalone/2026-09-07-astra-source-stability/PROOF.md	d407fcc6b2ecf7d92f9393c3fc474f445095ca31	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
OEC	S811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-logarithmic-domain-transfer/PROOF.md	f8e74b694038176a2d5bc426832158fcde12d094	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
