sequence	scope	working_directory	command	exit_code	classification	log	first_result
001	exact-head	riemann-formal-b	git status --porcelain=v1 --branch	0	PASS	raw/B/00_initial_git_status.log	Detached clean status
002	exact-head	riemann-formal-b	git rev-parse HEAD	0	PASS	raw/B/01_freeze_metadata.log	072b4dbd0e4e407728a59110eb4f7214e23f8f8d
003	exact-head	riemann-formal-b	git rev-parse HEAD^{tree}	0	PASS	raw/B/01_freeze_metadata.log	1c32466dd7928a24e0115268a6a330216f26ed3b
004	exact-head	riemann-formal-b	git rev-parse HEAD^	0	PASS	raw/B/01_freeze_metadata.log	9bb802ebd97a00e01ef14789417f4c2a53031af3
005	exact-head	riemann-formal-b	git rev-parse refs/remotes/origin/formal/020-arithmetic-mellin	0	PASS	raw/B/01_freeze_metadata.log	Matches HEAD
006	exact-head	riemann-formal-b	git rev-parse HEAD:formal/lean-toolchain	0	PASS	raw/B/01_freeze_metadata.log	Blob c084c7fbe586b0276863b66f16d2955a43bc3fc6
007	exact-head	riemann-formal-b	git rev-parse HEAD:formal/lake-manifest.json	0	PASS	raw/B/01_freeze_metadata.log	Blob f9c02d809750cf37e2ae9e19ac635f017e9efe82
008	exact-head	riemann-formal-b	git diff --quiet -- formal/lean-toolchain formal/lake-manifest.json	0	PASS	raw/B/01_freeze_metadata.log	Committed locks unmodified
009	exact-head	riemann-formal-b	Get-Content -Raw formal/lean-toolchain	0	PASS	raw/B/01_freeze_metadata.log	leanprover/lean4:v4.33.0-rc2
010	exact-head	riemann-formal-b	Get-FileHash formal/lean-toolchain -Algorithm SHA256	0	PASS	raw/B/01_freeze_metadata.log	Working-tree bytes 4bad8e3fbd71a33fa5e8505ad7af799e42a24796d171b3fb5b58e41d12408128
011	exact-head	riemann-formal-b	Get-FileHash formal/lake-manifest.json -Algorithm SHA256	0	PASS	raw/B/01_freeze_metadata.log	Working-tree bytes 7290452db11edeab155ffabe5a2b5d6b4cf07ea741449a5934af421dbd53f9b1
012	exact-head	riemann-formal-b	bash -lc "git cat-file blob 'HEAD:formal/lean-toolchain' | sha256sum"	0	PASS	raw/B/05_committed_blob_sha256.log	Committed bytes 0d3c76ccd8772d8bcbe207241421a760312b71a6aa82f84194391fdf5cb026d6
013	exact-head	riemann-formal-b	bash -lc "git cat-file blob 'HEAD:formal/lake-manifest.json' | sha256sum"	0	PASS	raw/B/05_committed_blob_sha256.log	Committed bytes 6be307e0de2294f99ce68e80903cd4cc88e77b6797c853c67be5cd9f6a1db453
014	exact-head	riemann-formal-b	git merge-base --is-ancestor 573eb6aa42c3d9469462c91c6b3ddfb8ab36d77f HEAD	0	PASS	raw/B/04_bootstrap_ancestry.log	Expected bootstrap is exact merge base
020	exact-head	riemann-formal-b/formal	elan --version	0	PASS	raw/B/02_tool_versions.log	elan 4.2.1
021	exact-head	riemann-formal-b/formal	lean --version	0	PASS	raw/B/02_tool_versions.log	Lean 4.33.0-rc2 commit d8b1897
022	exact-head	riemann-formal-b/formal	lake --version	0	PASS	raw/B/02_tool_versions.log	Lake 5.0.0-src+d8b1897
023	exact-head	riemann-formal-b/formal	python3 --version	0	PASS	raw/B/02_tool_versions.log	Python 3.12.10
024	exact-head	riemann-formal-b/formal	bash --version	0	PASS	raw/B/02_tool_versions.log	GNU bash 5.2.15
030	exact-head	riemann-formal-b/formal	git -C .lake/packages/plausible rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest 123d15766ba49356c02ebad2a4462dfe12d79899
031	exact-head	riemann-formal-b/formal	git -C .lake/packages/LeanSearchClient rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest f5c090429dff3cf66cb65562526c9ea6e8edfbcb
032	exact-head	riemann-formal-b/formal	git -C .lake/packages/importGraph rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest bb3469a87774349fe01898d8bf2fc6a1ce6411ca
033	exact-head	riemann-formal-b/formal	git -C .lake/packages/proofwidgets rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest 222c58dad7706a6e7cae46c0edd65ea881d3ee27
034	exact-head	riemann-formal-b/formal	git -C .lake/packages/aesop rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest 7db8190085343afde2f5d2cdcc9bac719b6ec02c
035	exact-head	riemann-formal-b/formal	git -C .lake/packages/Qq rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest ef42f8944eaf5b6cbfbe75d1917d824c7dd6cf33
036	exact-head	riemann-formal-b/formal	git -C .lake/packages/batteries rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest 76e1c118b0700b4ceafe99532e887d6431625e1a
037	exact-head	riemann-formal-b/formal	git -C .lake/packages/Cli rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest 1319485273bf87833fa472afbcefdedecb16b45f
038	exact-head	riemann-formal-b/formal	git -C .lake/packages/mathlib rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest 51e6992efd06126df61a496bebf8f49482a4e129
039	exact-head	riemann-formal-b/formal	git -C .lake/packages/Zeta23 rev-parse HEAD	0	PASS	raw/B/03_dependency_checkout_heads.log	Matches manifest cec57f919ccf34e5fa5372b4ba332f7c848bbb6e
100	exact-head	riemann-formal-b/formal	lake exe cache get	0	PASS	raw/B/10_lake_exe_cache_get.log	Locked cache retrieval completed successfully
101	exact-head	riemann-formal-b/formal	lake build	1	LEAN_COMPILE_FAILURE	raw/B/11_lake_build.log	First causal error FixedRows.lean:24:23 unsolved algebraic goal; SourceIdentities and HalfDivisor also have independent errors
102	exact-head	riemann-formal-b/formal	python3 scripts/generate_registry.py	0	PASS	raw/B/12_generate_registry.log	claims=139 delta_rows=15
