pr	source_sha	pin_kind	audit_depth	disposition
713	b6bddacec0e7aeb0ad58c1c2b038c07d66d4467b	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
714	d1a9fea34aa0620a5cb2da41061518638ab8b219	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
715	99cc94c48bafd9b96141f7cef9f1e7aa83012747	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
716	a1d2387c4a1416c3f220a16fae849e6eab620545	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
718	41a087387812e89ce800c59f43582799fee24782	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	PR-body/interface audit only	See claim ledger; no blanket branch acceptance
719	59654c02d13545d6c8c0972315db2628e9efa1f6	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
720	0710d1f5e5216dd1c9cdebce4d6921bc581c5d4a	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
723	7b01a312b06f6948e0ce15d6d8be5e8b57d8fe81	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
724	452978883b0009f002cfec426dfd5eb10041a15c	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
726	a2c9cac627b1e50e31896e44dae65ca9939712eb	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
727	71782530d175162040a8c182a4cb1602d2b23821	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
729	5f6278d72410115a0ccae3e4b86ebf271ea2d2d0	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
730	2db310ed742c2d980830614897ccd10eac852a24	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
731	d147fdb23492289fed4450e63b40ef55afaac466	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
742	5088669fbd46ad76186df66e43b6715c9c732b81	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
757	b870366141fe8d5f43d5b81f6e50a67d2a888070	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	A analytic/source aspect recorded; B aspect pending integrator reconciliation
760	e3747c946379735d27658c010976cfff051843e9	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	A analytic/source aspect recorded; B aspect pending integrator reconciliation
