claim	type	status	load_bearing_scope	open_review_burden
R-93780	provenance correction	EXACT	93420 supersession and four SHA corrections	confirm live GitHub heads
L-93780	analytic primitive	PROVED DIRECTED	zeta(1/2), zeta'(1/2) intervals	reconstruct Hurwitz B2 remainder
L-93781	directed certificate	PROVED ON PR497 FORMULA	51,118,080 tail events and final interval	audit Boost/fenv and L93600 coefficient algebra
L-93782	directed reduction	PROVED	row66 certificate extremality; compact/tail join	replay frozen compact theorem
L-93783	finite exact theorem	PROVED EXACT ON COMPLETE AVLT	typed leaf source/row marginal and ownership	reconstruct L93602
L-93784	producer theorem	PROPOSED COMPLETE ON FROZEN INPUTS	common parent and all q>=2 native feasibility	endpoint frame, all-column, terminal inputs
L-93785	native-cost theorem	PROPOSED COMPLETE ON FROZEN INPUTS	Y4 deficit <60989	L19885 and frozen error bounds
T-93780	proposed complete theorem	CANDIDATE COMPLETE	Native-Root Capacity producer	all preceding reconstruction
T-93781	conditional endpoint theorem	CANDIDATE COMPLETE ON FROZEN CONSUMER	finite dual -> moat -> Mellin/Landau	PR352/PR353 analytic files
RH	open problem	UNPROVEN	no accepted conclusion	hostile independent reconstruction
