omission_id	parent_omission	current_disposition	report_section	evidence_scope	remaining_action
O01	Original seven-gap numerical premise	CLOSED_BY_NEW_INDEPENDENT_CERTIFICATE	S01	Independent 713315-node dyadic/rounded-lower-bound continuum proof; not original Arb byte replay	Integrator: accept new object with trust contract
O02	269/280 finite-to-global adapter	CLOSED_WITH_EXPLICIT_ANALYTIC_INPUTS	S02	Finite spectral and span/trace/endpoint accounting reconstructed	Keep original trace/mean-square/tail theorem as imported input
O03	Interrupted optimized rank-two replay	CLOSED_EXECUTION_HOLD	S03	Unchanged invariant-cone repair produces same certificate under -O	Preserve original source failures
O04	#568 checker and JSON delta	CLOSED_AT_TWO_FILE_SCOPE	S03	Semantic loop change and JSON formatting; supplied endpoint arithmetic independently checked	Primitive directed endpoints not newly generated
O05	All Conrey numerical inputs and endpoint31	PARTLY_CLOSED_TARGETED_HOLD	S04	Fifth trial phi=1-x bound freshly enclosed	Optimized .997 table and endpoint31 require separate source/primitive review
O06	Complete safe-ray high-derivative estimates	CLOSED_WITH_BINDING_REPAIR_IN_STATED_REGIME	S06	Frozen lambda; T^2 log r/r ->0; all-y variance and reflected bounds proved	No near-linear or global Gaussian claim
O07	Every CRT/Cartan implementation	FINITE_THEOREMS_CLOSED_IMPLEMENTATIONS_NOT_BLANKET_AUDITED	S05	Selected pole, minimum-modulus and optimization proofs reconstructed; exact controls	Unlisted implementation modules not promoted
O08	Complete LongGaps mathematics beyond local opening	END_TO_END_MATHEMATICAL_CHAIN_RECONSTRUCTED	S07	Coefficient bounds through finite sieve, growing family, covering, terminal prime gaps	C: actual compiler/kernel execution; unread tactic lemmas not individually accepted
O09	External PDF byte/page audit	EXPLICIT_ACQUISITION_HOLD	S08-S09	Repository TeX/Lean inspected; PDF requests did not supply inspectable pages	C/integrator: exact original PDF/version matching
O10	PrimeGaps186 physical integral campaign	EXPLICIT_EXTERNAL_INPUT_HOLD	S08	Three-axiom types and weighted fragment semantics checked	Physical integrals are not proved by table budget arithmetic
O11	Lamzouri original analytic/formal proof	IMPORTED_INPUT_AND_BUILD_HOLD	S10	Earlier finite Hilbert proof remains; hRvM/hPC not internally discharged here	C: exact formal/provenance build and input matching
O12	Catalan complete original preprint/later version	CONDITIONAL_OBSTRUCTION_ONLY	S09	Positive rho^2/2 leading tax under quoted valuation package	Original attribution and later revisions not reviewed; no rationality theorem
O13	Finite-field/automorphic/Segre/Chow and partial Frobenius modules	SPECIALIST_B_HANDOFF	S10	A native-source/physical scopes retained from parent	B: exact growing-parameter, trace and principal-binding claims
O14	#765 full 38-module/source acquisition closure	SPECIALIST_B_C_HANDOFF	S10	A selected source/innerness/analytic dispositions unchanged	B/C: full module closure and remaining transport points
O15	#790/#792 primitive continuum lower certificates	COMPUTATIONAL_AND_ANALYTIC_HOLD	S10	A finite Schur/coercivity interfaces retained	Require source quadrature, constraints, tails and rounding; samples do not suffice
O16	#793 and A-authored Architecture-E	NONAUTHOR_REVIEW_REQUIRED	S10	Self-audit only; prior authoring computations not independent acceptance	B or another non-author: proof and quantitative claims
O17	Census all-head archaeology and future pushes	SOURCE_RECONCILIATION_BOUNDARY	S10	Own fixed sources retained; not rerunning C entire census	Integrator reconcile exact versions; later changes need delta review
O18	All unlisted historical branch claims	NOT_PROMOTED	S10	Complete dispositions mean named claim scope, not exhaustive history	Selective extraction only; list targeted follow-up when needed
