interface	preceding statement	next requirement	match	verdict
canonical Q rows -> real X	continuous log hinges with zero entry at knots	all real endpoints and one-sided limits	exact	PROVED
native squarefree source -> owner tree	unique k=d p1...pt; magnitude and activation preserved	one owner and cumulative parity per atom	exact	PROVED
causal alpha identity -> native parity source	unsigned P=sP+lambda(P-rC)+alpha C	native odd coefficient r after recursive swap	mismatch r vs 2r^2	FALSE AS AN INFERENCE
missing alpha compensation -> Hall reserve	required coefficient r-2r^2	disjoint source, target, scalar/rows, barycenter and owner	unstated	UNPROVEN/GAP
canonical terminal AVLT -> odd-history terminal	canonical even-to-odd orientation with local row margins	reversed or globally compensated orientation	fails at X=61841	INAPPLICABLE LEAFWISE
checkerboard/Cauchy-Binet -> Hall	TP2/minor signs transported	global target capacity and Lorenz prefix inequalities	not implied	FALSE AS AN IMPLICATION
scalar exact edge -> two rows	5 Delta2+3 Delta3=0	Delta2>=0 and Delta3>=0	Delta2<0<Delta3 generically	FALSE
completed parity source -> scalar Hall	finite atoms with target/scalar coordinates	uniform CPSL67 Lorenz inequality	well-defined but open	UNPROVEN/GAP
scalar Hall -> scalar positivity
target exactness, scalar superordination and positive residual source	R_X>=0	exact	PROVED CONDITIONAL
scalar positivity -> Mellin-Landau	R_X>=0 eventually and growth bound	no zeta zero Re>1/2	exact	PROVED CONDITIONAL
