defect_id	review_input	record_type	internal_id	reported_pr	reported_sha	expected_sha	path	status	defect_class	evidence	disposition
PROV.A.MISSING_LEADING_E	Reviewer A PR #709	CLAIMS.tsv row	CONSUMER.MELLIN.ZERO_SAFE_BOX	653	928fd615d753882706bb88c51b717bd8d4a86ba	e928fd615d753882706bb88c51b717bd8d4a86ba	review/2026-08-21/arithmetic/CLAIMS.tsv	confirmed	MALFORMED_SHA_LENGTH	39-character source SHA; expected frozen PR #653 head begins with e	record only; integrator should repair canonical registry, not source review branch
PROV.B.MALFORMED_SHA_UNLOCATED	Reviewer B PR #708	CLAIMS.tsv row	heat-refutation row identified during first-pass extraction	unknown	39-character value observed in review extraction	requires exact raw-row pin	review/2026-08-21/operator/CLAIMS.tsv	targeted	MALFORMED_SHA_LENGTH	review packet contains at least one malformed heat-family SHA according to extraction audit; raw row was truncated by connector	pin exact row before integration; do not normalize silently
PROV.446.CORRUPT_REPLAY	Reviewer B PR #708	computation	COMP.XI.ORDER3.SOURCE_REPLAY	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	880d14cb4bcbf542ec199137d60c58d9a8fd723d	experiments/X-92100-critical-reserve-allocation/verify.py	confirmed	CORRUPT_CHECKER_SYNTAX	Reviewer B found the exact-head source replay unrunnable/corrupt while an independent clean replay reproduced local algebra	replace checker in a new canonical repair PR; retain original defect
PROV.446.EXTERNAL_LOCK	Reviewer B PR #708	external dependency	COMP.XI.EXTERNAL_ZERO_HEIGHT	446/460	880d14cb4bcbf542ec199137d60c58d9a8fd723d;db9a767e312d9928f5ef827762dcb4ef95494af0	880d14cb4bcbf542ec199137d60c58d9a8fd723d;db9a767e312d9928f5ef827762dcb4ef95494af0	literature/external/*verified-height*source-lock.md	confirmed	STALE_CITATION_METADATA	DOI/journal metadata and exact tail/local-count theorem lock require repair	repair metadata without rerunning high-zero campaign
PROV.455.MULTIPLE_HEADS	source PR	proposal freeze	T-91656	455	1b502acbe511776178da3dc916e3cd3464cd5e77	1b502acbe511776178da3dc916e3cd3464cd5e77	PR body / final lock / dependency manifest v2	confirmed	MULTIPLE_FREEZE_REFERENCES	PR body distinguishes final proposal head, normative-content commit and superseded first manifest	canonical record must name each role explicitly
PROV.468.MOVING_HEAD	source PR	proposal freeze	native-root/rough-reservoir packet	468	multiple evolving heads	unresolved current head	PR body and locks	targeted	STALE_MANIFEST_OR_MOVING_HEAD	proposal evolved across several self-reported heads	pin exact current head and normative lock before use
PROV.474.SELF_REFERENCE	source PR	proposal freeze	Q4 OPB/scale-four packet	474	multiple/self-referential heads	unresolved current head	PR body and locks	targeted	SELF_REFERENCE_OR_MOVING_HEAD	self-reference and multiple freeze values appear in lineage notes	targeted provenance audit
PROV.497.STALE_LOCK	source PR	campaign lock	Target–Lorenz 51M	497	stale SHA strings	repaired only by later PR #508/#516	campaign manifests	confirmed	STALE_MANIFEST	earlier lock values did not identify the final campaign bytes	use later review; retain stale lock as defect
PROV.504.ENCLOSURE	controlling review	computation method	Target–Lorenz 51M	497/508			historical checker	confirmed	SOURCE_RESULT_METHOD_MISMATCH	Boost rounded_transc_std<long double> singleton intervals are not a directed inclusion proof	campaign nonprobative for theorem
PROV.540.OMITTED_RESULT	source PR	checker manifest	Q4 positive-divisor compiler	540	unresolved	unresolved	checker result and manifest	repaired-but-unpinned	STALE_MANIFEST	later branch restored an omitted checker result/manifest entry	pin repaired exact head/path/hash
PROV.561.RECOVERY_MISMATCH	source/recovery chain	artifact publication	Target–Lorenz/parity packet	561/565/566	multiple	multiple	Drive/recovery publication references	targeted	SOURCE_RESULT_OR_PUBLICATION_MISMATCH	published/recovery links and repository bytes were not uniformly aligned in lineage	canonicalize repository bytes only
PROV.565.SOURCE_INTERFACE	source PR	claim type	factor-67 salvage	565	339e3367660f40c74795802a6f8170b15e19b13a	339e3367660f40c74795802a6f8170b15e19b13a	claim packet	confirmed	TYPE_MISMATCH	signed finite comparison was used as a positive source/current interface	controlled by #576/#586
PROV.587.MISSING_GENERATOR	source PR	heavy computation	annular certificate	587	8a0f074c5b96600b461fdd6e23b47ee2162c4a70	8a0f074c5b96600b461fdd6e23b47ee2162c4a70	retained certificate directory	confirmed	INCOMPLETE_SOURCE_LOCK	raw generators/build script/source header are absent while certificates remain	retain certificate only after source recovery or classify finite evidence as unauthenticated
PROV.588.ORIGINAL_EVIDENCE_ABSENT	source PR	recovery archive	cutoff-239 reconstruction	588	unresolved	unresolved	recovery packet	confirmed	MISSING_ORIGINAL_BYTES	original evidence was unavailable; reconstruction is not independent frozen evidence	archive as duplicate/recovery
PROV.590.PREFIX_ONLY_HEAD	local census	PR head	independent LAPBR no-go	590	4f1283c…	exact head unresolved	PR metadata	confirmed	TRUNCATED_SHA	only a prefix/publication reference was available in the extracted context	targeted exact-head pin; do not use zero-padded placeholder
PROV.605.RESULT_PREDATES_CHECKER	source PR	computation	slow-cutoff Stieltjes cube	605	unresolved	later repaired head unresolved	checker/result files	repaired-but-unpinned	SOURCE_RESULT_ORDERING	retained result predates the checker that is said to generate it	require regenerated result at exact checker head
PROV.615.LEGACY_QUARANTINE	source PR	heavy computation	p=67 legacy 10^8	615	eb129ebea953def33a92fb5e7355d4e79cb53171	eb129ebea953def33a92fb5e7355d4e79cb53171	legacy artifact path unresolved	confirmed	INCOMPATIBLE_LEGACY_ARTIFACT	legacy 10^8 artifact is incompatible with current checker/schema and explicitly quarantined	exclude from canonical theorem; retain current 10^6 campaign separately
PROV.653.A_REVIEW_SHA	Reviewer A PR #709	CLAIMS.tsv row	CONSUMER.MELLIN.ZERO_SAFE_BOX	653	928fd...	e928fd...	review/2026-08-21/arithmetic/CLAIMS.tsv	confirmed	MALFORMED_SHA_LENGTH	same defect as PROV.A.MISSING_LEADING_E retained under source PR view	deduplicate during integration while preserving both audit references
PROV.697.SCRATCH_DUPLICATE	Reviewer C working audit	metadata	PR #697	697	earlier scratch value conflicted	e878c3717cd8124564e5400b2ec5db035e3a4088	PR metadata	resolved	LOCAL_EXTRACTION_ERROR	exact current head re-read and pinned	use expected SHA; no source defect
PROV.FORMAL.LOCKS	multiple	formal build inventory	large Lean/formal builds	multiple	unresolved	unresolved	multiple	targeted	INCOMPLETE_DEPENDENCY_LOCK	large builds cited by live claims were not fully enumerated at exact path/hash in A/B	targeted provenance pass; full build remains prohibited
PROV.383.DUPLICATE_CLAIM_IDS	Reviewer A cross-review PR #710 / source PR #383	claim namespace	L-90416;L-90417;L-90426;L-90427	383	d764be15bd8ea902ad260484eab44d19a9e82175	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/ (multiple distinct files per numerical ID)	confirmed	DUPLICATE_NUMERICAL_IDS	PR #383 file list contains two distinct files for each of L-90416, L-90417, L-90426 and L-90427	canonicalize by semantic family plus exact path; do not merge or count same-number files as corroboration
PROV.439.CROSS_REVIEW_STALE_PATH	Reviewer B cross-review PR #711	missed-claim candidate path	L-91355	439	706445c01d4a5c9f852a4faf1329bd9858dc727a	706445c01d4a5c9f852a4faf1329bd9858dc727a	reported claims/lemmas/L-91355-nonduplicating-causal-packet-budget.md; actual claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md	confirmed	MISSING_PATH_REFERENCE	reported path returns 404; exact PR file list and actual file resolve at the frozen head	use the actual path in canonical records; retain the stale handoff path as provenance defect
PROV.540.RESOLVED_HEAD_PATH	Reviewer A cross-review PR #710 follow-up	resolution of earlier omitted-result defect	L-95050/R-95050	540	d2984600a848aca04f27b46bda86bd92229a4a0b	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md;claims/refutations/R-95050-no-source-free-linear-transfer-from-a-log-derivative-to-its-reciprocal.md	resolved_by_followup	STALE_MANIFEST_RESOLVED	cross-review pinned the exact source head and both claim paths; source read-back succeeded	retain original PROV.540.OMITTED_RESULT row historically; use this resolution row for canonical extraction
PASS1.PROV.PR417.NO_OBJECT	Reviewer C pass one	PR_CENSUS	PR-417	417				NO_REMOTE_PR_OBJECT	census_placeholder_not_pr	Current repository PR metadata contains no pull request #417.	Exclude from material research census; retain note so numbering gap is not mistaken for missing mathematics.
PASS1.PROV.ISSUE_TO_THEOREM	issue archaeology	ISSUE_CENSUS	ISSUE_METHOD_RECORDS					FAIL_CLOSED	issue_prose_without_exact_claim_object	Many issue bodies contain proposal wrappers, task prompts or unpinned numerical claims without exact PR/head/path/internal claim records.	Retain as historical methodology; exclude from theorem reachability until exact object provenance is supplied.
PASS1.PROV.PR712.PATCH_BASE	Reviewer C publication	branch_head	PR712_PASS1_BASE	712	a520556ac7f30290a11e1fcba7b6f6a24269153e	a520556ac7f30290a11e1fcba7b6f6a24269153e	review/2026-08-22/coverage/	VERIFIED	incremental_patch_base	Current PR #712 metadata read back before packet generation.	Apply incremental patch only to this exact head or regenerate diff.
