semantic_id	source_pr	source_head_sha	source_path	source_claim_id	final_verdict	required_fix
Q4.CARRY_FOURIER_CORE	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90411-exact-carry-fourier-inverse-laplacian.md	L-90411	VERIFIED_WITH_FIXES	Use path-qualified semantic IDs because PR #383 reuses numerical claim IDs.
Q4.HAAR_FINE_SCALE	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md	L-90416(path-qualified)	VERIFIED_WITH_FIXES	Do not conflate with the distinct Brownian-bridge file sharing L-90416.
Q4.JORDAN_PERIODIZED	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90417-complete-residue-carry-covariance-is-a-jordan2-gcd-square.md	L-90417(path-qualified)	VERIFIED_WITH_FIXES	Keep the periodized ensemble distinct from the actual fixed-endpoint measure.
Q4.FOURTEEN_ROW_RENEWAL	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md|claims/lemmas/L-90430-normalized-phase-filtered-mobius-renewal.md	L-90427(path-qualified)/L-90430	VERIFIED_WITH_FIXES	Retain the u_1 term, column-one gauge, and factor-two spectral correction.
Q4.FOURIER_GOLDBACH	386	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	L-90703	VERIFIED_WITH_FIXES	Keep the source-specific low-frequency/Goldbach cancellation open and distinguish the exact norm-loss no-go.
Q4.POSITIVE_DIVISOR_COMPILER	540	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md|claims/refutations/R-95050-no-source-free-linear-transfer-from-a-log-derivative-to-its-reciprocal.md	L-95050/R-95050	VERIFIED_WITH_FIXES	Do not infer additive critical capacity from macroscopically large positive mass.
Q4.ANNULAR.TYPE_I_II	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md|claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md|claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	L-95400/L-95401/L-95402	VERIFIED_WITH_FIXES	Pin exact kernel certificate, boundary ownership, cutoffs, and distinguish compact log support from compact Fourier support.
OPEN.Q4.SACF	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/theorems/T-95400-annular-separated-coprime-focc-is-the-exact-q4-gate.md	SACF	OPEN_SUFFICIENT_FOR_RH	
OPEN.Q4.UOSACF	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95600-uosacf-is-equivalent-to-rh.md	L-95600/UOSACF	OPEN_RH_EQUIVALENT	
Q4.FILTER.EXHAUSTION	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95601-subpower-invertible-filters-preserve-the-q4-criterion.md	L-95601	VERIFIED_WITH_FIXES	State exact normalization, endpoint spaces, and inverse costs.
Q4.FILTER.CRITICAL_ZERO_BARRIER	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/lemmas/L-95520-safe-zero-moment-tower-for-q4.md|claims/refutations/R-95520-polylog-stable-filters-cannot-add-safe-line-zero.md	L-95520/R-95520	VERIFIED	State the finite-filter/inverse-cost class exactly.
