declared_token	path	canonical_status	canonical_identifier	disposition
L-103070	claims/lemmas/L-103070-critical-weighted-half-kernel-has-a-positive-fourier-factor.md	CANONICAL	L-103070	retained
L-103070	claims/lemmas/L-103070-quarter-power-boolean-type-I-endpoint.md	HISTORICAL_COLLISION	L-103110 fixed-fibre; R-103110 correction	do not cite old complete-owner conclusion
L-103071	claims/lemmas/L-103071-bci-is-a-positive-factor-times-one-normal-ordered-analytic-square.md	CANONICAL	L-103071	retained
L-103071	claims/lemmas/L-103071-quarter-power-cutoff-annihilates-the-balanced-source.md	HISTORICAL_COLLISION	L-103111	renumbered exact support theorem
T-103080	claims/theorems/T-103080-quarter-power-boolean-closure-proposal.md	HISTORICAL_COLLISION	T-103110	superseded complete conclusion
ASPH103080	claims/refutations/R-103010-positive-kernel-or-modulus-square-does-not-orient-bci.md	CANONICAL_FRONTIER_ALIAS	ASPH103080	unrelated positive-Schur frontier
R-103110	claims/refutations/R-103110-quarter-power-type-I-does-not-close-owner-collapse.md	CANONICAL	R-103110	binding correction
L-103110	claims/lemmas/L-103110-quarter-power-fixed-owner-endpoint.md	CANONICAL	L-103110	valid fixed-owner theorem
L-103111	claims/lemmas/L-103111-quarter-power-balanced-support-is-empty.md	CANONICAL	L-103111	valid support theorem
L-103112	claims/lemmas/L-103112-quarter-power-type-I-is-the-harmonic-field.md	CANONICAL	L-103112	exact equivalence/open estimate
T-103110	claims/theorems/T-103110-corrected-quarter-power-boolean-frontier.md	CANONICAL	T-103110	corrected live frontier
