family	canonical_claim_count	prior_inspection	pass3_inspection	pass3_units	remaining_boundary
brownian_weil	6	PRIMARY_COMPONENTS_PLUS_SECONDARY_EXTRACT	FOCUSED_PRIMARY_COMPONENTS	D3-U001;D3-U002;D3-U003;D3-U004	Primary cardinal source/domain/range and adaptable capture now reconstructed. Fixed-height Brownian moment expansion and other unlisted operators remain outside this pass; arithmetic floor open.
c4mbi	1	OPEN_GATE_MAP_ONLY	FOCUSED_PRIMARY_COMPONENTS	D3-U034;D3-U035;D3-U036;D3-U037	Primary four-band and prime-owner identities recovered and checked. Root equivalence retains parent Bellman antecedents; no global sign or descendant bound.
carry_critical_hinge	3	ABEL_PROOF_RECONSTRUCTED_WITH_REWARD_INPUT	NO_NEW_SCIENTIFIC_DISPOSITION		Primitive L-90217 reward generator and all three convexity counterexample files not re-audited.
conjunctive	18	FOCUSED_PROOFS	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
dickman_bellman	3	CORE_ADAPTERS_READ_BASE_INPUT_STILL_EXPLICIT	FOCUSED_PRIMARY_COMPONENTS	D3-U028;D3-U029	Actual fixed P61 weighted variation now reconstructed. Prior classical Dickman/VK inputs and their quantifiers remain explicit; dynamic fixed-small-prime producer not proved.
direct_main_cauchy_jordan	3	FOCUSED_PRIMARY_PROOFS	FOCUSED_PRIMARY_COMPONENTS	D3-U040;D3-U041;D3-U042	Three-square storage and real-frequency scalar frame reconstructed. Completed source identification and critical prime-inserted sign remain open.
direct_main_mellin	4	PRIMARY_ANALYTIC_COMPONENTS	NO_NEW_SCIENTIFIC_DISPOSITION		Transform and fixed-z asymptotic checked; all-row arithmetic sign remains open.
direct_main_p79	6	EXACT_SPLIT_AND_BUDGET_ONLY	NO_NEW_SCIENTIFIC_DISPOSITION		Do not rehabilitate prior false Hall/surplus or positive splice; .4 excluded explicitly.
direct_main_taylor	6	PRIMARY_KERNEL_REMAINDER_CONSUMER	NO_NEW_SCIENTIFIC_DISPOSITION		Supercritical/remainder proofs checked; critical producer remains open and its statuses are split.
factor67_lorenz	1	OPEN_GATE_MAP_ONLY	FOCUSED_PRIMARY_COMPONENTS	D3-U030;D3-U031;D3-U032;D3-U033	Small-prime complete cube/product-boundary bounds audited; one X184 point regenerated. Full global bias producer and finite campaigns not rerun; signed complement still open.
finite_certificates	2	RESIDENT_FINITE_MATRIX_LEMMA_ONLY	NO_NEW_SCIENTIFIC_DISPOSITION		Neither actual Pick primitive box is regenerated; larger Robin streams remain unreplayed.
heat_hermite	6	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
historical_native_assets	7	PRIMARY_FINITE_AND_DISTRIBUTIONAL_COMPONENTS	NO_NEW_SCIENTIFIC_DISPOSITION		Both Farkas forms checked with sign/certificate repairs; source feasibility and endpoint positivity not proved.
mellin_landau	12	FOCUSED_PROOFS	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
native_endpoint	1	OPEN_GATE_MAP_ONLY	FOCUSED_PRIMARY_COMPONENTS	D3-U038;D3-U039	Primary score/packing identity and conditional affine algebra read. Full actual row-source construction, original negative primitive fixture and complete error campaign not regenerated.
owner_vaughan	6	ADDITIONAL_FULL_COEFFICIENT_FACTORIZATION	NO_NEW_SCIENTIFIC_DISPOSITION		Earlier omitted two-field source proof now checked; Type-I analytic/source inputs not fully closed.
q4	11	FOCUSED_PROOFS	FOCUSED_PRIMARY_COMPONENTS	D3-U005;D3-U006;D3-U007;D3-U008;D3-U009;D3-U010;D3-U011;D3-U012;D3-U013;D3-U014;D3-U015;D3-U016;D3-U017;D3-U018;D3-U019;D3-U020	Annular kernels, core partition, signed mean-square repair, finite renewal, compiler and Goldbach forms audited. Original QIDR measure transfer, remaining Haar/source interfaces, and signed critical estimates not closed.
review_infrastructure	3	METADATA_ONLY	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
safe_line_operator	4	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	FOCUSED_PRIMARY_COMPONENTS	D3-U021;D3-U022;D3-U023;D3-U024;D3-U025;D3-U026;D3-U027	All-Green and terminal/small-scale densities audited; net-pole convention repaired. Actual completed Hankel-to-model-space intertwiner, middle-scale numerical certification and other safe-line producers remain open or unaudited.
sharp_native	9	FOCUSED_PROOFS	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
suzuki_hardy	4	SAFE_MASS_INPUTS_RECONSTRUCTED	NO_NEW_SCIENTIFIC_DISPOSITION		Prime and negative continuum masses now checked; Nakamura source import and full critical identification distinct.
terminal	1	METADATA_ONLY	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
wavelet_xd	9	UPPER_ABSCISSA_ADAPTER_SUPPLIED	NO_NEW_SCIENTIFIC_DISPOSITION		R15 closes growth/H2 gap; prior energy mismatch and repaired old-energy proof remain binding.
xi_pick	13	FOCUSED_PROOFS	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_robin		RESIDENT_PACKET	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_corrections		RESIDENT_PACKET	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_xi		RESIDENT_PACKET	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
formal_metadata		METADATA_ONLY	NO_NEW_SCIENTIFIC_DISPOSITION		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
