item	status	owner_or_proof	boundary
PR492 signed-source objection	ACCEPTED	R-91820	signed comparisons never enter positive source
native compact source fibre	PROPOSED COMPLETE	L-91820	frozen Hall/profile inputs require reconstruction
Hall residual	EXACT	L-91820.2	owned by positive source occurrence
Hall bonus	EXACT ON FROZEN MONOTONICITY	L-91820.2	owned by actual Hall edge
least rough owner	FROZEN EXACT	L-91688 / L-91820.4	one owner per rough monomial
inner causal colours	EXACT	L-91820.5	survivor/current-difference/child
whole-cell integration	PROPOSED COMPLETE	L-91821.1-L-91821.2	complete retained activation cells only
anchored identity block	EXACT	L-91821.3-L-91821.4	zero finite/continuum discrepancy
one labelled quantizer	EXACT CONSTRUCTION	L-91821.4	no colourwise or childwise quantizer
one common thinning	EXACT	L-91821.5	tau_K=sqrt(K)/(sqrt(K)+130)
q<K physical columns	COVERED	L-91822.2-L-91822.4	retained adjacent-cell sum
nonterminal comparison	FROZEN EXACT	L-91822.3	relative error <129/sqrt(K)
terminal comparison	FROZEN EXACT	L-91822.5	strict margin 581 X^(-3/2)
radix-four complement	NONNEGATIVE	L-91822.6	capacity comparison, not source
ordinary complement	NONNEGATIVE	L-91822.7	positive radix-four inverse
native Y4 price	PROPOSED COMPLETE	L-91823	A0+4290 log(2X)
continuum benchmark bridge	FORBIDDEN	R-91820 / L-91823	not used
endpoint orientation	FROZEN CONDITIONAL	T-91820	F_Lambda <= native deficit
T-91821	CANDIDATE COMPLETE	T-91821	hostile reconstruction required
Riemann Hypothesis	UNPROVEN	project trust boundary	no accepted proof claim
