claim	status	note
Frozen L-97100 lower bound 1/40	FALSE	Counterexample x=184
Frozen L-97100 upper bound 1/8	No counterexample found in retained scan	Not independently promoted to universal theorem here
Repaired lower bound 1/42	Strong finite+analytic candidate	Finite scan through 12,300,000; publication-grade directed tail proof unfinished
Repaired upper bound 1/20	Strong finite+analytic candidate	Finite scan through 12,300,000; publication-grade directed tail proof unfinished
Current upper constant 9/140	EXACT	Conditional on repaired scalar window and q<=1/8
Hereditary margin 43/3360	EXACT	Conditional on source/interface hypotheses
Low-child coefficient cancellation	EXACT ALGEBRA	Does not alone prove source ownership
Literal source-subpacket recursion	OPEN	First unsupported compositional arrow
Global Hall/Lorenz bypass	OPEN	Cannot be inferred from scalar or local determinant facts
Annular Mellin numerator noncancellation	EXACT ALGEBRA	Consumer still conditional on producer and analytic hypotheses
Riemann Hypothesis	UNPROVED	No final manuscript or accepted proof
