mismatch_id	declaration_or_artifact	claimed_or_implied_statement	actual_lean_statement	severity	canonical_source	downstream_effect	required_fix
M-001	SourceIdentities.firstOwner_eq_nativeEuler	Exact reviewed sequential first-owner source identity preserving labels, future primes, parity, and coefficients.	Generic List (R×R) scalar-product recursion.	NONLOCAL	PR #652 L-99601	Cannot mark ARITH.SHARP.SEQUENTIAL_FIRST_OWNER PROVED.	Rename helper and formalize exact shift/source identity.
M-002	Source role-indexed structures	Source roles cannot be promoted or reconstructed across native/auxiliary/observation/response/capacity types.	Public one-field structures can be destructed and rebuilt at any role.	NONLOCAL	ARITH.SOURCE.TYPING_FIREWALLS	Type API blocks direct coercion but not provenance laundering.	Use private/provenance constructors or narrow the formal claim.
M-003	FixedArithmeticDetector / MovingArithmeticDetector	Fixedness is independent of a zero or proof horizon.	Any chosen moving coefficient can be repackaged into FixedArithmeticDetector.	NONLOCAL	Mellin fixed-detector firewall	Type names do not prove quantifier order.	Add a freeze/provenance witness or state only direct-type separation.
M-004	rn_raw_cutoff_witness	Actual raw-cutoff/RN-child mismatch at (16,4,4).	Abstract rational ratio sharpTargetRoot(1)/sharpTargetRoot(2)=1/5.	NONLOCAL	PR #652 hostile fixture / source firewall	Does not formalize the required counterfixture.	Define both actual quantities and prove their inequality.
M-005	normalized_p_inv_ne_p_inv_sqrt_witness	p^-1 activity differs from p^-1/2 amplitude under the reviewed normalization.	The numeral fact 1/4 != 1/2.	NONLOCAL	PR #667 normalization firewall	No prime, source, or normalization operator is represented.	Quantify p and prove the exact normalized formulas.
M-006	Wavelet.ratioEight_support	Exact minimal wavelet kernel has support ratio eight.	2^3=8.	NONLOCAL	PR #674 T-99910	Cannot count as canonical wavelet support formalization.	Formalize the exact four taps and support endpoints.
M-007	Wavelet.factor67_antisymmetry	Exact factor-67 negative-copy relation of the canonical piecewise kernel.	Generic affine-nuisance cancellation for arbitrary alpha and four values.	NONLOCAL	PR #674 T-99910	The declaration name and blueprint prose overstate scope.	Rename or formalize the actual factor-67 kernel theorem.
M-008	Wavelet.finite_abel_mertens mapped to ARITH.WAVELET.ABEL_MERTENS	Exact compact wavelet is an Abel-Mertens frame with endpoint conventions.	Generic Finset summation by parts.	NONLOCAL	PR #689 L-100500	Only a helper is formalized; B.tsv correctly blocks the canonical row.	Keep blocked and add exact frame assembly.
M-009	Wavelet.sameK1Translation_coefficient	Largest-prime and Vaughan K1 forms differ by an L1(dX/X) error.	Identity function on one KernelDetector .K1.	NONLOCAL	PR #705 L-103201	No quantitative same-kernel theorem is formalized.	Rename as type smoke test or formalize the L1 theorem.
M-010	fixed_native_subpower_negative_mass_implies_RH	Fixed native source plus exact negative-mass/Landau API implies RH.	Application of a field consumes that already states the conclusion; sourceIdentity is unused.	NONLOCAL	PR #653 L-99270/L-99272	Canonical API status would be circular/tautological.	Use Reviewer A exact assumptions and connect source/numerator data.
M-011	content-B.tex first-owner and source-firewall nodes	Canonical claims fully formalized.	Only generic/toy sublemmas are present and nodes are not marked notready.	NONLOCAL	canonical sharp_native claims	Blueprint overstates formal coverage.	Mark notready and describe exact partial scope.
M-012	content-B.tex fixed-native consumer uses edge	Consumer theorem depends on fixed 5:3 algebra.	Lean proof never invokes FixedRows; sourceIdentity is also unused.	LOCAL_TO_NONLOCAL	API.MELLIN.SUBPOWER_NEGATIVE_MASS	Blueprint dependency graph is false.	Remove uses edge or strengthen theorem to use the dependency.
M-013	B.tsv ARITH.SOURCE.TYPING_FIREWALLS PROVED	Full canonical source ledger and hostile fixtures formalized.	Only role tags and toy witnesses are formalized.	NONLOCAL	canonical sharp_native/CLAIMS.tsv	Generated formal map would overstate proof status.	Downgrade to BLOCKED_MATHEMATICS or split a local semantic node.
M-014	B.tsv ARITH.SHARP.SEQUENTIAL_FIRST_OWNER PROVED	L-99601 exact source identity formalized.	Generic list algebra only.	NONLOCAL	canonical sharp_native/CLAIMS.tsv	Generated formal map would overstate proof status.	Downgrade until exact labels/parity/future completion are encoded.
M-015	B.tsv API.MELLIN.SUBPOWER_NEGATIVE_MASS PROVED_CONDITIONAL	Exact reviewed conditional consumer formalized.	A generic consumes assumption already contains the desired implication.	NONLOCAL	canonical Mellin-Landau API	Does not expose or verify the actual analytic assumption boundary.	Replace with reconciled A API before registering.
