edge_id	premise_ids	conclusion_id	edge_type	source_prs	source_shas	final_verdict	first_missing_premise	rh_role	notes
EDGE.MELLIN.ROWS23	"[""CONSUMER.MELLIN.FIXED_ROW"",""CONSUMER.MELLIN.TWO_ROW"",""CONSUMER.MELLIN.SPECIALIZED_LANDAU"",""OPEN.ARITH.ROWS23_NATIVE""]"	RH	HYPEREDGE	[652,653]	"[""24ab64551225f2dba9aa53a533eb9b0285c6e363"",""e928fd615d753882706bb88c51b717bd8d4a86ba""]"	CONDITIONAL_EXACT	OPEN.ARITH.ROWS23_NATIVE	conclusion consumer	The open producer is explicit; no verified-consumer-only traversal is allowed.
EDGE.MELLIN.FIVE_THREE	"[""CONSUMER.MELLIN.FIVE_THREE"",""CONSUMER.MELLIN.SPECIALIZED_LANDAU"",""OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS""]"	RH	HYPEREDGE	[649,653]	"[""433fd3662f7b2e4ba384ce64f196380e88624090"",""e928fd615d753882706bb88c51b717bd8d4a86ba""]"	CONDITIONAL_EXACT	OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS	conclusion consumer	One fixed scalar.
EDGE.MELLIN.NEGATIVE_MASS	"[""API.MELLIN.SUBPOWER_NEGATIVE_MASS"",""OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS""]"	RH	HYPEREDGE	[653]	"[""e928fd615d753882706bb88c51b717bd8d4a86ba""]"	CONDITIONAL_EXACT	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	conclusion consumer	Repairs Reviewer B's collapsed open-premise node.
EDGE.MELLIN.ANNULAR	"[""CONSUMER.MELLIN.ANNULAR_ROWS23"",""CONSUMER.MELLIN.SPECIALIZED_LANDAU"",""OPEN.ARITH.ROWS23_NATIVE""]"	RH	HYPEREDGE	[547,653]	"[""d60f93b0e207a83a283fb229eb988aa4c404765d"",""e928fd615d753882706bb88c51b717bd8d4a86ba""]"	CONDITIONAL_EXACT	OPEN.ARITH.ROWS23_NATIVE	annular conclusion consumer	Requires literal annular witnesses.
EDGE.MELLIN.MOVING_ROW_FALSE	"[""CONSUMER.MELLIN.MOVING_ROW_SELECTION""]"	RH	PURPORTED_IMPLICATION	[641]	"[""19cd3939a54ccea73b055b3952b5dd7ed638c4fb""]"	FALSE	CONSUMER.MELLIN.MOVING_ROW_SELECTION	dead mechanism	Zero-dependent detector.
EDGE.NATIVE.FCHD	"[""ARITH.SHARP.SEQUENTIAL_FIRST_OWNER"",""OPEN.ARITH.FCHD67""]"	OPEN.ARITH.ROWS23_NATIVE	CONDITIONAL_REDUCTION	[652]	"[""24ab64551225f2dba9aa53a533eb9b0285c6e363""]"	CONDITIONAL_EXACT	OPEN.ARITH.FCHD67	native producer	Exact owner identity plus open future-completed sign.
EDGE.NATIVE.ALPHA_FALSE	"[""ARITH.SHARP.COMPACT_HALL_RN"",""ARITH.SHARP.ALPHA_NATIVE_PROMOTION""]"	OPEN.ARITH.ROWS23_NATIVE	PURPORTED_IMPLICATION	[652]	"[""24ab64551225f2dba9aa53a533eb9b0285c6e363""]"	FALSE	ARITH.SHARP.ALPHA_NATIVE_PROMOTION	dead source mechanism	RN location does not repair coefficient.
EDGE.SHARP.POWERS_TO_CV	"[""ARITH.SHARP.POWER_M_GE_2"",""ARITH.SHARP.CRITICAL_DESCENT_IDENTITIES""]"	OPEN.ARITH.CV	PURPORTED_DESCENT	[663,668]	"[""fa081e81044a81e76f48cb9878a659d749e98427"",""15719b975115ecad1b23264c6a6303899b4c99dc""]"	GAP_BLOCKED	OPEN.ARITH.CV	not a proved edge	Identities do not bound weighted downward variation.
EDGE.CV.RH	"[""OPEN.ARITH.CV""]"	RH	EQUIVALENCE	[668]	"[""15719b975115ecad1b23264c6a6303899b4c99dc""]"	OPEN_RH_EQUIVALENT	OPEN.ARITH.CV	RH-equivalent criterion
EDGE.WAVELET.CRITICAL_TO_RH	"[""ARITH.WAVELET.SPECTRAL_ABSCISSA"",""OPEN.ARITH.XD""]"	RH	EQUIVALENCE	[675,705]	"[""7b28224ba1b072d4ccd5b93ad37c0a64e7939740"",""027ea8bd5c879a190e9e22620c245a81f7b93b73""]"	OPEN_RH_EQUIVALENT	OPEN.ARITH.XD	RH-equivalent criterion	The critical estimate, not the abscissa theorem, is open.
EDGE.XD.OLD_K0K1	"[""ARITH.XD.OLD_K0_K1_EDGE""]"	OPEN.ARITH.XD	PURPORTED_EQUIVALENCE	[705]	"[""027ea8bd5c879a190e9e22620c245a81f7b93b73""]"	FALSE	ARITH.XD.OLD_K0_K1_EDGE	inactive historical edge
EDGE.XD.SAME_K1	"[""ARITH.XD.SAME_K1_TRANSLATION"",""OPEN.ARITH.XD""]"	RH	EQUIVALENCE_MOD_L1	[705]	"[""027ea8bd5c879a190e9e22620c245a81f7b93b73""]"	OPEN_RH_EQUIVALENT	OPEN.ARITH.XD	corrected XD coordinate
EDGE.HASSE.WAVELET_ALIAS	"[""ARITH.HASSE.WAVELET_REALIZATION"",""ARITH.WAVELET.MINIMAL_RATIO8""]"	ARITH.XD.SAME_K1_TRANSLATION	COORDINATE_IDENTIFICATION	[692,674]	"[""50c4862c801b6388a30363c336d275270025eff4"",""9962f7f712adc6b4ad72672ecfeace028ba79bdb""]"	VERIFIED_WITH_FIXES		alias	Only at the signed source-faithful level.
EDGE.DICKMAN.CORRIDOR	"[""ARITH.DICKMAN.STIELTJES_TRANSFER"",""ARITH.DICKMAN.MESOSCOPIC_BELLMAN""]"	OPEN.ARITH.FCHD67	OPEN_EXTENSION	[607,608]	"[""a28f8e5b8c90e3aef30e97053ed42e9ddde9c665"",""f362acf56bbbbd183976b6377fbe883193886e1a""]"	GAP_BLOCKED	OPEN.ARITH.FCHD67	live route	The dynamic critical finite block/profile maximum principle is missing.
EDGE.DICKMAN.FIXED_EXPONENT	"[""ARITH.DICKMAN.FIXED_EXPONENT_INTERVALS""]"	OPEN.ARITH.FCHD67	PURPORTED_EXTENSION	[700]	"[""18737409b6fa1c0a20096e5939a60cfc933d251c""]"	GAP_BLOCKED	ARITH.DICKMAN.FIXED_EXPONENT_INTERVALS	not yet active	Joint uniformity is missing.
EDGE.VAUGHAN.NEAR_COLLISION	"[""ARITH.VAUGHAN.LARGE_DIVISOR"",""ARITH.VAUGHAN.HALF_DIVISOR"",""ARITH.VAUGHAN.HAAR_GRAM_DIAGONAL"",""OPEN.ARITH.HCNC""]"	RH	HYPEREDGE	[696,702]	"[""f4016db548afceb31b150547cb6cd48b4cddb77d"",""89f995450977c3590aada0c1447a7e6af7fcd9ac""]"	CONDITIONAL_EXACT	OPEN.ARITH.HCNC	half-divisor route	Open signed off-diagonal estimate is explicit.
EDGE.BPOE.HCNC	"[""ARITH.PHASE.CUBIC_AMPLITUDE"",""OPEN.ARITH.BPOE""]"	OPEN.ARITH.HCNC	HYPEREDGE	[707]	"[""7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.ARITH.BPOE	physical occupancy route	BPOE supplies the physical observation bridge.
EDGE.BPOE.RH	"[""ARITH.PHASE.CUBIC_AMPLITUDE"",""OPEN.ARITH.BPOE"",""ARITH.VAUGHAN.HALF_DIVISOR""]"	RH	HYPEREDGE	[707,696]	"[""7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4"",""f4016db548afceb31b150547cb6cd48b4cddb77d""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.ARITH.BPOE	highest-priority arithmetic open route
EDGE.CONJ.PERRON	"[""API.PERRON.ABSORPTION"",""OPEN.CONJ.PERRON_CV_ROW"",""OPEN.CONJ.PERRON_XD_ROW"",""ARITH.CVXD.CARRIER_PRESERVATION""]"	RH	HYPEREDGE	[697,699]	"[""e878c3717cd8124564e5400b2ec5db035e3a4088"",""f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.CONJ.PERRON_CV_ROW|OPEN.CONJ.PERRON_XD_ROW	minimal conjunctive cut	Both native rows remain open.
EDGE.CONJ.REGIONAL_SCHUR	"[""API.CONJUNCTIVE.REGIONAL_SCHUR"",""OPEN.CONJ.REGIONAL_ROW"",""OPEN.CONJ.REGIONAL_COLUMN""]"	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	HYPEREDGE	[698]	"[""a10d6a40105142de2708632589c458d7534f556a""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.CONJ.REGIONAL_ROW|OPEN.CONJ.REGIONAL_COLUMN	abstract AND gate
EDGE.CONJ.MATCHED_TRANSFER	"[""API.CONJUNCTIVE.MATCHED_TRANSFER"",""OPEN.CONJ.QMT"",""OPEN.CONJ.AMT""]"	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	HYPEREDGE	[704]	"[""66f755df4321a03874e0da3f61b033300173e364""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.CONJ.QMT|OPEN.CONJ.AMT	carrier-preserving AND gate
EDGE.CONJ.ROOT_EXCESS	"[""API.CONJUNCTIVE.ROOT_EXCESS"",""OPEN.CONJ.SORR"",""OPEN.CONJ.RFCP""]"	RH	HYPEREDGE	[706]	"[""44828a27c63bfc57dce12d67e980db33f4d55c3a""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.CONJ.SORR|OPEN.CONJ.RFCP	two-key scalar quotient
EDGE.CONJ.STAIRCASE	"[""ARITH.STAIRCASE.VECTOR_REDUCTION"",""OPEN.ARITH.CFBB""]"	RH	HYPEREDGE	[703]	"[""0a46dba5c74e573945e3612937606f6ca735a1d3""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.ARITH.CFBB	carrier-free vector route
EDGE.CONJ.SPARSITY_ENERGY	"[""API.CONJUNCTIVE.SPARSITY_ENERGY""]"	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	CONDITIONAL_API	[698]	"[""a10d6a40105142de2708632589c458d7534f556a""]"	CONDITIONAL_EXACT	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	inequality only	The displayed log-length sparsity condition is automatic and is not a separate open key.
EDGE.XI.ORDER3	"[""OPERATOR.XI.PICK_ORDER3.DETERMINANT"",""OPERATOR.XI.PICK_ORDER3.TP_CURVATURE"",""OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL""]"	OPERATOR.XI.PICK_ORDER3	HYPEREDGE	[445,446]	"[""c079c2ef21022be951027de1316aecf1168422c1"",""880d14cb4bcbf542ec199137d60c58d9a8fd723d""]"	VERIFIED_WITH_FIXES		standalone unconditional theorem	PSD only; fixes remain mandatory.
EDGE.XI.ALL_PACKETS_RH	"[""OPERATOR.XI.PICK_ORDER3"",""OPEN.OPERATOR.XI.PICK_ORDER4_PLUS""]"	RH	EQUIVALENCE	[438,446]	"[""bb7327d21c47410820cda2671f45dbe709a72eea"",""880d14cb4bcbf542ec199137d60c58d9a8fd723d""]"	OPEN_RH_EQUIVALENT	OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	countable RH criterion	Order three is reviewed; orders four and higher remain.
EDGE.XI.FRACTIONAL_GROWING	"[""OPERATOR.XI.FRACTIONAL_STRING_FIXED_ORDER"",""OPERATOR.XI.FRACTIONAL_STRING_GROWING_ORDER""]"	OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	PURPORTED_EXTENSION	[461]	"[""ea633d416609565b3926f37c9302c93e1b818e2d""]"	GAP_BLOCKED	OPERATOR.XI.FRACTIONAL_STRING_GROWING_ORDER	inactive route	Fixed order does not imply growing order.
EDGE.SAFE_LINE.RADIAL_RH	"[""OPEN.OPERATOR.RADIAL_CURVATURE""]"	RH	EQUIVALENCE	[394]	"[""82ee32348b05512514462966bfeb4e2de4ae5ecf""]"	OPEN_RH_EQUIVALENT	OPEN.OPERATOR.RADIAL_CURVATURE	RH-equivalent criterion
EDGE.SUZUKI.AMPLITUDE	"[""OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING""]"	API.SUZUKI.FOCK_FIRST_CHAOS	STRUCTURAL_USE	[400]	"[""7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e""]"	CONDITIONAL_EXACT	API.SUZUKI.FOCK_FIRST_CHAOS	conditional API	First-chaos reduction requires all-intensity naturality.
EDGE.SUZUKI.RH	"[""OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING"",""API.SUZUKI.FOCK_FIRST_CHAOS"",""OPEN.OPERATOR.SUZUKI_FIRST_CHAOS_DOMINATION""]"	RH	HYPEREDGE	[400]	"[""7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e""]"	OPEN_RH_EQUIVALENT	OPEN.OPERATOR.SUZUKI_FIRST_CHAOS_DOMINATION	operator RH gate
EDGE.CARRY.WEIGHTED_RESPONSE	"[""ARITH.CARRY.FACTOR64_PAYMENT"",""OPEN.ARITH.CARRY_WEIGHTED_RESPONSE""]"	RH	CONDITIONAL_ROUTE	[381,382]	"[""8b32a5941a349df16bdce59909ad66741293cb0a"",""d5630815f68554649445cbe19989b562dc685bd3""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.ARITH.CARRY_WEIGHTED_RESPONSE	critical-hinge coordinate	Finite payment is proved; the literal signed weighted response is open.
EDGE.FACTOR67.GPC_CPSL	"[""OPEN.ARITH.FACTOR67_GPC_CPSL""]"	RH	EQUIVALENCE	[712]	"[""a6aa936ba8bf538177e34af60db7e2f0a58f8dfd""]"	OPEN_RH_EQUIVALENT	OPEN.ARITH.FACTOR67_GPC_CPSL	factor-67 scalar coordinate	C final closure map contracts the surviving factor-67 genealogy to this signed boundary.
EDGE.C4MBI.BOUNDARY	"[""OPEN.ARITH.C4MBI_BOUNDARY""]"	RH	CONDITIONAL_IMPLICATION	[712]	"[""a6aa936ba8bf538177e34af60db7e2f0a58f8dfd""]"	OPEN_SUFFICIENT_FOR_RH	OPEN.ARITH.C4MBI_BOUNDARY	C4MBI route	Exact four-band algebra and finite campaigns do not prove the global sign.
EDGE.DIRECTMAIN.CJHI	"[""DIRECTMAIN.CJ.LOCAL_IDENTITIES"",""OPEN.DIRECTMAIN.CJHI""]"	RH	HYPEREDGE	[717]	"[""dad61b954dd8404520631058d1ce717e7a910a3b""]"	OPEN_RH_EQUIVALENT	OPEN.DIRECTMAIN.CJHI	direct-main operator route	The local operator identities do not supply the coefficient-one completed intertwiner.
EDGE.DIRECTMAIN.MELLIN.ALL_ROWS	"[""DIRECTMAIN.MELLIN.L96000"",""DIRECTMAIN.MELLIN.L96001"",""CONSUMER.MELLIN.SPECIALIZED_LANDAU"",""OPEN.DIRECTMAIN.MELLIN.ALL_ROWS""]"	RH	HYPEREDGE	[717,653]	"[""dad61b954dd8404520631058d1ce717e7a910a3b"",""e928fd615d753882706bb88c51b717bd8d4a86ba""]"	CONDITIONAL_EXACT	OPEN.DIRECTMAIN.MELLIN.ALL_ROWS	historical direct-main Mellin route	Prefer the smaller fixed rows 2,3 or fixed 5:3 consumer in canonical main.
