pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
64	Fallback 4.1B-term carrier pass	38d51cc5d95254d98596c83628cd8f859c5464f7	GAP/BLOCKED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Incomplete fallback superseded by finite result #65.	GAP/BLOCKED
65	Dual-precision fixed-vector carrier certificate	7296bf55449a4b510e4823028744deb793516e14	VERIFIED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Finite positive vector only.	MERGE CANDIDATE
67	Exact feasible-anchor closure of value-only xi cone	8f3cce40048c84f1bfd19e815491790a13e4247b	VERIFIED WITH FIXES	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
68	Eight-point Pick box positive-definiteness certificate	7b0942a83eede8b57d4f28b14a78d80edc295f2a	VERIFIED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
69	Recovered-vector carrier replay trigger	bd05e798cf365a55f5dcd0769e2ed433396184f3	GAP/BLOCKED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Trigger-only; preserve under #65.	SUPERSEDED/DUPLICATE
70	Cross-height complex Pick packet search	c1f4d3aa35e0394a2de3dccf00bd57f40352af94	VERIFIED WITH FIXES	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
71	Full-complex/whole-matrix Pick recheck	82934cf24ed575e9e554ba4e6c912a447aa1dd4e	VERIFIED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
72	Cross-height Arb trigger	b8b7b902bd92b4ce648543b0df82fa33913a42cc	GAP/BLOCKED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Trigger-only.	SUPERSEDED/DUPLICATE
73	Phase-grid compression and selective escalation	a90f4c45c7f58f900e9f20bd310258047e7c545b	VERIFIED WITH FIXES	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
74	Complete fixed-vector trigger	06436abe72cd11dd9ea8b56cdc9c8ffa2186f919	GAP/BLOCKED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Trigger-only.	SUPERSEDED/DUPLICATE
76	Division-free completed-xi modulus witnesses	464f38d7db8feec7009578522cd0d10f577c7d4c	VERIFIED WITH FIXES	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
77	Direct xi-modulus trigger	ae4af902ad250cd5f8ba9d5cb02e26987bdfac9c	GAP/BLOCKED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
78	Arbitrary-height Pick finalist trigger	70a94a768708db068abe484fb8c4f6d52d4c4828	GAP/BLOCKED	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Trigger-only.	SUPERSEDED/DUPLICATE
79	Toeplitz-box Gram and spectral closure	9a2778f235ca1236768a2fc27b439efd95eb4a13	VERIFIED WITH FIXES	reports/gpt56-pro-09-i/2026-08-01-pre-public-review-pr64-pr79.md	7162c2a221fd87e6e7baf4e7245d6f42b5e04de3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
