route	claim_or_gate	local_verdict	end_to_end_effect	finding
shared	PR496 two-ledger abstraction	PASS	shared conditional input	signed finite comparison remains outside positive source
shared	PR500 positive coupling abstraction	PASS CONDITIONAL	shared conditional input	requires every source/placement input already lie in positive cone
shared	all-column estimates	CONDITIONAL	no independent confirmation	cover q>=2 including q<K only after a valid native ideal row
shared	zero port	PASS	neutral	no Schur/projective operation is used
505	R-92920	PASS QUALIFIED	retained firewall	109/1200 only for full rough-lift marginal with stated allowances
505	L-92920.1-L-92920.8	PASS	valid local repair	orientation and actual children give native signed marginal
505	L-92920.9	FAIL	blocks producer	actual child aggregate has negative ordinary q=2 response
505	L-92921.1	PASS AS LABEL	valid local repair	orientation is necessary provenance
505	L-92921.2-L-92921.4	FAIL	first broken arrow	positive Hall/placement cannot realize negative child observation
505	L-92922	CONDITIONAL	blocked	shared all-column bounds cannot supply missing positive row
505	L-92923	ARITHMETIC PASS	blocked	<60989 prices only a row that has not been constructed
505	T-92920	BLOCKED	REQUEST CHANGES	endpoint chain not reached
507	R-92930	PASS QUALIFIED	retained firewall	unqualified PR-specific q=2 claim withdrawn
507	L-92930 source-tree separation	PASS	valid local repair	native source tree differs from row-first rough lift
507	L-92930 compiler iff contract	NECESSARY NOT SUFFICIENT	no closure	normalization identity does not prove physical positivity
507	L-92931.1	PASS AS PAIRED SOURCE IDENTITY	valid local repair	one source owner per actual child
507	L-92931.2/L-92931.6	FAIL	blocks both variants	signed actual child response is called positive capacity
507	L-92932	FAIL	blocks terminal variant	positive packet theorem applied before positive-cone entry
507	L-92933	ARITHMETIC PASS	blocked	493951/8<61744 is conditional on invalid terminalization
507	L-92934	FAIL	blocks one-shot variant	positive label-blind quantizer cannot realize negative branch response
507	T-92930	BLOCKED	REQUEST CHANGES	neither advertised implementation reaches native deficit
proposed	R/L/M/T-92940	PROPOSED	open producer	joint cancellation before positive realization; no branchwise child packet
