route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
brownian-raw	#376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/lemmas/L-90601-brownian-dirichlet-numerator-has-high-frequency-bohr-zeros.md	L-90601	Every sufficiently large raw numerator has infinitely many Bohr zeros with Re z approaching any fixed sigma in (1/4,1/2)	UNCONDITIONAL THEOREM	VERIFIED	current refutation infrastructure	refutes raw finite-stability antecedent	L-34003; PNT; Steinhaus orthogonality; polygon lemma; Kronecker; Hurwitz	full theorem at reviewed quantifiers		integrate	selected-prime, residual, polygon, vertical-limit and Hurwitz arrows verified
brownian-raw	#376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/refutations/R-90601-raw-brownian-cofinal-halfplane-stability-fails.md	R-90601	No all-large or unbounded cofinal raw half-plane-stable sequence exists	REFUTATION	VERIFIED	current	rejects PR #343 finish	L-90601; L-34003	raw global finite stability only		integrate	one fixed sigma such as 3/8 suffices
brownian-fixed-height	#376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/lemmas/L-90602-first-order-brownian-truncation-and-zero-displacement.md	L-90602	Fixed compact truncation has explicit 1/N correction and fixed simple zeros move by O(1/N)	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	retained local approximation	L-21705; L-34001	fixed compact sets and fixed simple zeros		integrate scoped	state initial convergence domain Re z<1/2 for continuum integral before analytic continuation
brownian-mixture	#376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/lemmas/L-90603-positive-brownian-cutoff-mixtures-have-bohr-unstable-one-sided-factors.md	L-90603	Every positive cutoff mixture with top-half mass at least c/log N has one-sided Bohr zeros in every fixed 1/2<Re s<1 strip	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current refutation infrastructure	refutes current Nörlund and Green one-sided finishes	L-21705; L-90601; PNT; Kronecker; Hurwitz	top-half-mass class including both repository mixtures		integrate with edits	replace general b_Nn>0 by b_Nn>=0; qualify scope of positive averaging no-go
brownian-symmetrized	#376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/lemmas/L-90604-functional-equation-symmetrization-inherits-bohr-offline-zeros.md	L-90604	Functional-equation symmetrization inherits the one-sided high-frequency zeros off the critical line	UNCONDITIONAL THEOREM	VERIFIED	current refutation infrastructure	refutes finite-real-zero producers	L-90603; uniform Stirling; Hurwitz	current positive cutoff mixtures satisfying L-90603		integrate	reflected term decays after natural it A(s) normalization on Re s>1/2
brownian-symmetrized	#376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/refutations/R-90602-brownian-norlund-and-green-robin-real-zero-theorems-fail.md	R-90602	Current logarithmic Nörlund and central-binomial Green/Robin real-zero finishes are false	REFUTATION	VERIFIED	current	rejects BLNRZ/BGRRZ antecedents	L-90603; L-90604	these exact two producer families		integrate	finite symmetry and fiberwise self-adjointness do not imply aggregate real-rootedness
brownian-parent	#343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/theorems/T-34001-raw-brownian-dirichlet-stability-rh-proposal.md	RAW-STABILITY	Cofinal E[Q_N^z] nonvanishing in Re z>1/4 would imply RH	CONDITIONAL IMPLICATION	SUPERSEDED	refuted antecedent	conditional route to RH	L-34001; L-34003; local convergence	conditional implication survives logically but cannot be instantiated by current producer	L-90601; R-90601	mark antecedent false	do not delete finite factorization or conditional Rouché logic
brownian-parent	#296	4a68887f9f713aea7f63444030379fb864766a2d	claims/theorems/T-21705-norlund-halfplane-stability-rh-proposal.md	NHS	Nörlund half-plane stability on an unbounded sequence would imply RH	CONDITIONAL IMPLICATION	SUPERSEDED	refuted antecedent	conditional route to RH	L-21705; L-21706; local convergence	conditional implication survives logically but current mixture never satisfies NHS	L-90603	mark antecedent false	preserve exact Nörlund algebra
brownian-parent	#296	4a68887f9f713aea7f63444030379fb864766a2d	claims/theorems/T-21704-brownian-norlund-real-zero-rh-proposal.md	BLNRZ/BGRRZ	Current symmetrized finite Brownian mixtures have only critical-line zeros	PROPOSED COMPLETE THEOREM	FALSE	refuted	would imply RH if true	finite Brownian mixture; functional equation	no surviving real-zero theorem for these exact finite functions	L-90603; L-90604; R-90602	mark false	individual Robin-fiber results remain valid
brownian-frontier	review	0408eaff5b2b7555b9f635fc74eaed109fce37f7	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	PR376-REVIEW	Height-dependent truncation, producer redesign and a direct infinite canonical system remain logically live	ROUTE INFRASTRUCTURE	VERIFIED	new review frontier	potential routes to RH	PR #376 review	does not assert any closure		integrate roadmap	global all-large/cofinal finite stability should no longer be an open priority
experiments	#376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	experiments/X-90601-brownian-bohr-instability/verify.py; experiments/X-90602-brownian-mixture-instability/verify.py	X-90601/X-90602	Finite algebra and numerical roots support the analytic proof	DISCOVERY ONLY	EMPIRICAL ONLY	retained diagnostics	no RH implication	exact finite identities; floating roots	diagnostic scope only		retain scoped	do not cite the scans as proof of the cofinal refutation
