hypothesis	lean_representation	used_by	exactly_locked	audit_evidence	cross_verdict	required_fix
HighZeroVerified	arbitrary Prop field in XiOrderThreeExternalInputs	all actualXi* wrappers	NO	No height H*, zero theorem statement, bibliographic identity, or source hash is in the proposition.	EXTERNAL_INPUT_NOT_LOCKED	Define the exact published verified-height proposition and lock its source metadata separately.
CorrectedSourceLock	arbitrary Prop field	all actualXi* wrappers	NO	The proposition is merely named CorrectedSourceLock; any Prop, including True, can instantiate it.	EXTERNAL_INPUT_NOT_LOCKED	Use a concrete source-lock structure with exact citation/hash and the exact imported theorem.
GroupedC2Convergence	arbitrary Prop field	actualXi reciprocal/companion/order3	NO	No function, compact set, derivative order, grouping, or convergence relation occurs.	EXTERNAL_INPUT_NOT_LOCKED	State the grouped zero expansion and locally C2 convergence through derivatives 0,1,2.
OrbitConventionLocked	arbitrary Prop field	actualXi reserve/order3	NO	No reflected-orbit equivalence, representative set, or counting convention occurs.	EXTERNAL_INPUT_NOT_LOCKED	Define the orbit quotient/representatives and multiplicity map.
MultiplicityResidualRetained	arbitrary Prop field	actualXi reserve/order3	NO	No m0 or residual (m0-1)R0 expression occurs.	EXTERNAL_INPUT_NOT_LOCKED	State and use the exact reserve decomposition retaining the residual multiplicity.
ReciprocalSquareTailControlled	arbitrary Prop field	actualXi reserve/order3	NO	No infinite zero sum, height, counting function, or bound occurs.	EXTERNAL_INPUT_NOT_LOCKED	State the exact tail theorem and connect it to finite approximants/limit.
hminor12	strict leading two-node determinant premise	ordered-distinct and headline order3	LOCAL_ONLY	This is a precise finite hypothesis, but it is not derived from the actual-Xi order-two theorem.	PROVED_CONDITIONAL	Bridge from exact actual-Xi monotonicities or retain as an explicit open finite premise.
hrecip	nonpositive second divided difference of 1/p	ordered-distinct and headline order3	LOCAL_ONLY	This is the central reciprocal-concavity sign; external reserve labels do not imply it in Lean.	PROVED_CONDITIONAL	Supply a theorem deriving it from a concrete grouped actual-Xi reserve construction.
hcomp	nonpositive second divided difference of t p	ordered-distinct and headline order3	LOCAL_ONLY	Exact finite sign premise; no actual-Xi companion theorem is connected.	PROVED_CONDITIONAL	Supply or import the exact grouped actual-Xi companion-curvature theorem.
hrepeated	if any squared nodes coincide, the desired IsPSD3 conclusion	headline order3	NO	This is the entire desired conclusion on every repeated-node branch.	STATEMENT_MISMATCH	Replace with equality-of-node/value facts and duplicate-row reductions from order-two PSD.
epsilon/tail finite functions	Fin n -> Real with upper-bound and sum hypotheses	criticalReserveAllocation_of_inputs	NO	No nonnegativity, orbit ownership, multiplicity, or one-reserve ledger is encoded.	STATEMENT_MISMATCH	Add nonnegative shares and source-specific finite approximation invariants.
