computation_id	family	source_pr	source_head_sha	source_path	mathematics_status	method_status	artifact_status	heavy_rerun_status	light_fixture_status	final_verdict	canonical_scope	notes
COMP.REVIEW.A.LIGHT	review_infrastructure	709	55fe0b6f23d9163e2b602608da84194ba243d7c4	review/2026-08-21/arithmetic/replay/	supports selected local identities only	LIGHT_REPLAY_AND_REGISTRY_AUDIT	RETAINED	NOT_APPLICABLE	PASS	VERIFIED_WITH_FIXES	review evidence	Original graph parser defects are repaired here.
COMP.REVIEW.B.LIGHT	review_infrastructure	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/replay/	supports selected Mellin, Xi, heat, Q4 and local operator identities	INDEPENDENT_LIGHT_REPLAY	RETAINED	NOT_APPLICABLE	PASS	VERIFIED_WITH_FIXES	review evidence	Does not authenticate every prose-level classification.
COMP.REVIEW.C.FINAL	review_infrastructure	712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/replay/	341 PR rows, 171 issue records, zero targeted review rows	FIVE_FAIL_CLOSED_LIGHT_VALIDATORS	SHA256SUMS 35/35 at frozen head	HEAVY_CAMPAIGN_NOT_RE_RUN	PASS_REVIEWER_C_FINAL	VERIFIED	coverage/provenance lock	Only sequence #417 has no remote PR object.
COMP.REVIEW.DIRECT_MAIN	review_infrastructure	717	dad61b954dd8404520631058d1ce717e7a910a3b	review/2026-08-22/direct-main/replay/	85 commits partitioned into 11 packets; 40 source claims audited	LIGHT_STRUCTURAL_AND_SYMBOLIC_REPLAY	SHA256SUMS retained	HEAVY_CAMPAIGN_NOT_RE_RUN	PASS_DIRECT_MAIN_DELTA_REVIEW	VERIFIED	direct-main audit lock	No direct-main packet changes RH status.
COMP.XI.ORDER3.HISTORICAL_REPLAY	xi_pick	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	experiments/X-92100-critical-reserve-allocation/verify.py	local algebra independently reconstructed	SOURCE_SCRIPT_UNRUNNABLE	CORRUPT_HISTORICAL_CHECKER	HEAVY_CAMPAIGN_NOT_RE_RUN	CLEAN_REVIEW_REPLAY_PASS	VERIFIED_WITH_FIXES	order-three local algebra only	Never authenticate the historical PASS.
COMP.XI.EXTERNAL_ZERO_HEIGHT	xi_pick	438	bb7327d21c47410820cda2671f45dbe709a72eea	literature/external/2020-platt-trudgian-rh-to-3e12-source-lock.md	published finite-height critical-line input	SOURCE_AND_USE_AUDITED	EXTERNAL_PUBLICATION	HIGH_ZERO_VERIFICATION_NOT_RE_RUN	NOT_APPLICABLE	RETAINED_HEAVY_CERTIFICATE	external input only	Canonical extraction must repair metadata and distinguish line verification from simplicity.
COMP.TARGET_LORENZ.51M	native_hall	508	4ae97dffd1f76ed3244b8f3028560ffa80663caf	experiments/X-93780-target-lorenz-directed-tail/	historical computational support only	ROUNDING_INCLUSION_INVALIDATED_BY_PR516	HASH_LOCKED_BYTES	HEAVY_CAMPAIGN_NOT_RE_RUN	SMALL_EXACT_TERMINAL_FIXTURES	GAP_BLOCKED	method firewall/history	Not a proof-grade directed certificate; actual common parent also absent.
COMP.C4MBI.1E9	c4mbi	624	0fa032faedc0fa9a47a87c41a69c0db141b1dea2	experiments/X-99000-c4mbi67-primitive-prefix-billion/	finite primitive-prefix positivity below 1e9+1	OUTWARD_DYADIC_METHOD_AUDITED	RETAINED_ARTIFACT_HASH_VERIFIED	HEAVY_CAMPAIGN_NOT_RE_RUN	SMALL_COEFFICIENT_IDENTITIES	RETAINED_HEAVY_CERTIFICATE	finite theorem only	No global boundary conclusion.
COMP.HARNACK.2E9	factor67_lorenz	630	bec6ec52ff94e0439fa6a4615c4641f7714d1d54	experiments/X-99100-c4mbi67-harnack67/	finite exact H67 certificate below 2,000,000,001	SCANNER_COMBINER_VERIFIER_AUDITED	RETAINED_ARTIFACT_HASH_VERIFIED	HEAVY_CAMPAIGN_NOT_RE_RUN	RESULT_SCHEMA_AND_SMALL_FIXTURES	RETAINED_HEAVY_CERTIFICATE	finite computer-assisted theorem	Global flag remains false/unproved.
COMP.SHARP.H67.1E8.PR647	sharp_native	647	306d1c66fe4e848efda0bd78b5475aeeed3d5563	experiments/X-99250-sharp-harnack/	finite SHARP positivity through 1e8	DIRECTED_INTERVAL_LOGIC_AUDITED	RETAINED_ARTIFACT_HASH_VERIFIED	HEAVY_CAMPAIGN_NOT_RE_RUN	COMPACT_HALL_LOCAL_IDENTITIES	RETAINED_HEAVY_CERTIFICATE	finite theorem only	Global descent/tail open.
COMP.SHARP.H67.1E8.PR653	sharp_native	653	e928fd615d753882706bb88c51b717bd8d4a86ba	experiments/X-99270-three-vulnerability-hardening/	independent finite SHARP positivity chain through 1e8	ARTIFACT_AND_METHOD_AUDIT	HASHES_RETAINED	HEAVY_CAMPAIGN_NOT_RE_RUN	SOURCE_CONTRACT_ONLY	RETAINED_HEAVY_CERTIFICATE	second finite provenance chain	Keep distinct from PR #647.
COMP.P61.BIAS	factor67_lorenz	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	experiments/X-97400-p61-bias/	repaired 1/42 bias and 1/40 refutation	ENDPOINT_CONTRACT_AUDITED	RETAINED	HEAVY_CAMPAIGN_NOT_RE_RUN	x=184 exact signs	VERIFIED_WITH_FIXES	finite/local theorem	Does not create positive source/current.
COMP.Q4.ANNULAR_KERNELS	q4	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	experiments/X-95400-q4-focc-annular/certificates/exact_kernels.json	exact filter/support/inverse identities	LIGHT_EXACT_REPLAY_AND_METHOD_AUDIT	RETAINED	BROAD_ENDPOINT_SCAN_NOT_RE_RUN	PASS	VERIFIED_WITH_FIXES	finite Q4 reduction	Ten-band packet retained; signed Type-II estimate open.
COMP.Q4.FIVE_MILLION_RECON	q4	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/observations/O-95600-filtered-cross-sign-reconnaissance.md	nonprobative reconnaissance	NOT_REVIEWED_AS_PROOF	RETAINED_OBSERVATION	NOT_RERUN	NONE	EMPIRICAL_ONLY	historical observation	Never a proof premise.
COMP.BROWNIAN.BOHR	brownian_weil	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	binding analytic no-go	REVIEW_IMPORTED_AND_RECONSTRUCTED	RETAINED	BROWNIAN_SCANS_NOT_RE_RUN	NOT_APPLICABLE	VERIFIED_WITH_FIXES	mechanism firewall	No later producer outside the reviewed class before cutoff.
COMP.FINITE.ROBIN	finite_certificates	372	9b9c2536d89b65cb999ec08e20fce3386383803a	integration/2026-08-11/	finite exact Robin barrier through 5583	IMPORTED_REVIEW	RETAINED	LARGE_SCAN_NOT_RE_RUN	PROVENANCE_INSPECTED	RETAINED_HEAVY_CERTIFICATE	finite theorem only	No global implication.
COMP.FINITE.PICK_BOXES	finite_certificates	372	9b9c2536d89b65cb999ec08e20fce3386383803a	integration/2026-08-11/	two directed complex 8x8 boxes	IMPORTED_REVIEW	RETAINED	MATRIX_SEARCH_NOT_RE_RUN	PROVENANCE_INSPECTED	RETAINED_HEAVY_CERTIFICATE	finite exclusion only	No strict negative Riemann-data witness.
COMP.FREDHOLM.FIXED_DEGREE	brownian_weil	387	388ba7feb9927025d46a70963389ec45c9ead2ac	experiments/X-90705-high-carrier-fixed-degree-firewall/	analytic fixed-degree high-carrier blindness	METHOD_AUDITED	RETAINED_FIXTURES	NYSTROM_AND_MATRIX_SWEEPS_NOT_RE_RUN	ANALYTIC_PROOF_INSPECTED	VERIFIED_WITH_FIXES	no-go theorem	All-order sign remains open.
COMP.DIRECTMAIN.P79.INVALID_CERT	direct_main_p79	717	dad61b954dd8404520631058d1ce717e7a910a3b	review/2026-08-22/direct-main/COMPUTATIONS.tsv	direct-main L-91350/X-91127 certificate invalid as complete proof	EXACT_CAUSAL_SUPPORT_COUNTEREXAMPLE	RETAINED_HISTORICAL_SOURCE	HEAVY_CAMPAIGN_NOT_RE_RUN	t=79,p=83,y=1	FALSE	method refutation	True inequalities later re-attacked with different causal artifacts.
COMP.DIRECTMAIN.L91355	direct_main_p79	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	experiments/X-91131-nonduplicating-causal-packet-budget/	exact coefficient partition and child mass <1/8	LIGHT_EXACT_REPLAY	HASH_LEDGER_PRESENT	NOT_APPLICABLE	PASS	VERIFIED_WITH_FIXES	source-ledger theorem only	Packet typing remains open.
COMP.DIRECTMAIN.T99930	direct_main_taylor	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	experiments/X-99930-critical-taylor-renormalization/	Taylor remainder/kernel identities	LIGHT_EXACT_REPLAY	RETAINED	NO_HEAVY_CAMPAIGN	PASS	VERIFIED_WITH_FIXES	local algebra and standalone supercritical theorems	Does not prove the critical negative-mass estimate.
