source_class	source_or_pr	pin_or_hash	path_or_source	claim_scope	review_status	formalization_scope	upstream_or_local	integration_action	notes
PRIMARY UPSTREAM	Anthropic research post	published 2026-08-10	https://www.anthropic.com/research/riemann-zeta	Public announcement and official links	PRIMARY SOURCE INSPECTED	none	UPSTREAM	cite as announcement only	Explicitly describes a zero-proportion advance, not RH
PRIMARY UPSTREAM	Anthropic Zeta23 paper	6792988e6cd0e17690621ce898abd5d534f98407741bc7cb14bbe7d07c77d72f	official paper PDF	Theorems A-E; exact fixed-window constants and quantifiers; fixed primitive Dirichlet L extension	IMPORTED / UPSTREAM VERIFIED	official Lean companion covers headline theorem chain	UPSTREAM	import with exact hash	Fixed lambda and sufficiently large T; no local short-window or growing-conductor extension
PRIMARY UPSTREAM	Anthropic concise note	45e0330ad37965e5531fa1f4f11e5bebcae147a5237a3e5b3d029efa7ddf759d	official concise-note PDF	Concise expert explanation of Zeta23	PRIMARY SOURCE INSPECTED	none independently	UPSTREAM	retain as explanatory source	Does not enlarge the paper theorem
PRIMARY UPSTREAM FORMALIZATION	anthropics/zeta-23-lean	3635e74826a4c1fcece7d1cd2b6fa75e43a00510	README.md; Zeta23/Statement.lean; FinalMult.lean; audit; manifest	Headline Theorems A-E	IMPORTED / UPSTREAM VERIFIED	Lean 4.33.0-rc2; Mathlib 51e6992efd06126df61a496bebf8f49482a4e129	UPSTREAM	pin exact commit	Source and audit inspected; major build not rerun; separate bandwidth-one ceiling has an extra enclosure premise
PRIMARY UPSTREAM DEPENDENCY	Mathlib	51e6992efd06126df61a496bebf8f49482a4e129	anthropics/zeta-23-lean/lake-manifest.json	Pinned analytic/foundational dependency	PROVENANCE VERIFIED	dependency pin only	UPSTREAM	retain exact pin	No independent rebuild in this review
LOCAL PROVENANCE	PR #361	c13b8836f6c7f4e36f17ab1c4ebe41e4cf072f2e	research/external/anthropic-zeta23/SOURCE_LOCK.json; AUDIT.md	Local source lock and upstream/local separation	VERIFIED	no new Lean theorem	LOCAL	use as import front door	Preferred provenance package
LOCAL EXTENSION	PR #357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90301-two-state-inertia-defect-curvature-synthesis.md	Q4 conceptual transfer of adverse spectral mass	VERIFIED in .6-.7; FALSE in .8	not upstream formalized	LOCAL	patch before integration	Universal 2x2 defect formula fails for K=-I_2
LOCAL EXTENSION	PR #358	6f675e6e49c5b1fee3b1c7fce92331d2bad16948	claims/theorems/T-90301-short-window-hybrid-conductor-signature-moment.md	Short-window/growing-conductor Zeta23 extension	UNPROVEN / GAP	no Lean	LOCAL	do not promote	Uniform RvM/trace/end effects/omitted factors/poles/taper remain open
LOCAL EXTENSION	PR #358	6f675e6e49c5b1fee3b1c7fce92331d2bad16948	claims/lemmas/L-90301-co-lattice-multiwindow-collapse.md	Completed-lattice co-lattice collapse	VERIFIED WITH FIXES	no Lean	LOCAL	integrate as local identity	Does not absorb finite-window end effects
LOCAL EXTENSION	PR #360	df53319d9b8d465b01678986f86261a8d6d16965	claims/lemmas/L-90401; L-90402; L-90403	Multirate no-alias, alias/polyphase, restricted prime-bank diagonal	VERIFIED WITH FIXES	no Lean	LOCAL	scope narrowly	Growing banks and non-diagonal aliases remain open
LOCAL EXTENSION	PR #363	01238699b9ea2844e674f56a965cde79559d770a	research/external/anthropic-zeta23/proofs/COHERENT_MULTIWINDOW_COLLAPSE.md; OFFLINE_PAIR_SPECTRUM.md	Coherent compression and off-line pair spectrum	VERIFIED	no Lean	LOCAL	integrate as local identities	No upstream theorem-level transfer
LOCAL EXTENSION	PR #364	46caa771ad2ab7875c3ccd079d3ba327249fd9a4	research/external/anthropic-zeta23/proofs/FINITE_OFFLINE_ISOLATION.md; GAUSSIAN_TERMINAL_PAIR_ISOLATION.md	Finite/terminal Gaussian isolation	VERIFIED WITH FIXES	no Lean	LOCAL	integrate with moved-head note	First reviewed at 219330bd0441a284fd16ff728dd843a7ee4503ee and re-reviewed after movement
LOCAL EXTENSION	PR #365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	research/external/anthropic-zeta23/proofs/XI_CARDINAL_GRAM_CAPTURE.md	Xi-cardinal competitors and critical-lattice capture	VERIFIED WITH FIXES	no Lean	LOCAL	integrate as route infrastructure	Corrected arithmetic floor remains open
LOCAL EXTENSION	PR #366	3dd8184c4e34f3a7ecd2b64597c7737af2b59029	research/external/anthropic-zeta23/proofs/CONFLUENT_CLUSTER_RENORMALIZATION.md	Fixed-order confluent cluster/jet renormalization	VERIFIED WITH FIXES	no Lean	LOCAL	integrate as route infrastructure	Growing order and uniform tails remain open
LOCAL EXTENSION	PR #367	2a725fb71794dfca11e76c1af2a49e6b3ea8bc9c	research/external/anthropic-zeta23/proofs/TERMINAL_GAUSSIAN_ARITHMETIC_FLOOR.md	Terminal Gaussian-Chebyshev arithmetic scalar	VERIFIED WITH FIXES	no Lean	LOCAL	label RH-EQUIVALENT CRITERION	No unconditional sign theorem
LOCAL EXTENSION	PR #368	0de8f97f37617c050534c242ee3761af15b87a97	claims/lemmas/L-90505-L-90507; POLE_NULL_LEVY_HEAT_COMPLETION.md	Trace-class pole-null/index/Levy/heat route	VERIFIED WITH FIXES	no Lean	LOCAL	integrate clean lemmas only	Heat sign remains open
LOCAL ARTIFACT BLOCKER	PR #368	blob f5bbc2392327b965a278917076c470f7eb15f359	claims/theorems/T-90502-pole-null-fredholm-heat-rh-equivalence.md	Headline theorem artifact	UNPROVEN / GAP	invalid UTF-8; no Lean	LOCAL	block and rewrite	Binary corruption makes the Markdown theorem unusable
