assigned_deliverable	expected_path_or_declaration	present	builds	statement_matches	trust_clean	verdict	required_fix	notes
Arithmetic conventions and source roles	RiemannFormal.Arithmetic.Foundations	YES	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Document the precise protection boundary of public role-indexed constructors.	Role indices prevent direct substitution but do not preserve provenance against coefficient extraction and reconstruction.
Native versus auxiliary versus signed-observation typing	Source role-indexed aliases and APIs	YES	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Use provenance-bearing/private constructors or weaken the firewall claim.	NativeSource, AuxiliaryPositiveSource, and SignedObservation are distinct types, but all can be rebuilt from the same public ArithmeticFunction.
Response versus capacity typing	ChildResponse and ChildCapacity	YES	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	State that only direct coercion is prevented; add exact source-preserving maps.	The coefficient witness is valid but does not prevent role laundering by reconstruction.
Fixed versus moving detector typing	FixedArithmeticDetector / MovingArithmeticDetector	YES	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Add a provenance/freeze witness or weaken the claim that the type enforces preselection.	A moving detector can be sampled and manually repackaged as fixed; temporal independence is not encoded.
Rows 2 and 3 numerator algebra	FixedRows.rows23_no_common_zero	YES	NOT_INDEPENDENTLY_EXECUTED	YES	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Obtain an independent Lean build and add the Re z > 0 to norm(2^-z)<1 adapter.	The polynomial normalization and elimination agree exactly with L-99602.
Fixed 5:3 factorization and noncancellation	FixedRows.fiveThree_nonzero	YES	NOT_INDEPENDENTLY_EXECUTED	YES	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Obtain an independent Lean build and optionally source-lock the actual 5c_X(2)+3c_X(3) detector.	5P2+3P3 is represented as 5*row2Numerator+row3ScaledNumerator and factors correctly.
Sequential first-owner identity	SourceIdentities.firstOwner_eq_nativeEuler	YES	NOT_INDEPENDENTLY_EXECUTED	NO	STATIC_CLEAN	STATEMENT_MISMATCH	Rename as a generic list-product identity and formalize L-99601.1-.7 with labelled occurrences, parity channels, shifts, future completion, and ownership.	The theorem omits the exact sequential Euler source structure and is too weak for ARITH.SHARP.SEQUENTIAL_FIRST_OWNER.
Parity and labelled-prime conventions	PrimeLabel, paritySign, occurrence theorems	PARTIAL	NOT_INDEPENDENTLY_EXECUTED	NO	STATIC_CLEAN	INCOMPLETE_PUBLICATION	Add finite labelled subsets, unique occurrence ownership, cumulative parity, and coefficient reconstruction theorems.	Definitions and a duplicate-label polynomial are present, but the reviewed occurrence semantics are not.
r versus 2r^2 firewall	r_vs_two_r_sq_witness / two_r_sq_lt_r	YES	NOT_INDEPENDENTLY_EXECUTED	YES_LOCAL	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Tie r explicitly to p^-1/2 and the contracted child coefficient if claiming the full source refutation.	Exact rational algebra is accepted as a local separator.
RN versus raw-cutoff firewall	rn_raw_cutoff_witness	YES	NOT_INDEPENDENTLY_EXECUTED	NO	STATIC_CLEAN	STATEMENT_MISMATCH	Formalize the actual (Y,Z,t)=(16,4,4) raw-cutoff and RN child definitions and compare them.	The Lean theorem only computes (4*1-3)/(4*2-3)=1/5 in an abstract target.
