edge_id	from_claim	to_claim	source_sha	source_path	source_claim	implication_scope	verdict	evidence	required_repair	proposed_destination
AE-001	OPEN.ALL_ORDER_POSITIVE_DETERMINANT_APPROXIMANTS	RH	f22b67db113d1aa4f986fe35a2fc0321fdff7d47	standalone/2026-09-05-three-route-assault/pass2/R1_COMPACTNESS.md	A1--A3 trace compactness	Every coefficient converges; traces bounded; actual xi sublinear log growth.	CONDITIONAL_EXACT_RECONSTRUCTED	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. Sorted eigenvalues <= C/j; logarithmic tail error <= R^2 C^2/(J+1); normal-family coefficient bound C^k/k!.	Producer is not proved. Escape term must be excluded explicitly.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-002	OPEN.ALL_UNSHIFTED_SOURCE_HANKEL_PSD	RH	bfb66e07f7e38306dbcb916911332a591efce917	standalone/2026-09-05-three-route-assault/pass3/R1_MOMENTS.md	M2 single-Hankel completion	One fixed safe-center moment stream, all ranks; actual meromorphic and positive-axis data.	CONDITIONAL_EXACT_RECONSTRUCTED	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. Bounded symmetric multiplication gives a compact moment measure. Stieltjes inversion excludes negative support; poles away from zero are discrete and logarithmic-derivative residues supply integer multiplicities.	Finite positive Hankel sections do not discharge the premise.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-003	FINITE.SIX_POSITIVE_LOG_MOMENTS	FINITE.THREE_NODE_RESOLVENT	bfb66e07f7e38306dbcb916911332a591efce917	standalone/2026-09-05-three-route-assault/pass3/R1_MOMENTS.md	M3--M5 six moments and three-node quadrature	Both 3-by-3 moment matrices positive; certified moments authenticated.	CONDITIONAL_ON_UNREPLAYED_CERTIFICATE	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. The H-metric operator J=H^{-1}Hplus is positive and cyclic; multiplication agreement through degree one and symmetry reproduce moments through degree five.	Not a rank-three determinant or all-order statement.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-004	HYPOTHETICAL.OFF_LINE_XI_PAIR	NEGATIVE.FULL_HARDY_TEST	f22b67db113d1aa4f986fe35a2fc0321fdff7d47	standalone/2026-09-05-three-route-assault/pass2/R3_HARDY_CAPTURE.md	C3--C7 full-background and finite-time capture	Complete trace-class operator; full background Blaschke construction and both tail budgets.	CONDITIONAL_DETECTOR_RECONSTRUCTED	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. Full background satisfies the Blaschke condition. Removing the target pair leaves an invertible residual Cauchy Gram; q=VG^{-1}(1,-1) has quadratic value -2m. Both omitted-zero and time tails are paid.	Metric is changed from compact-band pair correlation; no imported positivity.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-005	OPEN.FULL_HARDY_PSD	RH	f22b67db113d1aa4f986fe35a2fc0321fdff7d47	standalone/2026-09-05-three-route-assault/pass2/R3_HARDY_CAPTURE.md	C3--C7 full-background and finite-time capture	Fixed a,b>1/2, complete literal source and target-dependent capture.	CONDITIONAL_EXACT_RECONSTRUCTED	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. Full background satisfies the Blaschke condition. Removing the target pair leaves an invertible residual Cauchy Gram; q=VG^{-1}(1,-1) has quadratic value -2m. Both omitted-zero and time tails are paid.	PSD remains open.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-006	OPEN.CAUSAL_MOBIUS_ENERGY_ALL_POSITIVE_DAMPINGS	RH	f22b67db113d1aa4f986fe35a2fc0321fdff7d47	standalone/2026-09-05-three-route-assault/pass2/R2_CAUSAL_ENERGY.md	B1--B4 causal energy	Causal norm, not merely meromorphic line integral; almost-every-frequency Laplace continuation.	CONDITIONAL_EXACT_RECONSTRUCTED	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. The max(m,n) time kernel and boundary subtraction are exact. Almost every fixed frequency with finite causal norm gives a holomorphic Laplace transform; an off-line pole cannot be removed by the finite Euler factor.	No arithmetic bound supplied.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-007	RH	CAUSAL_MOBIUS_ENERGY_ALL_POSITIVE_DAMPINGS	f22b67db113d1aa4f986fe35a2fc0321fdff7d47	standalone/2026-09-05-three-route-assault/pass2/R2_CAUSAL_ENERGY.md	B1--B4 causal energy	Import the classical RH-to-Mertens bound and fixed-band finite Euler transport.	CLASSICAL_ADAPTER_RECONSTRUCTED	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. The max(m,n) time kernel and boundary subtraction are exact. Almost every fixed frequency with finite causal norm gives a holomorphic Laplace transform; an off-line pole cannot be removed by the finite Euler factor.	Retain epsilon and damping order; cite the actual classical source at extraction.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-008	FINITE.MEROMORPHIC_VERTICAL_L2	FINITE.CAUSAL_MOBIUS_ENERGY	f22b67db113d1aa4f986fe35a2fc0321fdff7d47	standalone/2026-09-05-three-route-assault/pass2/R2_CAUSAL_ENERGY.md	B6 anti-causal counterexample	No causal continuation hypothesis.	REFUTED_GENERIC_IMPLICATION	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. For 0<sigma<delta, 1/(sigma-delta+i*omega) transforms to a negative-time function; the positive-time exponential is not L2.	Do not include this edge in an accepted graph.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-009	OPEN.POLYNOMIAL_PRIME_SIGNED_ENERGY_COMPARISON	RH	875e8dd47186e924445533513a1ad405af09d7a7	standalone/2026-09-05-bernstein-chebyshev-growth/prime-energy-boundary/PROOF.md	PE-2--PE-3 complete energy and closure	Full corrected source; independently checked parent l2-remainder adapter.	CONDITIONAL_PARENT_DEPENDENCY_PENDING	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. Nu=dtheta-dx+dx/(2sqrt(x)) preserves the pole correction; kernel factor N(N+1) and its confluent sign agree with telescoping.	Comparison is open and parent adapter needs direct review.	canonical/<next-release>/edges.tsv after integrator reconciliation
AE-010	BOUNDED.MEROMORPHIC_RADIAL_p_LT_1	ANALYTIC_HARDY_MEMBERSHIP	875e8dd47186e924445533513a1ad405af09d7a7	standalone/2026-09-05-bernstein-chebyshev-growth/prime-energy-boundary/BOUNDARY.md	BR-1 radial integrability	An interior pole is allowed by the antecedent.	REFUTED_GENERIC_IMPLICATION	Mathematical reconstruction from source text previously returned in this conversation; no fresh repository retrieval or independent executable replay in this review attempt. Summable |k_rho|^p for p>1/2 and a uniform integrable Cauchy singularity give the upper result. One genuine boundary pole gives logarithmic L1 divergence.	Separate meromorphic radial means from holomorphic Hardy norms.	canonical/<next-release>/edges.tsv after integrator reconciliation
