review_id	source_id	claim	verdict	exact_scope	dependencies	evidence	required_repair	proposed_destination	independence
A-001	MOTHER	L-102500	VERIFIED_AT_STATED_SCOPE	Compact support, endpoint regularity, exact Mellin multipliers and finite Bezout identity reconstructed.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-002	SHELL	L-102502	VERIFIED_AT_STATED_SCOPE	Real/character-orthogonal field hypotheses pay orthogonality and one-octave Poincare constant; no arithmetic sign.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-003	SQUARED	L-102505	VERIFIED_WITH_FIXES	Relative squared-core norm bound valid; retain unsquared input norm and fixed duplicate-prime factor.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-004	EB	L-103120 finite Euler-Beta	VERIFIED_WITH_FIXES	Finite product, Beta and distinct-owner algebra valid; labelled and collapsed injectivity must not be conflated.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-005	EB_SIGN	L-103121	VERIFIED_AT_STATED_SCOPE	Absolutely convergent live-core coefficient positive and detector moment negative at 1/2.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-006	EB_REFUTE	R-103121 literal field	VERIFIED_CONDITIONAL	Three-range domination with the classical semiprime asymptotic gives a negative main for the displayed source.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	Imported semiprime theorem; altered finite core/duplicate-67 normalization requires separate proof	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-007	EB_REFUTE	R-103121 all finite exceptions lower-order	VERIFIED_WITH_FIXES	Fixed owner exclusions are lower-order; changed core coefficients generally change the leading convergent constant.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-008	F1_STOKES	L-105400	VERIFIED_WITH_FIXES	Twisted Stokes and finite owner telescopes valid with local weak derivatives and causal boundary regularity explicit.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-009	F1_HODGE	L-105401	VERIFIED_AT_STATED_SCOPE	Top-degree expansion gives exact centred Hilbert variance and normalized gap one.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-010	F1_OLD	historical unquotiented packing front door	SUPERSEDED_SOURCE_FRONT_DOOR	Old standalone prose must point to later carrier/source corrections; finite identity retained.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-011	TAIL_PAIR	L-105501 convolution identities	VERIFIED_AT_STATED_SCOPE	a=1*nu, a*mu=nu and b=a*nu are exact; both factors vanish below U.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-012	TAIL_PAIR	L-105501 equal-product energy	VERIFIED_AT_STATED_SCOPE	Divisor majorants pay free and same-product sectors, not distinct-product cancellation.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-013	CROSS_HODGE	L-105502	VERIFIED_WITH_FIXES	Polarization and derivative mismatch formula valid on one finite source horizon; changing horizon is not a constant gauge.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-014	K2	L-105503	VERIFIED_AT_STATED_SCOPE	Four-band derivative kernel, affine square-root cells, real-argument finite differences and atomic jump law consistent.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
A-015	NATIVE_CELL	L-105504 cell and Type-I reduction	VERIFIED_CONDITIONAL	Exact endpoint primitive and dyadic-frozen O(X^-1/6) row preserve the negative-mass gate.	Explicit hypotheses in MATHEMATICAL_AUDIT.md#a-m08; relevant source-qualified EDGES.tsv rows	MATHEMATICAL_AUDIT.md#a-m08	Source-locked Mellin consumer and open native one-sided variation	reviewed mathematics; exact source-qualified namespace	Independent reconstruction
