packet	pr	commit	path	git_blob	inspection	author_code_executed	blob_assurance
HT	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares/PROOF.md	2ee61d78b5bcf8e06de973f7e29634112c37e1a9	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
AN	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/annular-scalar-route/PROOF.md	0f1b21227d064e61f4f532d9025c78106baa688e	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
ES	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/euler-tail-stability/PROOF.md	24ebe2ccf09d26e773a0071c6b335bcaff2b4b3d	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
FM	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt/PROOF_ATTEMPT.md	d1769ac602ce228f29885b541cd27108ad182018	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
PC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count/PROOF.md	d74f2d0fc75ffedd53198f7b12b5bcbbdba8b6c5	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
SS	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap/PROOF.md	046a12cd9233aa7d8a9a3a5d4d4c64a67d4207be	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
MC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour/PROOF.md	8ebf299f6985600f56af0e340bf2ee57c090a65f	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
CR	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/completion-rigidity-review/PROOF.md	8234e427ddda608f081ebff7c26605f8bad57eb5	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
PR	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/positive-residual-review/PROOF.md	9d49700e4378b2d5d0f1ebfe41861ac1dd01bd6e	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
RN	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-normalization-and-minima/PROOF.md	d5192fab330a92f336b7cb2c1c93ba517754d307	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
ANT	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	57cf309490af3f5650326ffe86c4e44fc6b0e3c3	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
DC	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/CONSTRUCTION.md	89befcd45004a119129acc1cb1db834b048a328e	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
DC	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/TAIL_AND_DAMPING.md	e3d89c90780bafef47a087273caef775d13d85fa	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
DC	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/GRAM_FLOOR.md	f3d3ee21501e9c4c14ad44fa0eafd68bcc2d51a6	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
