edge_id	source_object	target_object	verdict	hypothesis_or_obstruction	review_units
D2-E001	S01	D2-U001	REVIEW_DISPOSITION_NOT_PROOF_EDGE	The same nonnegative coefficient vector multiplies every typed coordinate; finite source representation is well-defined.	D2-U001
D2-E002	S01	D2-U002	REVIEW_DISPOSITION_NOT_PROOF_EDGE	A=G=b=1 admits z=1 and printed dual u=-1,v=1 simultaneously.	D2-U002
D2-E003	S02	D2-U003	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Summing atomwise identities proves all coordinates; <=-primal dual sign is correct.	D2-U003
D2-E004	S02	D2-U004	REVIEW_DISPOSITION_NOT_PROOF_EDGE	An infeasible algebraic equality cone can force dual ray t*(-sqrt(2),1), containing no rational separator.	D2-U004
D2-E005	S03	D2-U005	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Absolute Euler logarithm has positive summable jump coefficients for sigma>1; exponentiation gives the CP semigroup.	D2-U005
D2-E006	S03	D2-U006	REVIEW_DISPOSITION_NOT_PROOF_EDGE	One-sided vector and matrix actions can have nonzero imaginary dissipation.	D2-U006
D2-E007	S03	D2-U007	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Explicit first jump Gram is positive; higher iterates are not defined sufficiently for a blanket theorem.	D2-U007
D2-E008	S04;S05	D2-U008	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Inherited Fourier zero form gives 2pi*mu(T)*J^*J, not mu(T)*J^*J; discrepancy grows like log T.	D2-U008
D2-E009	S04;S05	D2-U009	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Logarithmic gamma difference is dominated by Gaussian-smoothed HS integral; prime phases preserve trace bounds.	D2-U009
D2-E010	S05	D2-U010	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Evaluation decay is O(t^-2); rank-one trace sums and Gaussian prime overlap converge absolutely.	D2-U010
D2-E011	S04;S05	D2-U011	REVIEW_DISPOSITION_NOT_PROOF_EDGE	S04 imports the super-Gaussian Xi-cardinal theorem; it is not rederived here.	D2-U011
D2-E012	S20	D2-U012	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Disjoint selected-prime fibres, Steinhaus residual, polygon closure, Kronecker and Hurwitz give the stated producer-class obstruction.	D2-U012
D2-E013	S06	D2-U013	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Labelled-prime contraction at effective exponent>=3/2 and alternating level pairing prove X>1,m>=2.	D2-U013
D2-E014	S07	D2-U014	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Integral remainder is nonnegative and r(cz)<=c^k r(z); absolute Euler summation and label contraction hold for k<=m-2.	D2-U014
D2-E015	S08	D2-U015	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Direct piecewise Mellin integration matches the rational symbol; compact polynomial subtraction cancels real poles.	D2-U015
D2-E016	S08;M02	D2-U016	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Eventual sign is sufficient; subpower negative mass is equivalent via R17; quadratic envelope is an identity.	D2-U016
