semantic_id	reviewer_a_original_verdict	reviewer_b_cross_verdict	disposition	exact_source_pr	exact_source_sha	exact_source_path	evidence	local_or_nonminor	required_fix	downstream_effect	integration_recommendation	notes
CONSUMER.MELLIN.FIXED_ROW	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_WITH_FIREWALLS	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	Reciprocal-zeta transform is exact; convergence and continuation are distinct.	local	State z=s+1/2, finite abscissa, positive-real removability and multiplicity.	Consumer only; no arithmetic producer follows.	PROMOTE_AFTER_LOCAL_FIX	
CONSUMER.MELLIN.TWO_ROW	VERIFIED	AGREE_VERIFIED	ACCEPT	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	P2=0 gives 3P3=-3(a-1)(a-2), impossible in Re z>0.	local	Keep both rows fixed independently of zero and horizon.	Needs native witnesses for both rows or a fixed scalar.	PROMOTE_CONSUMER_ONLY	
CONSUMER.MELLIN.FIVE_THREE	VERIFIED	AGREE_VERIFIED	ACCEPT	649	433fd3662f7b2e4ba384ce64f196380e88624090	claims/lemmas/L-99261-five-three-row-zero-free-mellin-witness.md	Fixed 5:3 numerator is zero-safe.	local	Keep scalar sign/negative mass as premise.	No producer supplied by factorization.	PROMOTE_CONSUMER_ONLY	
CONSUMER.MELLIN.NEGATIVE_MASS_AND_BOX	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	Fixed zero-safe box plus subpower logarithmic negative mass gives Landau contradiction.	local	State local integrability, nonzero density and finite abscissa; repair missing leading e in Reviewer A SHA.	Arithmetic estimate remains open.	PROMOTE_AFTER_PROVENANCE_FIX	
CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_ANALYTIC_API_ONLY	650	3f9e80f09fe1f595927ea7dce6fb49ac68c5c21b	claims/lemmas/L-99282-holomorphic-perturbation-landau-transfer.md	Fixed signed holomorphic defect cannot cancel a reciprocal-zeta pole.	non-minor producer boundary	Represent c=d+e with d>=0 as an explicit open premise.	Blocks promotion of calibration algebra to native positivity.	PROMOTE_CONDITIONAL_API	
ARITH.ROWS23.SIMULTANEOUS_NATIVE_PRODUCER	NOT_RECORDED	MISSED_CLAIM_CANDIDATE	ADD_OPEN_NODE	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99601-sequential-first-owner-euler-hazard.md	Two-row consumer needs simultaneous native fixed-row production; FCHD67 is only sufficient and open.	non-minor	Add explicit rows-2/3 producer node.	Current consumer edge hides first open arithmetic input.	ADD_TO_RECONCILIATION_GRAPH	
ARITH.SHARP.COMPACT_HALL_AND_RN	VERIFIED	AGREE_VERIFIED	ACCEPT	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99600-exact-compact-sharp-hall-and-rn-cocycle.md	Compact Hall moat and RN cocycle are exact; raw cutoff gives 1/5 at (16,4,4).	local	Preserve half-open endpoint and density, not support cutoff.	Repairs location only.	PROMOTE_STANDALONE	
ARITH.SHARP.ALPHA_NATIVE_PROMOTION	FALSE	AGREE_REFUTED	RETAIN_REFUTATION	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/refutations/R-99600-alpha-child-hazard-is-not-the-native-euler-source.md	Net shifted coefficient is zero and parity magnitude 2r^2 differs from native r.	non-minor	RN thinning cannot turn r^2 into r.	Invalidates every alpha-native descendant.	PROMOTE_CANONICAL_REFUTATION	
ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	VERIFIED	AGREE_VERIFIED	ACCEPT_IDENTITY_ONLY	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99601-sequential-first-owner-euler-hazard.md	Exact identity preserves coefficients, future primes and accumulated parity.	non-minor realization boundary	Separate identity from open FCHD67 physical sign.	No row positivity follows automatically.	PROMOTE_STRUCTURAL_IDENTITY	
ARITH.SOURCE.TYPING_FIREWALLS	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_AND_EXTEND	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/refutations/R-97400-p61-source-interface-firewalls.md	Odd history, p^-1 normalization, signed observation, current-only bonus and actual response/full capacity are distinct types.	non-minor	Add the exact q=2 actual-child fixture from PR #521.	Controls all native producer classifications.	PROMOTE_CANONICAL_TYPE_SYSTEM	Includes PRs #561, #667 and #521 as controlling evidence.
