source_id	source_pr	commit_sha	blob_sha	path	inspection	note
P01	653	e928fd615d753882706bb88c51b717bd8d4a86ba	fde4688f6fb2350215384812aee2dc0fb9eeb810	claims/lemmas/L-99272-specialized-landau-and-scalar-firewall.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P02	653	e928fd615d753882706bb88c51b717bd8d4a86ba	81ca654fcb79edf1ea8dcef163650073b200f280	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P03	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	28330346e5ad5ed0548d5a63c7c8ab9b950b40b7	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P04	642	07aa0d4838458a1b2d3af9e5bc96616baa6b4767	7f42d2491d6799a6c7268ce406f86ad9ef4f86a5	claims/lemmas/L-99240-sharp-target-positive-row-kernel-factorization.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P05	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	47bb1d40708e9096bb2f598589b02c8e52cad15f	claims/lemmas/L-99600-exact-compact-sharp-hall-and-rn-cocycle.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P06	663	fa081e81044a81e76f48cb9878a659d749e98427	9031ae5fe8bd6945cd7c80661e004f822dd78991	claims/lemmas/L-99613-every-sharp-boundary-power-at-least-two-is-globally-positive.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P07	668	15719b975115ecad1b23264c6a6303899b4c99dc	4e7b5ace5e1706e8230c0dc1aac836f5146ba47e	claims/lemmas/L-99940-distributional-critical-power-descent.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P08	668	15719b975115ecad1b23264c6a6303899b4c99dc	05fbd80c15b642887e67fbd090ad5ea2a0289a93	claims/lemmas/L-99942-critical-negative-mass-is-weighted-downward-variation.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P09	383	d764be15bd8ea902ad260484eab44d19a9e82175	6b4ecc029ceb0b1256e882b1e4fad2c89a7d4484	claims/lemmas/L-90411-exact-carry-fourier-inverse-laplacian.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P10	383	d764be15bd8ea902ad260484eab44d19a9e82175	95599da45c438a69f9de1e0b323170188d164c8d	claims/lemmas/L-90417-complete-residue-carry-covariance-is-a-jordan2-gcd-square.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P11	606	327c0967c67e7efa08fcb62937ca1730f8c24069	6dc89c2dadf06fea0da2dc20cf9023691046953e	claims/lemmas/L-95600-uosacf-is-equivalent-to-rh.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P12	606	327c0967c67e7efa08fcb62937ca1730f8c24069	cc0ee85c368aaa3fd6bd0367d40b46c698789113	claims/lemmas/L-95601-subpower-invertible-filters-preserve-the-q4-criterion.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P13	674	9962f7f712adc6b4ad72672ecfeace028ba79bdb	84be2f1cc1cdbd8eebaccfc4eb9eed43029b2a7e	standalone/2026-08-20-minimal-mobius-wavelet/PROOF.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P14	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	0e0a5e6389beb2c68f4fe88478c2e5dff0472bdb	claims/lemmas/L-100130-minimal-wavelet-poisson-mellin-energy.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P15	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	ddc92c54f65bed8a8cc370544eaf4ac32455f1ef	claims/lemmas/L-100131-wavelet-energy-abscissa-equals-rightmost-zero.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P16	705	027ea8bd5c879a190e9e22620c245a81f7b93b73	f976efe6c748faaa769811e09631012a51a19aae	claims/lemmas/L-103201-correct-same-k1-largest-prime-vaughan-hybrid.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P17	696	f4016db548afceb31b150547cb6cd48b4cddb77d	c69c6220276140b747877b98f7b975a81b16d857	claims/lemmas/L-102010-half-divisor-symmetric-one-field-reduction.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
P18	702	89f995450977c3590aada0c1447a7e6af7fcd9ac	e717284f2713dd92222beab600cab8c831e728df	claims/lemmas/L-103100-exact-half-completed-haar-gram.md	FULL_PROOF	Read through the connected GitHub tool; upstream producer not run.
