component	frozen_source	status	review_note
all-ratio fixed-shell transfer	PR236@a0d5a627	VERIFIED_OR_PROPOSED_COMPLETE	dyadic and 2/3 shell exponents connected by causal l1 filters
first-cell Mertens decoder	PR229@2fc74c11	PROPOSED_COMPLETE_FINITE_ALGEBRA	mandatory scalar firewall
independent-frequency physical block	PR241@3a227e75	VERIFIED_IDENTITY_SCOPE	not itself a coercivity theorem
finite digital recurrence and H1 tail	PR236@a0d5a627	PROPOSED_COMPLETE	tail O(log R/sqrt R)
dyadic Green path block	PR236@a0d5a627	PROPOSED_COMPLETE	odd/mixed Schur complement not included
parity-paired finite Bezout source	PR263@73e24368	PROPOSED_COMPLETE	retains all odd-prime Mobius signs
factor-five negative-row localization	PR269@51ce086b	PROPOSED_COMPLETE	transition cells 2,3,4 only
generalized-prime carry Schur reserve	PR269@51ce086b	PROPOSED_COMPLETE	physical source map not supplied
polylog prefix PGC(R)	PR236@a0d5a627	REFUTED_BY_R23008	incompatible with critical-line modes
critical-order CF5TC(R)	PR236_current	OPEN_RH_BEARING	requires source-complete physical-to-carry transference
CF5TC(R) implies RH	T-23005	COMPLETE_CONDITIONAL	uses localized pole and R^(1+o(1)) threshold
Riemann Hypothesis	-	UNPROVED	no unconditional production CF5TC object
