proposal_pr	proposal_sha	route	claimed_conclusion	first_broken_arrow	failure_type	refutation_pr	refutation_sha	surviving_results	later_descendants	current_lifecycle	possible_resurrection	integration_action	notes
44	ea290a5363bea44854f8fc57433c45311d5ddaca	finite xi/Gram inertia	certified local 2x2 inertia packet	production source and manifest do not identify the claimed zero data	ARTIFACT OR PROVENANCE FAILURE	45,48,52	b9983faae7aa5f16b00204766e28f656fadbda23;924fdeaf6877a69eb70d99d0141a40e3e7de8d92;376185cf3d0ed32b86b0abf7462a13a62885188	finite determinant and inertia algebra	49,50,214	ARCHIVAL	FINITE REPAIR	retain theorem packet; quarantine production claims	VERIFIED finite algebra; production certificate UNPROVEN / GAP
48	924fdeaf6877a69eb70d99d0141a40e3e7de8d92	finite zero certification	T5 zero table certified by cited source	cited source does not support the advertised table and no independent zero certificate is resident	ARTIFACT OR PROVENANCE FAILURE	52	376185cf3d0ed32b86b0abf7462a13a62885188	file-format and finite replay infrastructure	126,214	REFUTED AS STATED	CHANGE OF SOURCE	archive claim; require source hash and independent certification	FALSE only as a provenance claim; no mathematical zero theorem was contradicted
54	e7d9d47841c943159f66d412c1ec59e5ddf095c	Cayley/Herglotz boundary current	local Cayley sign chain plus trace series closes RH	last boundary-current sign is RH-equivalent rather than supplied by local algebra	RH-EQUIVALENCE FIREWALL	184-188	see canonical ledger	Cayley transform, local sign theorem, trace expansion	E-CAY-001; endpoint/Q4 analogues	MERGED INTO ANOTHER ROUTE	DIFFERENT CONSUMER	retain as compact RH-equivalent front door	VERIFIED WITH FIXES at local scope; global conclusion UNPROVEN / GAP
55	a60adc8a6405becdce4e41e7b04731402d0d451e	Brownian/Norlund/Robin	Brownian approximants have the stated Robin real-zero fiber and converge to xi	centered Mellin fiber has the wrong odd term and the ordering sign is wrong	SIGN OR NORMALIZATION ERROR	63,318	697f0338e2aaf322553d04e57772e05f7a99cc79;277bfb19e2e5deed50b5bbc133453b7147046360	finite Brownian/gamma algebra and local-uniform approximation	296,318,343	REPAIRED	MATRIX / INERTIA REPAIR	keep corrected fiber and raw route; supersede original formula	original fiber FALSE; Brownian programme DORMANT BUT LIVE
183	ceebb12b121695f2125152b8963238b1a9f0008e	negative notch/finite-block Gram	exact notch filters and a finite mean-square witness separate an RH-permitted prime-side block	limiting Bohr variance was compared directly with a finite block; no exact sign-separated support or corrected violation was certified	FINITE / COFINAL SCOPE ERROR	183	ceebb12b121695f2125152b8963238b1a9f0008e	exact rational notch filters; all-real conditional moat; corrected finite sinc/Gram ceiling; directed first-100-zero packet	finite window/Gabor architecture	DORMANT	FINITE REPAIR	retain moat and finite-block firewall; quarantine non-directed FFT reconnaissance	UNRESOLVED; zero census has one backend and was not independently rebuilt
199	4158e0d3e7f91829a6c545308605ea8177023aa3	complete kernel/Schur complement	cofinal corrected-kernel floor would close the operator route	arithmetic lower floor is itself RH-equivalent once complete capture holds	RH-EQUIVALENCE FIREWALL	365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	Schur monotonicity; exact off-line Xi-cardinal moat; finite rational countermodel	363-366	LIVE	DIFFERENT CONSUMER	make classifier the canonical kernel firewall	VERIFIED WITH FIXES; no Schur/complement bookkeeping can supply the missing sign
214	99e0c656c7d370ac6fdb7d1944bf6c2becea93d0	integration/front door	18-family durable proof spine represents reviewed state	later research branches outgrew merged main; source-pinned families remain incomplete	FINITE / COFINAL SCOPE ERROR	current archaeology	N/A	stable packet boundaries, canonical blob identities, historical ledger	post-214 open PR graph	ARCHIVAL	NONE	preserve unchanged as historical baseline	MERGED historical integration; not the live scientific state
247	6c4dadc97db57a3cf352c9f72fab3bedce792382	Pascal carry/BTF/MPR	BTF or MPR gives sharp prime-power ramp and RH	weighted negative variation or pointwise producer sign is missing; canonical frozen BTF later oscillates	MISSING LOAD-BEARING THEOREM	356	1a60df88aadac731ec32e48a87b74537662114dd	carry/Pascal identities; Mobius divergence; Farkas dual; unconditional 4 log 2 packing	272,292,335,356	SUPERSEDED	STATE-DEPENDENT POLICY	retain exact fragmentation packet; route sign work to adaptive/non-atomic policies	BTF for frozen binary-ternary producer REFUTED AS STATED; conditional consumer survives
292	6011cde9ef7467729cc24360372a176b622a5655	GFEP first-entrance fragmentation	global first-entrance positivity for frozen binary-ternary chain implies RH	GFEP below the top fifth was open and later a fixed bottom exit was proved to oscillate	EXACT COUNTEREXAMPLE	356	1a60df88aadac731ec32e48a87b74537662114dd	stochastic spine; first-entrance algebra; top-fifth sign; dual localization	351,355,356	REFUTED AS STATED	CHANGE OF SOURCE	retain Green/entrance algebra; prohibit citation of GFEP-full	GFEP theorem FALSE for the frozen policy; adaptive and signed variants remain live
297	409e1764fc708f725aae8dcd3fad9b8ae480bea3	carry-window Selberg/Kummer	CISR coupled interior matrix recurrence gives pole-energy bound and RH	diagonal row positivity does not lift to a source-coupled Hermitian matrix	SCALAR / MATRIX SCOPE ERROR	325,345,350	8036edcd8b42f1fb3bbee605a6fae3b22985238d;36e0b71f27798835e622a0646474ff24064ca62a;eef62a7260b9c510b5539c13eb8329d6d142acd5	all-zero pole frame; finite carry Gram; positive endpoint binding	Q4/Jordan family	MERGED INTO ANOTHER ROUTE	MATRIX / INERTIA REPAIR	integrate finite frame and endpoint packets under Q4 source-matrix family	conditional spine UNPROVEN / GAP; naive scalar lifts FALSE
299	cd45a45b480c35e46317a29e07d73c379af0df27	fixed-order Abel smoothing	finite cumulative smoothing orders become globally positive	orders one through four/five have exact negative witnesses	EXACT COUNTEREXAMPLE	292	6011cde9ef7467729cc24360372a176b622a5655	finite Abel identities; signed residual decomposition	GFEP, all-generation recombination	REFUTED AS STATED	RECOMBINE BEFORE ABSOLUTE VALUES	archive fixed-order sign claims; retain mutation suite	fixed-order mechanism FALSE; all-generation recombination not refuted
301	80f25af026da9f967e95c2a1f0fe91c8e95801e7	eta-Pascal/Hausdorff closure	triangular eta/Pascal source has polylog boundary debt and closes Cycle Debt	wrong pair-first series, node-label loss, non-Hausdorff sequence, false noncoprime tensorization	SOURCE-TYPING ERROR	303,312	4367007d658c78a42024a9c94c3c6b078cac2568;75db5030dd5defe655f85d195508aae45694ed55	exact actual-coordinate Mobius boundary decoder; modal source decomposition	304,315,317	REPAIRED	CHANGE OF SOURCE	make decoder a standalone packet; supersede positivity proof	full proof withdrawn; decoder VERIFIED WITH FIXES
302	477b527fb489397eb9e58ed6631be04f5eae00d1	reciprocal-eta/Mersenne cascade	RMBR sparse Mersenne boundary recurrence gives RH	all-order continuum monotonicity fails at product overlap 6; exact recurrence remains open	CONVOLUTION-ORDER ERROR	314,317	f07f44263c3ff4b219918b05cac61a75e18ff773;9b49c103ab3bd91724182c4c2fecfe2f0c9cb490	reciprocal-eta resolvent; dyadic staircase; sparse Mersenne telescope; reflected Hermitian identity	325,337	SUPERSEDED	SIGNED INSTEAD OF POSITIVE	retain eta identities; separate exact MCF no-go from unrestricted cycle debt	RMBR UNPROVEN / GAP; eventual MCF descendant FALSE
