item	frozen_source	mathematical_status	review_status	surviving_scope
PR301 analytic stopped-power resolution	1855957a18b7ea43229cde626178920f7a538951	PROPOSED_COMPLETE	PENDING_INDEPENDENT_REVIEW	positive analytic decomposition
PR301 bulk analytic contraction 6/7	1855957a18b7ea43229cde626178920f7a538951	PROPOSED_COMPLETE	PENDING_INDEPENDENT_REVIEW	analytic bank contraction
central/sibling carry difference	PR301/L-29807; L-30201	VERIFIED_EXACT	REPLAYED_28920_CASES	relative carry dipole
relative replacement A*C -> (A-B)*C+B*S	L-30201	VERIFIED_EXACT	REPLAYED_28920_CASES	nonnegative affine replacement
standalone source realization by (A-B)*C+B*S	PR301/L-29807.4	FALSE	EXACT_COUNTEREXAMPLE	no standalone source realization
absolute divisor atom via adjacent tree commutator	L-30201	PROPOSED_COMPLETE_EXACT	REPLAYED_3320_CASES	correct signed source coordinate
shifted residual Hausdorff invariance	L-30202	PROPOSED_COMPLETE	FINITE_REPLAY_36936_CASES	all-generation analytic source type
source mass A_k gives central capacity A_k	PR301 source binding	FALSE	EXACT_LAYER_CAKE_COUNTEREXAMPLE	canonical capacity is first difference
positive central-tree source layer cake	R-30202	VERIFIED_EXACT	REPLAYED_44850_CASES	decreasing divisor sources
SFC certificate schema	D-30201	DEFINED	FAIL_CLOSED_INTERFACE	actual source-to-edge binding
central-capacity residual LP	L-30203	VERIFIED_FINITE_DUALITY	PENDING_RECONSTRUCTION	Bx=r-Ba, x>=0
polylogarithmic SFC theorem	T-30201	UNPROVEN	LOAD_BEARING	finite critical source manifests
SFC -> triangular recurrence	T-30201	PROPOSED_COMPLETE_CONDITIONAL	PENDING_REVIEW	bulk/boundary cascade
triangular recurrence -> Cycle Debt	T-30201	PROPOSED_COMPLETE_CONDITIONAL	PENDING_REVIEW	actual edge manifest required
Cycle Debt -> prime ramp -> RH	PR272 imported	PROPOSED_COMPLETE_CONDITIONAL	FROZEN_DEPENDENCY	full RH consumer
PR301 as completed RH proof	1855957a18b7ea43229cde626178920f7a538951	UNPROVEN	BLOCKED_BY_SOURCE_BINDING	cannot be promoted
Riemann Hypothesis	global	UNPROVEN	NO_ACCEPTED_PROOF	SFC remains open
