claim	verdict	severity	surviving_scope	first_required_fix
L-91690	NO_NEW_OBJECTION_REVIEW_INPUT	info	local factor-67 target Hall, score superordination, row bonus, provenance	independent replay remains desirable
L-91691	UNPROVEN_GAP	fatal	bounds for q>=K and terminal annulus	cover physical columns 2<=q<K
L-91694_sections_1_3	VERIFIED_CONDITIONAL	info	Tonelli target-mass theorem under displayed weighted premise	prove premise for actual factor-67 fibers
L-91694_section_4	SCOPE_FIX_REQUIRED	major	common scalar or common-measure restriction preserves pointwise inequality	replace both-decrease argument by exact restriction-before-split statement
L-91694_section_5	UNPROVEN_GAP	fatal	unweighted causal coefficient sum only	prove fiberwise weighted target-mass inequality and placement-compatible aggregation
L-91695_algebra	VERIFIED_FOR_POSITIVE_DELTA	minor	strict reserve identity for 0<delta<1/2	handle delta=0 explicitly
L-91695_refinability	UNPROVEN_GAP	major	conditional finite-dimensional stability interface	prove fixed capacity-normalized norm, knot ratios, positive physical refinement and bounded C
L-92114	VERIFIED_CONDITIONAL_ON_RH	info	RH implies both finite safe-Xi Hankel matrices are PD	clarify parity-dependent matrix dimensions
T-91312	VERIFIED_CONDITIONAL_CONSUMER	info	subcritical target-mass HTR recurrence	provide actual HTR packet
T-91313	VERIFIED_CONDITIONAL_CONSUMER	info	native slack o(log^2 X) implies RH	provide exact native-feasible packet
T-91660_equation_8	FALSE_IN_PROPOSED_COMPOSITION	fatal	local factor-67 inputs may survive	remove 4sqrt(X)-H=O(1); use native J_Lambda-H cocycle
T-91662_statement_A	REJECTED_AS_PROOF	fatal	architecture may be repairable through native slack	close all-column, mass and native-cocycle gates
T-91662_statement_B	CONDITIONAL_INCOMPLETE	major	reserve algebra only	export actual positive refinement and operator bound
T-91662_statement_C	VERIFIED_AS_RH_CONSEQUENCE	info	all finite safe-Xi Hankel pairs PD after RH	none beyond RH premise
X-91692	REGRESSION_ONLY	info	exact synthetic finite algebra	add arithmetic factor-67 and normalization checks
RH	UNPROVEN	fatal	none	complete native producer and endpoint reconstruction
