kind	formal_id	owner	lean_declaration	lean_module	reported_formal_status	source_commit	source_path	source_git_blob	c_review_scope	definition_source_path	definition_git_blob	independent_c_verdict	scope_note
CANONICAL	CONSUMER.MELLIN.FIXED_ROW	A	RiemannFormal.Analysis.FixedDetectorReciprocalZetaIdentity	RiemannFormal.Analysis.FixedDetectorConsumer	STATED	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/A.tsv	6a27f863aa4df8ae8aba84eb564d941fac0660a5	declaration and defining body read; source-level desk audit; NOT_COMPILED; dependency closure incomplete	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean	312e1e94cd29e1fce7a0b0b5f89064c338d5db68	INTERFACE_ONLY_NO_INSTANCE	conditional fixed source/tail and RH assembly; every analytic premise remains explicit
CANONICAL	CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	A	RiemannFormal.Analysis.fixed_mellin_singularity_transfer	RiemannFormal.Analysis.SingularityTransfer	PROVED	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/A.tsv	6a27f863aa4df8ae8aba84eb564d941fac0660a5	declaration and defining body read; source-level desk audit; NOT_COMPILED; dependency closure incomplete	formal/RiemannFormal/Analysis/SingularityTransfer.lean	e598973cbd533750399d3bd7b3c5790b906d85f8	VALID_WEAKER_PREDICATE_SCOPE_FIX_REQUIRED	valid transfer for the weaker not-analytic-at predicate; punctured nonremovability not encoded by that predicate
CANONICAL	CONSUMER.MELLIN.ZERO_SAFE_BOX	A	RiemannFormal.Analysis.logBoxMultiplier_nonzero	RiemannFormal.Analysis.MellinAPI	PROVED	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/A.tsv	6a27f863aa4df8ae8aba84eb564d941fac0660a5	declaration and defining body read; source-level desk audit; NOT_COMPILED; dependency closure incomplete	formal/RiemannFormal/Analysis/MellinAPI.lean	bc2a284d9a51e13235fdc5e55866c87d1593105c	FINITE_ALGEBRA_DESK_SUPPORTED_NOT_KERNEL_REPLAYED	tail convention and convergent Jordan decomposition; fixed A>1 logarithmic-box nonvanishing on Re(s)>0
CANONICAL	CONSUMER.MELLIN.SPECIALIZED_LANDAU	A	RiemannFormal.Analysis.nonnegative_landau_boundary	RiemannFormal.Analysis.LandauConsumer	PROVED_CONDITIONAL	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/A.tsv	6a27f863aa4df8ae8aba84eb564d941fac0660a5	declaration and defining body read; source-level desk audit; NOT_COMPILED; dependency closure incomplete	formal/RiemannFormal/Analysis/LandauConsumer.lean	9c40d6b04303a717dd48f18d065483cf1673c122	CONDITIONAL_ASSEMBLY_PREMISES_NOT_DISCHARGED	Landau and subpower holomorphy remain supplied Props; conditional application, not internal analytic proofs
CANONICAL	API.MELLIN.SUBPOWER_NEGATIVE_MASS	A	RiemannFormal.Analysis.fixedDetector_negativeMass_implies_RH	RiemannFormal.Analysis.FixedDetectorConsumer	PROVED_CONDITIONAL	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/A.tsv	6a27f863aa4df8ae8aba84eb564d941fac0660a5	declaration and defining body read; source-level desk audit; NOT_COMPILED; dependency closure incomplete	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean	312e1e94cd29e1fce7a0b0b5f89064c338d5db68	CONDITIONAL_ASSEMBLY_PREMISES_NOT_DISCHARGED	conditional fixed source/tail and RH assembly; every analytic premise remains explicit
CANONICAL	CONSUMER.MELLIN.TWO_ROW	B	RiemannFormal.Arithmetic.FixedRows.rows23_no_common_zero	RiemannFormal.Arithmetic.FixedRows	PROVED	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/B.tsv	09d6c8889ee239d33328002fd918040548a371b6	declaration and defining body read; source-level desk audit; NOT_COMPILED; dependency closure incomplete	formal/RiemannFormal/Arithmetic/FixedRows.lean	efda0451b4745110c3bad366935ce4efea9dd729	FINITE_ALGEBRA_DESK_SUPPORTED_NOT_KERNEL_REPLAYED	exact complex numerator algebra on open unit disk; no native negative-mass estimate
CANONICAL	CONSUMER.MELLIN.FIVE_THREE	B	RiemannFormal.Arithmetic.FixedRows.fiveThree_nonzero	RiemannFormal.Arithmetic.FixedRows	PROVED	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/B.tsv	09d6c8889ee239d33328002fd918040548a371b6	declaration and defining body read; source-level desk audit; NOT_COMPILED; dependency closure incomplete	formal/RiemannFormal/Arithmetic/FixedRows.lean	efda0451b4745110c3bad366935ce4efea9dd729	FINITE_ALGEBRA_DESK_SUPPORTED_NOT_KERNEL_REPLAYED	exact complex numerator algebra on open unit disk; no native negative-mass estimate
CANONICAL	OPEN.ARITH.ROWS23_NATIVE	B			BLOCKED_MATHEMATICS	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/B.tsv	09d6c8889ee239d33328002fd918040548a371b6	catalog explicitly has no declaration for this open producer			OPEN_PRODUCER_NO_DECLARATION	No failure or acceptance of A/B inferred; scientific disposition pending integrator reconciliation
CANONICAL	OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS	B			BLOCKED_MATHEMATICS	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/B.tsv	09d6c8889ee239d33328002fd918040548a371b6	catalog explicitly has no declaration for this open producer			OPEN_PRODUCER_NO_DECLARATION	No failure or acceptance of A/B inferred; scientific disposition pending integrator reconciliation
CANONICAL	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	B			BLOCKED_MATHEMATICS	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/B.tsv	09d6c8889ee239d33328002fd918040548a371b6	catalog explicitly has no declaration for this open producer			OPEN_PRODUCER_NO_DECLARATION	No failure or acceptance of A/B inferred; scientific disposition pending integrator reconciliation
