semantic_id	source_pr	source_head_sha	source_path	source_claim_id	false_statement	counterexample_or_no_go	review_verdict	evidence_tier	what_survives	current_replacement	notes
REFUTE.PARITY.ODD_HISTORY	561	db9bdc63c855c6ddf664b763d748f8155a6a2c67	claims/refutations/R-96500-odd-history-reverses-the-target-lorenz-leaf.md	R-96500	Parity-blind terminal Target-Lorenz gluing works on every rough history.	X=61841, history (67), terminal (71,13), gap >17.	FALSE	SMALL_INDEPENDENT_FIXTURE	Accumulated parity ledger and global common-source alternatives.	Source-faithful first/double-owner decompositions.	
REFUTE.NATIVE.ALPHA_CHILD	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/refutations/R-99600-alpha-child-hazard-is-not-the-native-euler-source.md	R-99600	Contracted alpha child is the native Euler update.	one-prime r versus 2r^2/net zero coefficient.	FALSE	LIGHT_EXACT_REPLAY	RN child location and causal parent identity.	Sequential first-owner identity.	
REFUTE.NORMALIZATION.P_HALF	667	7c044d232198265974dd8f4a530b98c6653dba55	claims/refutations/R-99900-normalized-box-source-mismatch.md	R-99900	Normalized box uses p^-1/2 activity.	Exact division by sqrt(X) yields beta(n)/n and p^-1.	FALSE	LIGHT_EXACT_REPLAY	Unnormalized p^-1/2 kernel identities.	Native p^-1 normalized operator.	
REFUTE.WAVELET.FLOOR_KERNEL	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/refutations/R-100130-positive-floor-kernel-cancels-the-zeta-detector.md	R-100130	Positive floor-kernel Mobius transform detects zeta zeros.	Finite Mobius inversion gives sum q_j; zeta factor cancels.	REFUTED_MECHANISM	LIGHT_EXACT_REPLAY	Tautological finite positivity.	Minimal wavelet or fixed-row zero-safe detector.	
REFUTE.ROOT.EXCESS_ONLY	706	44828a27c63bfc57dce12d67e980db33f4d55c3a	claims/lemmas/L-104100-root-containing-square-firewall.md	L-104100	Small positive excess controls the root in Q=|g|^2+E.	E=0 and arbitrary g.	REFUTED_MECHANISM	LIGHT_EXACT_REPLAY	Positive square decompositions.	Strict root return plus root-free packing.	
REFUTE.XD.K0_K1_EDGE	705	027ea8bd5c879a190e9e22620c245a81f7b93b73	claims/refutations/R-103200-k0-k1-hybrid-equivalence-is-mistyped.md	R-103200	K0 largest-prime and K1 Vaughan terminal forms differ only by L1.	They decompose different scalars, K1=(I-sqrt2 S2)K0.	FALSE	LIGHT_EXACT_REPLAY	Both coordinate systems separately.	Same-K1 L-103201 equivalence.	
REFUTE.XD.SHORT_ENERGY	694	e6d923c1069f5a481abdf0769ca6d870a8b5ae4b	claims/refutations/R-100710-scme100704-is-false.md	R-100710	Short-sector L2 energy is subpower.	Singleton prime main term gives 2^L/L^2 energy.	FALSE	LINE_BY_LINE_RECONSTRUCTION	Long sector eventual positivity and carrier cancellation.	Project short+long to common sum before norms.	
REFUTE.CV.DESMOOTHING	699	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/refutations/R-101100-positive-completed-collar-does-not-desmooth-to-cv.md	R-101100	Positive adaptive completion implies fixed CV by positive desmoothing.	Finite desmoothing signed; moving cutoff changes detector.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Completed collar positivity.	Complete signed source-transfer estimate SCTV.	
REFUTE.REGIONAL.CARRIER_LOSS	699	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/refutations/R-101101-separate-regional-norms-destroy-the-xd-carrier.md	R-101101	Short and long sectors may be normed separately before recombination.	Opposite sqrt(X)/log X carriers cancel only in sum.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Exact source partition.	Carrier-preserving projection/matched transfer.	
REFUTE.VAUGHAN.POSITIVE_BSPLINE_TYPEI	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/refutations/R-102000-positive-bspline-does-not-inherit-typei-zero-moment-decay.md	R-102000	A positive compact spline automatically inherits the Type-I zero moment.	Positive half-order moment is nonzero.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Positive spline and Mellin noncancellation.	Explicit differential ratio-four factorization.	
REFUTE.STAIRCASE.CONE_ITERATION	703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/refutations/R-102100-seventeen-sixteenths-harnack-cone-is-not-invariant.md	R-102100	One-prime Harnack cone iterates through arbitrary native factors.	Directed finite native completion separator.	FALSE	SMALL_INDEPENDENT_FIXTURE	One-prime Harnack and positive width corridors.	Balanced source sum / Perron packet.	
REFUTE.BPOE.LOCAL_CONE	707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/refutations/R-103300-local-transition-cone-is-not-native-invariant.md	R-103300	Local positive cubic transition defines a native invariant cone.	Two subsequent native factors reverse the transition.	FALSE	SMALL_INDEPENDENT_FIXTURE	Unsieved local transition and phase amplitude.	Physical occupancy embedding BPOE.	
