semantic_id	lean_declaration	source_object	cross_verdict	evidence	scope_or_defect	integration_recommendation
OPERATOR.PICK.TWO_POINT.IDENTITY	RiemannFormal.Operator.two_point_pick_identity	L-92000.4 @ c079c2ef21022be951027de1316aecf1168422c1	FORMALLY_VERIFIED	Exact field identity; symbolic numerator reduces to zero.	Distinct/nonzero denominator explicit.	Canonicalize.
OPERATOR.XI.PICK_ORDER2	RiemannFormal.Operator.actualXiPickOrderTwo_of_monotonicity	L-91905 @ bb7327d21c47410820cda2671f45dbe709a72eea	PROVED_CONDITIONAL	Generic PSD implication from positive pivot and two scalar monotonicities.	Actual-Xi analytic monotonicities remain external.	Keep conditional; do not advertise unconditional formalization.
OPERATOR.XI.PICK_ORDER3.DETERMINANT	RiemannFormal.Operator.three_node_pick_determinant_identity	L-92000 @ c079c2ef21022be951027de1316aecf1168422c1	FORMALLY_VERIFIED_WITH_FIXES	Exact determinant/divided-difference identity; independent symbolic replay PASS.	Formal theorem generalizes source ordering to algebraic nondegeneracy.	Record generalization and source node convention.
OPERATOR.PICK.RECIPROCAL_DD	RiemannFormal.Operator.pickFactorA_divided_difference	L-92000 @ c079c2ef21022be951027de1316aecf1168422c1	FORMALLY_VERIFIED	Exact factor A identity.	Nonzero p and distinct nodes explicit.	Canonicalize.
OPERATOR.PICK.COMPANION_DD	RiemannFormal.Operator.pickFactorB_divided_difference	L-92000 @ c079c2ef21022be951027de1316aecf1168422c1	FORMALLY_VERIFIED	Exact factor B identity.	Distinct nodes explicit.	Canonicalize.
OPERATOR.MATRIX.LDL2	RiemannFormal.Operator.ldl2_identity	finite matrix algebra	FORMALLY_VERIFIED	Exact completion of squares.	None.	Canonicalize.
OPERATOR.MATRIX.LDL3	RiemannFormal.Operator.ldl3_identity	finite matrix algebra	FORMALLY_VERIFIED	Exact congruence identity; independent symbolic replay PASS.	None.	Canonicalize.
OPERATOR.MATRIX.PSD_PD	RiemannFormal.Operator.zero_psd2_not_pd2	finite matrix algebra	FORMALLY_VERIFIED	Explicit zero-matrix PSD/non-PD witness.	None.	Canonicalize firewall.
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	RiemannFormal.Operator.Jet2.reciprocalConcavity_add	L-92100 @ 880d14cb4bcbf542ec199137d60c58d9a8fd723d	FORMALLY_VERIFIED	Cross-square certificate and finite positive-sum closure are exact.	Finite positive sums only.	Canonicalize finite theorem.
OPERATOR.XI.OFFLINE_DEFECT	RiemannFormal.Operator.Jet2.offLineOrbit_defect_formula	L-92101.1 @ 880d14cb4bcbf542ec199137d60c58d9a8fd723d	FORMALLY_VERIFIED	Exact defect formula; symbolic replay PASS.	Local jet formula only.	Canonicalize.
OPERATOR.XI.CRITICAL_ZERO_CURVATURE	RiemannFormal.Operator.Jet2.criticalOrbit_energy_zero	L-92101.1 @ 880d14cb4bcbf542ec199137d60c58d9a8fd723d	FORMALLY_VERIFIED	Exact zero-curvature identity.	Local jet formula only.	Canonicalize.
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	RiemannFormal.Operator.Jet2.oneOrbitAbsorption	L-92101 @ 880d14cb4bcbf542ec199137d60c58d9a8fd723d	STATEMENT_MISMATCH	Lean proves a generic implication assuming defect <= epsilon*cross.	The source theorem's cross formula, epsilon=2m*kappa/(1-kappa), positivity range, and <=9m/b^2 are absent.	Split semantic ID; mark source-specific theorem BLOCKED_MATHEMATICS.
OPERATOR.XI.FINITE_RESERVE_ALLOCATION	RiemannFormal.Operator.Jet2.finiteReserveAllocation	L-92102 finite ledger	FORMALLY_VERIFIED_WITH_FIXES	Algebraic leftover epsilon0 exists when sum epsilon<1.	No epsilon_i >=0 hypothesis; not tied to one critical orbit or multiplicities.	Add nonnegative-share and ownership hypotheses.
