route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91726-sharp-target-monotonicity-closes-the-factor67-weighted-child-mass-gate.md	L-91726	SHARP target monotonicity gives actual child mass nonexpansivity	UNCONDITIONAL THEOREM	VERIFIED	live	ROUTE INFRASTRUCTURE	L-91375; L-91650; L-91658	pointwise and integrated target-mass inequality		retain	Correct at target-coordinate scope.
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91732-factor67-direct-integrals-have-actual-target-normalized-children.md	L-91732	aggregate and variable-list child target mass is below one eighth	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live	ROUTE INFRASTRUCTURE	L-91650; L-91375.9; L-91658; L-91674	actual-mass Tonelli contraction and optional normalization		retain with provenance clarification	Global-list B_i should be explicitly restricted to the first-owner source slice; variable-list form is cleanest.
factor67-root	479	518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b	claims/lemmas/L-91723-factor67-all-column-reserve-uses-square-root-thinning.md	L-91723	all physical columns admit a square-root-thinning reserve	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	live	CONDITIONAL IMPLICATION	L-91111; L-91691	all-column constants and strict reserve		retain arithmetic; supersede ownership prose	Original jq<K ownership prose is replaced by the actual retained-cell seed in L-91733.
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91733-retained-cell-euler-mismatch-closes-all-physical-columns.md	L-91733	retained-cell cumulative seed closes q<K without cutoff atom	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live	ROUTE INFRASTRUCTURE	L-91111; L-91114; L-91691	full-cell retained-set identity and constants		retain; add partial-cell theorem	Activation collars in x can cut endpoint cells partially; exact ownership at that interface is not yet shown.
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91734-activation-knot-collars-have-vanishing-score-by-absolute-continuity.md	L-91734	activation collars have vanishing score and retained cells admit relative refinement	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live	ROUTE INFRASTRUCTURE	L-91107; L-91674; L-91733	absolute-continuity score removal and compact-cell interpolation		retain conditional interface	Depends on actual endpoint-frame source interpretation and a compatible partial-cell realization.
factor67-root	479	518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b	claims/lemmas/L-91725-factor67-causal-route-has-one-uncolored-common-root-port.md	L-91725	positive integration gives one uncolored aggregate root port	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live	ROUTE INFRASTRUCTURE	L-91320 narrow matrix displays; L-91674	abstract PSD aggregation and zero child port		retain narrow scope	Complete correction demand D_s is assumed, not instantiated.
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91737-factor67-retained-root-target-mass-is-below-3020.md	L-91737	physical retained root target mass is below 3020	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live	ROUTE INFRASTRUCTURE	L-91690; endpoint measure interpretation	arithmetic bound conditional on actual measure		retain	Correctly does not use certificate count 54 as target mass.
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91727-packet-native-slack-is-an-exact-cocycle.md	L-91727	packet-native slack and deficit satisfy exact child cocycle	UNCONDITIONAL THEOREM	VERIFIED	live	ROUTE INFRASTRUCTURE	L-91378; L-91658	exact algebra once one-use capacity identity holds		retain	Does not construct the one-use root identity.
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91730-common-parent-feasibility-exports-the-exact-packet-slack-vector.md	L-91730	common-parent realization exports exact root/current/full-child slack identity	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live	PROPOSED COMPLETE THEOREM	PR #479 common-parent construction	conditional algebra after two explicit suppositions		prove concrete packet equality	The conclusion-producing root identity is assumed rather than constructed.
factor67-root	481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91736-actual-mass-children-obey-the-native-slack-cocycle.md	L-91736	actual-mass children plus one root slack give O(log X) native deficit	CONDITIONAL IMPLICATION	UNPROVEN / GAP	live	CONDITIONAL IMPLICATION	L-91730; L-91732; L-91735; L-91737	cocycle algebra and descendant decomposition		retain conditional theorem	Depends on unproved root identity and root-cost input.
