pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
80	Full complex Pick grid audit	724ba6621bcf864ffbf2f25680074198be618ea5	VERIFIED WITH FIXES	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
82	Fast independent carrier completion path	293b4491ec3b59a4e75cd80c811ae69f6625c899	GAP/BLOCKED	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Prototype/source assurance incomplete.	GAP/BLOCKED
85	Whole carrier matrix reduction to coarse gates	655a3656a7265f36c6845bd00c02058e369037be	GAP/BLOCKED	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Whole-matrix production gates incomplete.	GAP/BLOCKED
86	Circulant-completion trigger	25eae2dc8dec99d74e5a7bdea577367dd6ad02d8	GAP/BLOCKED	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Trigger-only.	SUPERSEDED/DUPLICATE
87	Zero-count audit and line-gap discrepancy detector	a374379b7adcac44f16462b9f75238c81a45b11d	VERIFIED WITH FIXES	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Local slab cannot retire global functionals.	FIX THEN MERGE
88	Direct-xi logarithmic Loewner witnesses	20b73402aef153ca543c285d3df8d5c07ffb58eb	VERIFIED WITH FIXES	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
89	Endpoint Green and coherent corner-packet thresholds	9119a43e308a2593b0c66efab0e69102e0bbac08	VERIFIED WITH FIXES	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
90	Certified critical-line-zero deflation for passivity	d00b50b4c199facf49062f0d8b7635a3e2768ae4	VERIFIED WITH FIXES	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
91	Continuous carrier packets and confluent hierarchy	7d69b64186d672a5fbe71f956fb1a0471eebb6e9	GAP/BLOCKED	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Closed-form/form-core passage missing.	GAP/BLOCKED
92	PR71 gap-discrepancy trigger	eece42cf8aef93c82c3e8f63e09b048c7bca2abf	GAP/BLOCKED	reports/gpt56-03-review/2026-08-01-pre-public-pr80-98-review.md	43b1c54187dd0abdc4cbc34fa1a692b25fbe92cf	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Trigger-only.	SUPERSEDED/DUPLICATE
