path	role	bytes
COMPUTATIONS.md	root scientific index	4860
HISTORY.md	root scientific index	72965
OPEN_CUTS.md	root scientific index	12283
PROOF_GRAPH.md	root scientific index	9465
README.md	root scientific front door	5076
REFUTATIONS.md	root scientific index	9134
RESULTS.md	root scientific index	37407
STATUS.md	root scientific index	7008
canonical/2026-08-22/README.md	machine-readable canonical mirror	1083
canonical/2026-08-22/SHA256SUMS	machine-readable canonical mirror	883
canonical/2026-08-22/aliases.tsv	machine-readable canonical mirror	3929
canonical/2026-08-22/claims.tsv	machine-readable canonical mirror	95757
canonical/2026-08-22/computations.tsv	machine-readable canonical mirror	7924
canonical/2026-08-22/conflicts.tsv	machine-readable canonical mirror	6837
canonical/2026-08-22/edges.tsv	machine-readable canonical mirror	11215
canonical/2026-08-22/extraction_plan.tsv	machine-readable canonical mirror	43719
canonical/2026-08-22/families.tsv	machine-readable canonical mirror	7270
canonical/2026-08-22/manifest.json	machine-readable canonical mirror	1742
canonical/2026-08-22/pr_dispositions.tsv	machine-readable canonical mirror	136057
canonical/2026-08-22/refutations.tsv	machine-readable canonical mirror	10248
canonical/consumers/mellin-landau/CLAIMS.tsv	canonical Mellin-Landau consumer	7818
canonical/consumers/mellin-landau/CONTRACT.md	canonical Mellin-Landau consumer	1652
canonical/consumers/mellin-landau/EDGES.tsv	canonical Mellin-Landau consumer	1767
canonical/consumers/mellin-landau/FIVE_THREE_SCALAR.md	canonical Mellin-Landau consumer	489
canonical/consumers/mellin-landau/FIXED_ROWS_2_3.md	canonical Mellin-Landau consumer	656
canonical/consumers/mellin-landau/HOLOMORPHIC_DEFECTS.md	canonical Mellin-Landau consumer	641
canonical/consumers/mellin-landau/MULTIPLIER_FIREWALLS.md	canonical Mellin-Landau consumer	1123
canonical/consumers/mellin-landau/NEGATIVE_MASS.md	canonical Mellin-Landau consumer	548
canonical/consumers/mellin-landau/README.md	canonical Mellin-Landau consumer	1061
canonical/consumers/mellin-landau/SHA256SUMS	canonical Mellin-Landau consumer	909
canonical/consumers/mellin-landau/validate_consumer.py	canonical Mellin-Landau consumer	1880
canonical/consumers/mellin-landau/validation.json	canonical Mellin-Landau consumer	221
integration/2026-08-22/ALIASES.tsv	frozen integration release	3929
integration/2026-08-22/CLAIMS.tsv	frozen integration release	95757
integration/2026-08-22/COMPUTATIONS.tsv	frozen integration release	7924
integration/2026-08-22/CONFLICTS.tsv	frozen integration release	6837
integration/2026-08-22/DIRECT_MAIN_SUMMARY.md	frozen integration release	1048
integration/2026-08-22/EDGES.tsv	frozen integration release	11215
integration/2026-08-22/EXTRACTION_PLAN.tsv	frozen integration release	43719
integration/2026-08-22/FAMILIES.tsv	frozen integration release	7270
integration/2026-08-22/FIXES_REQUIRED.md	frozen integration release	3121
integration/2026-08-22/FREEZE.json	frozen integration release	3038
integration/2026-08-22/ISSUE_ARCHAEOLOGY.md	frozen integration release	698
integration/2026-08-22/LATE_RESEARCH_QUEUE.md	frozen integration release	665
integration/2026-08-22/PR_DISPOSITIONS.tsv	frozen integration release	136057
integration/2026-08-22/README.md	frozen integration release	2944
integration/2026-08-22/RECONCILIATION_CHANGELOG.md	frozen integration release	988
integration/2026-08-22/REFUTATIONS.tsv	frozen integration release	10248
integration/2026-08-22/RELEASE_FILES.tsv	frozen integration release	9561
