review_id	packet	commit	proof_path	proof_blob	subject	recommendation	scope	proof_check	dependencies	remaining_hold_or_correction	canonical_acceptance_changed
R2-WP-01	WP	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/PROOF.md	644392c4a59edff697851fe526b8da5de96492cf	Four-periodic extension and full L=1 source positivity	REPLAY_SUPPORT_AT_STATED_SCOPE	All complex L2 tests on intervals of length <=1; actual W; no uniform L2 gap	Positive atoms plus all finite coefficients and analytic tail; exact 3delta/4 Fourier normalization	WP primitives; source formula and inherited complete-kernel convention	No all-window implication; no independent second special-function backend	false
R2-WP-02	WP	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/PROOF.md	644392c4a59edff697851fe526b8da5de96492cf	Specified effective S1 lower sign	RECOMMEND_CONDITIONAL	Source-defined undamped q and its specified finite complement	Same normalization and basis Gram; inverse/trial metric not silently changed	R2-WP-01; prior energy-completed Schur theorem	Carry energy-space source assumptions; no universal finite-dimensional RH reduction	false
R2-WP-03	WP	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/PROOF.md	644392c4a59edff697851fe526b8da5de96492cf	Published coefficient result reproduced	REPLAY_SUPPORT_AT_STATED_SCOPE	2049 modes; 256 rational phase residues; all-index tail test	Normal and optimized result bytes equal a94e20c9cbdb16e29fc95d5a95d6be9e660de2e5	Five-file authenticated replay wrapper uses WP three-file subset	Original package-wide suite and witness optimization not run	false
R2-IE-01	IE	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/PROOF.md	afb721d6eddae8eb4fe861091f9747394bd7c708	Classical defect and exact target identities	RECOMMEND_AT_STATED_SCOPE	Actual A=B O; no singular inner; all off-line multiplicities; unit exponential versus ramp	Boundary factorization, projection and Schwarz-Pick reconstructed	Classical Hardy/BSY ingredients; source g	Not J=0; no novelty claim	false
R2-IE-02	IE	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/PROOF.md	afb721d6eddae8eb4fe861091f9747394bd7c708	Moment/strip positive refinement	RECOMMEND_AT_STATED_SCOPE	Literal zeta strip; convergent logarithmic moments and Blaschke sums	Second moment fixes derivative; tau nonnegative and correct upper range	R2-IE-01; actual strip restriction	Synthetic extremizers not zeta	false
R2-IE-03	IE	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/PROOF.md	afb721d6eddae8eb4fe861091f9747394bd7c708	Finite entropy limit and optional rate	RECOMMEND_CONDITIONAL	j_N decreases to J; rate only on HC1 hypothesis	Toeplitz cofactor and projection identity; Lipschitz logarithm on stated lower floor	Classical cyclicity; rate inherits S817 pass1 review	Convergence to a possibly nonzero limit; HC not freshly reviewed	false
R2-IE-04	IE	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/PROOF.md	afb721d6eddae8eb4fe861091f9747394bd7c708	J<27/1000 from complete degree-six trial	REPLAY_SUPPORT_AT_STATED_SCOPE	New unit exponential target; no prefix constraint; all 2047 cells and whole tail	160-bit certify(core) normal/O; periodic-Bernoulli primitive remainder independently reconstructed	R2-IE-01; authenticated reused core	No optimum lower bound; entire original check.py/test suite not executed	false
R2-RC-01	RC	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-08-rational-residual-capture/PROOF.md	e7b0dfd9db3a114962ed610c9b19900df135b58b	Period mean and complete Abel tail	RECOMMEND_AT_STATED_SCOPE	All balanced complex coefficients with support <=N; integer H	CRT covariance; rational frequency separation; block bound; Abel tail	Elementary finite Fourier and divisor identities	Reviewer finite tests are not infinite proof	false
R2-RC-02	RC	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-08-rational-residual-capture/PROOF.md	e7b0dfd9db3a114962ed610c9b19900df135b58b	Relative form approximation and minimum sandwich	RECOMMEND_AT_STATED_SCOPE	Every fixed nonempty affine class; H=2C_N ceil sqrt N; eta<1/N	V<=4C_NE before optimization; finite-dimensional coercivity	R2-RC-01; exact affine hypotheses	Logarithmic jet constraints are not rational; no infimum over all N from one N	false
R2-RC-03	RC	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-08-rational-residual-capture/PROOF.md	e7b0dfd9db3a114962ed610c9b19900df135b58b	Small-cost centering and bounded native completion	RECOMMEND_AT_STATED_SCOPE	Growing correction support; old prefix and stated safe jets retained	Three-index (1-2^(1-s))^2; rational two-block completion; all tail retained	Balance and original residual norm	No fixed-support equality or estimate of earlier energy	false
