computation_id	reviewer_b_status	reviewer_a_cross_status	source_pr	source_sha	artifact_or_method	heavy_rerun	light_check	finding	required_action
COMP.REVIEWER_B.LIGHT_REPLAYS	LIGHT_EXACT_REPLAY	AGREE_VERIFIED_WITH_FIXES	review	eb1987502ef9043e782ac6ab1e19c47be9daef93	six symbolic/Fraction modules plus retained JSON	NO	Inspected scripts and scope statements	Replays are honest local evidence only.	Retain; do not use to upgrade analytic/global classifications.
COMP.REVIEWER_B.REGISTRY_VALIDATION	CLAIMED_IN_PR_BODY	INTEGRATOR_DECISION_REQUIRED	review	eb1987502ef9043e782ac6ab1e19c47be9daef93	no retained registry validator among 25 files	NO	Compared run_all.py module list with PR-body verification claims	Schema/count/endpoint/reachability checks are not reproducible from the packet.	Add deterministic registry validator and output before reconciliation.
COMP.XI.ORDER3.SOURCE_REPLAY	CORRUPT_SYNTAX	AGREE_VERIFIED_WITH_FIXES	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	experiments/X-92100-critical-reserve-allocation/verify.py	NO	Read exact Git blob; malformed qpp and U+*4 expressions confirmed	Historical PASS is unauthenticated; independent clean replay supports local algebra.	Replace source replay and hash fresh output.
COMP.XI.ORDER3.CLEAN_REPLAY	CLEAN_LIGHT_REPLAY_PASS	AGREE_VERIFIED_WITH_FIXES	review	eb1987502ef9043e782ac6ab1e19c47be9daef93	replay_xi_pick_order3.py	NO	Inspected determinant, sum-closure, orbit and budget checks	Supports finite algebra and printed budget, not external verification or infinite assembly.	Retain with explicit evidence boundary.
COMP.XI.EXTERNAL_ZERO_HEIGHT	RETAINED_HEAVY_CERTIFICATE	AGREE_VERIFIED_WITH_FIXES	438/446	bb7327d21c47410820cda2671f45dbe709a72eea/880d14cb4bcbf542ec199137d60c58d9a8fd723d	Platt-Trudgian finite-height theorem	NO	Checked legal use and exact height; did not rerun campaign	Critical-line verification is sufficient for height; simplicity is separate and useful for current regrouping.	Repair canonical citation/source lock and state which property is used.
COMP.Q4.ANNULAR_KERNELS	LIGHT_EXACT_REPLAY	AGREE_VERIFIED_WITH_FIXES	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	representative filter/support/inverse checks	NO	Inspected exact source theorem and replay scope	Representative replay does not authenticate every ten-band coefficient, but method/artifact audit is adequate with fixes.	Pin exact kernel certificate/hash.
COMP.Q4.FIVE_MILLION_RECON	EMPIRICAL_ONLY	AGREE_VERIFIED	606	327c0967c67e7efa08fcb62937ca1730f8c24069	floating cross-sign reconnaissance	NO	No rerun	Correctly excluded from theorem evidence and reachability.	Retain only as observation.
COMP.SHARP.H67.1E8	RETAINED_HEAVY_CERTIFICATE	AGREE_VERIFIED_WITH_FIXES	653	e928fd615d753882706bb88c51b717bd8d4a86ba	directed 10^8 campaign	NO	Source/method scope only	Finite evidence only; exact retained paths are under-specified in Reviewer B registry.	Pin every retained artifact and hash; Reviewer A arithmetic verdict controls.
COMP.BROWNIAN.BOHR	REVIEW_IMPORTED	AGREE_VERIFIED_WITH_FIXES	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	analytic selected-prime/vertical-limit review	NO	Imported controlling review checked	No heavy scan needed for no-go; scope must remain within reviewed mixture class.	Retain binding firewall.
COMP.FREDHOLM.REPLAYS	METHOD_AUDITED	AGREE_VERIFIED_WITH_FIXES	373/387	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794/388ba7feb9927025d46a70963389ec45c9ead2ac	finite spectral fixtures and analytic fixed-degree no-go	NO	No Nystrom/matrix sweep	Local identities/no-go survive; all-order sign remains open.	Pin exact source paths before extraction.
COMP.FINITE.ROBIN_PICK	RETAINED_HEAVY_CERTIFICATE	AGREE_VERIFIED_WITH_FIXES	372	9b9c2536d89b65cb999ec08e20fce3386383803a	Robin 5582/5583 and two 8x8 Pick boxes	NO	Provenance/scope only	Finite theorems do not imply RH.	Retain in finite-results index with exact certificate paths.
