item_id	assigned_task	target_evidence	exists	substantively_complete	cross_verdict	finding	required_fix
C-01	two-point Pick algebra	formal/RiemannFormal/Operator/PickAlgebra.lean; actualXiPickOrderTwo_of_monotonicity	YES	PARTIAL	PROVED_CONDITIONAL	Exact determinant identity and generic PSD implication exist; the actual-Xi monotonicities are not formalized.	Keep the canonical row conditional and state the exact missing monotonicity theorems.
C-02	exact three-node determinant factorization	formal/RiemannFormal/Operator/PickAlgebra.lean; comparator XiPickThreeNode	YES	YES	FORMALLY_VERIFIED_WITH_FIXES	Exact symbolic identity matches L-92000.7. The Lean theorem is an algebraic generalization of the source's ordered-positive node scope.	Document the scope generalization and retain explicit nonzero denominators/distinct squared nodes.
C-03	reciprocal and companion divided differences	pickFactorA_divided_difference; pickFactorB_divided_difference; secondDivDiff_add_nonpositive	YES	YES_FOR_FINITE_ALGEBRA	FORMALLY_VERIFIED_WITH_FIXES	Both finite factorizations and linearity are exact. No grouped actual-Xi curvature sign is proved.	Do not map finite additivity alone to the full actual-Xi companion-curvature semantic claim.
C-04	finite LDL and congruence identities	formal/RiemannFormal/Operator/FiniteMatrix.lean	YES	YES	FORMALLY_VERIFIED	LDL2/LDL3, coordinate swaps, and duplicate-row quadratic reductions are exact finite identities.	Canonicalize as finite algebra.
C-05	PSD versus PD separation	IsPSD2/3; IsPD2/3; zero_psd2_not_pd2; principal-minor theorems	YES	YES	FORMALLY_VERIFIED	PSD and PD are separately defined; zero matrix witness blocks silent strengthening.	Retain PSD as the order-three headline conclusion.
C-06	reciprocal-concavity positive-sum closure	Jet2.reciprocalConcavity_add	YES	YES	FORMALLY_VERIFIED	Exact cross-square certificate proves finite positive-sum closure.	Canonicalize at finite-jet scope.
C-07	off-line orbit curvature	Jet2.offLineOrbit_defect_formula	YES	YES	FORMALLY_VERIFIED	Exact rational formula is kernel-checkable.	Canonicalize exact local formula.
C-08	critical-orbit reserve algebra	criticalOrbit_energy_zero; energy_add_scaled; oneOrbitAbsorption	YES	NO_FOR_SOURCE_THEOREM	STATEMENT_MISMATCH	The generic absorption lemma assumes the decisive payment inequality. It does not formalize L-92101's cross-curvature formula, epsilon choice, or 9m/b^2 bound.	Split a proved generic absorption API from the still-unformalized source-specific L-92101 theorem.
C-09	finite reserve allocation	finiteReserveAllocation; reciprocalSquareTailBudget; criticalReserveAllocation_of_inputs	YES	PARTIAL	FORMALLY_VERIFIED_WITH_FIXES	The finite sum algebra is exact, but nonnegative allocation shares and source/orbit indexing are absent; the external-input bundle is unused.	Add nonnegativity, one-ledger ownership, multiplicity/orbit indexing, and exact source-specific hypotheses.
C-10	honest conditional actual-Xi PSD through order three	actualXiPickOrderThreeConditional	YES	NO	STATEMENT_MISMATCH	No actual Xi function or exact analytic proposition is present. Six named arbitrary Props are inert, core curvature signs are assumed, and the repeated-node branch assumes the desired PSD conclusion.	Define exact locked external propositions, connect them to the scalar signs, and derive repeated nodes rather than assume PSD.
C-11	repeated-node handling	duplicate12/23 lemmas; hrepeated parameter	YES	NO	INCOMPLETE_PUBLICATION	Generic duplicate-row lemmas exist but are not connected to actual Pick data. The headline theorem delegates all repeated cases to a full PSD premise.	Model p as a function of the node, prove equal positive nodes give equal p-values, and reduce by duplicate12/23 plus order-two PSD.
C-12	exact operator firewalls	MatrixFirewalls.lean; HeatQ4Firewalls.lean	YES	YES_AT_DECLARED_FINITE_SCOPE	FORMALLY_VERIFIED_WITH_FIXES	All six requested finite counterexamples are present and do not refute stronger source-specific theorems. The inertia/current wording is informal rather than a defined inertia invariant.	Retain minimal-witness scope and sharpen names/descriptions where necessary.
C-13	finite Hermite/Q4 identities	HeatQ4Finite.lean	YES	YES_AT_FINITE_SCOPE	FORMALLY_VERIFIED	Hermite recurrences, Q4 filters, and zero-bare determinant identity are exact.	Keep full heat/Q4 analytic claims blocked.
C-14	three required comparator topics	Challenge/ChallengeDeps/Solution/PrintAxioms/config files	YES	PARTIAL	STATEMENT_MISMATCH	XiPickThreeNode and Schur-rescue match their finite statements. XiPickOrderThreeConditional tests only the ordered-distinct generic implication, not the repeated-node headline theorem.	Replace or add a comparator for the exact full conditional headline after repeated-node repair.
C-15	C.tsv	formal/registry/deltas/C.tsv	YES	NO	QA_FALSE_POSITIVE	Several semantic rows are marked PROVED/PROVED_CONDITIONAL by mapping stronger source claims to weaker generic lemmas.	Downgrade or split ONE_ORBIT, CRITICAL_RESERVE_BUDGET, ACTUAL reciprocal concavity, TP curvature, and PICK_ORDER3 rows.
C-16	content-C.tex	formal/blueprint/src/content-C.tex	YES	NO	INCOMPLETE_PUBLICATION	The prose says source-specific reserve and exact external inputs are formalized, but only generic assumptions/labels are present.	Rewrite blueprint to distinguish exact finite algebra from unformalized source-specific and analytic statements.
C-17	declaration QA report	formal/reports/C_OPERATOR_QA.md and .tsv	YES	NO	QA_FALSE_POSITIVE	The report manually marks source_locked/comparator_checked/axiom_audited and overstates semantic coverage.	Regenerate evidence from declarations and comparator/audit files, not manually asserted booleans.
