source	pr	branch	prior_observed_head	pass2_observed_head	review_anchor_for_listed_files	close_check_head	status	resume
S803	803	research/astra/20260906-logarithmic-core-certification	bcec690c1607e281bd6f741b68f5c50f556670c7	31a35a90b0b924dc98a2c89c463fb59577f45a4e	31a35a90b0b924dc98a2c89c463fb59577f45a4e	31a35a90b0b924dc98a2c89c463fb59577f45a4e	PASS1_LATE_DELTA_PARTLY_REVIEWED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S804	804	research/astra/20260906-sharp-jordan-green-closure	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad		0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S805	805	research/astra/20260906-dilation-observability	602d7ddf9dbd2ba79bd6cada149772111ca72150	602d7ddf9dbd2ba79bd6cada149772111ca72150		602d7ddf9dbd2ba79bd6cada149772111ca72150	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S811	811	research/astra/20260907-logarithmic-domain-transfer	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S812	812	research/astra/20260907-future-realization	2d683186cb3dd4f304159d8176215ceae8ac59fb	2d683186cb3dd4f304159d8176215ceae8ac59fb	2d683186cb3dd4f304159d8176215ceae8ac59fb	2d683186cb3dd4f304159d8176215ceae8ac59fb	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S814	814	research/astra/20260907-source-stability	dc7babb830cb696810fb68bd74f6a33459f5f921	dc7babb830cb696810fb68bd74f6a33459f5f921	dc7babb830cb696810fb68bd74f6a33459f5f921	dc7babb830cb696810fb68bd74f6a33459f5f921	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S817	817	research/astra/20260907-quantitative-capture	1f97efdcf9dacd24351ecff0819c524f9bf40ec3	1f97efdcf9dacd24351ecff0819c524f9bf40ec3		1f97efdcf9dacd24351ecff0819c524f9bf40ec3	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S818	818	research/astra/20260908-critical-cutoff-taper	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	bd7bc8ee27927df5d58a3203b328c11cdc1f04db		bd7bc8ee27927df5d58a3203b328c11cdc1f04db	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S819	819	research/astra/20260908-intrinsic-entropy	c4fb013692c51d6b26b8a3c33200615af764da82	c4fb013692c51d6b26b8a3c33200615af764da82	c4fb013692c51d6b26b8a3c33200615af764da82	c4fb013692c51d6b26b8a3c33200615af764da82	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S823	823	research/astra/20260908-late-tail-zero-insertion	effa056532b951051e16f858aa59abea07a565ea	effa056532b951051e16f858aa59abea07a565ea		effa056532b951051e16f858aa59abea07a565ea	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
TSR	BRANCH_ONLY	research/astra/20260907-all-rank-spectral-rigidity	d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6	d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6		d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S825	825	research/astra/20260908-divisor-spectral-gap	e4a486d3fd4009e3722e9e93f35710b834fbd195	e4a486d3fd4009e3722e9e93f35710b834fbd195	e4a486d3fd4009e3722e9e93f35710b834fbd195	e4a486d3fd4009e3722e9e93f35710b834fbd195	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S826	826	research/astra/20260908-divisor-poincare	3a82b80da82edbcd65d4538418a3d51d6030f058	3a82b80da82edbcd65d4538418a3d51d6030f058	3a82b80da82edbcd65d4538418a3d51d6030f058	3a82b80da82edbcd65d4538418a3d51d6030f058	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S790	790	research/astra/20260905-theta-bernstein-exterior-closure		6b309554bf1e2f83a83325cd54038f5a0b9b0014	6b309554bf1e2f83a83325cd54038f5a0b9b0014	6b309554bf1e2f83a83325cd54038f5a0b9b0014	OLD_HELD_DEPENDENCY_NOT_NEW_DELTA	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S792	792	research/astra/20260905-bernstein-chebyshev-growth		465cb28ed8cbfa1bb071d9a85eeda9890decfe6b		465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S793	793	research/astra/20260905-three-route-assault		cdf2f15965decbd35afbbd09a16c89cb3e215737		cdf2f15965decbd35afbbd09a16c89cb3e215737	NO_REF_DRIFT_OBSERVED	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
S828	828	research/astra/20260908-coherent-mode-capacity		528b33ac8d57b5a046260ee45d585cd3fe720f4c		528b33ac8d57b5a046260ee45d585cd3fe720f4c	UNREAD_LATE_NEW_PACKET	Diff exact anchored FILES paths plus whole branch; inspect unread files even when diff is empty. See RESUME.md.
