pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
132	Positive-anchor direct-xi moment ladders	5c4209e184fbac2a1c4c079f805828645594949e	VERIFIED WITH FIXES	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Deduplicate against #134; retain multi-anchor adapter.	FIX THEN MERGE
133	Christoffel-Padé residual-segment budgets	7402339279f59a17baa002d68c154348a2ae8e47	VERIFIED WITH FIXES	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Allocate aliases; retain distinct segment-budget theorem.	FIX THEN MERGE
134	Positive-node degree extension as one scalar interval	74ef81273e6b670920e7683c8137bee5cdb9c3c0	VERIFIED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Preferred one-node canonical theorem form.	MERGE CANDIDATE
135	PA1 trigger with obsolete provenance contract	fb3085e4aca61592ef1c86f36ba3581415ba665d	REJECTED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Obsolete provenance contract; rejected.	REJECT/CLOSE CANDIDATE
136	Cross-height direct-xi replay trigger	0af576255f281f241c6b16f869483909bc832545	GAP/BLOCKED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
139	PA1 typed-provenance rerun trigger	20655e4b2b25539cf6587f4c4f3432e8ecf27fd8	GAP/BLOCKED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Corrected trigger, but no result artifact.	GAP/BLOCKED
140	Audit correcting Claude/Opus/Fable boundaries	5f4df90f890615bde7762278951a8adab7f0083d	VERIFIED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Integrate corrections before affected source claims.	MERGE CANDIDATE
141	Audit correcting Hermite and targeted-Li claims	e15c50341187b7c0e672594654ad9416b55c9ce7	VERIFIED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Integrate corrected inertia/refutation first.	MERGE CANDIDATE
144	Countable Weil/screw search hierarchies	dd42bda400982e395c4102a8f66d25e2bb940e26	VERIFIED WITH FIXES	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Needs genuine dense-refinement/form-density hypothesis.	FIX THEN MERGE
150	Finite Hardy-prolate criterion and reciprocal-Hardy reduction	feefc9fa68330a9821f730d634a7b9e4001cfba0	VERIFIED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
152	Squared-residual RH floor and symbol-complement reduction	bad48a791146218bb2d76a0345d7b60a6d729b64	GAP/BLOCKED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Extract finite Schur algebra; block source/cofinal claims and ID collisions.	GAP/BLOCKED
155	Ambient/packet lower-tail symbol floors	a099d1303859f26469fc582c152c725fe74f2c81	VERIFIED WITH FIXES	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
158	Target-pinned Loewner/cardinal-residue route	e2b67e5ecfe3c6742086558a792fb61766a4ce4c	GAP/BLOCKED	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)	0965166d9b12bec576d7728793d9c2542364f2c1	D_DELTA_NOT_REVIEWED	LT	Extract finite algebra only after source/namespace repairs; later head separate.	GAP/BLOCKED
159	Certified-zero visible/near-kernel split	0c94e4bd1997b47e0bd54027ed9e64ac9f7e97ce	VERIFIED WITH FIXES	reports/gpt56-pro-09-m/2026-08-01-pre-public-pr-review-132-159.md	d29dd935958d88560d73b1865185972ec06f1011	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	SW	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
