item	object	final_review_disposition	evidence	integrator_action	remaining_scope
K01	P61 full bias campaign	RESOLVED_BY_NEW_FULL_REPLAY	R25;D4-U001..003	Review new proof-producing source and replace old numeric adapter.	MPFR/GMP and analytic ramp; fixed P61 only.
K02	High-ordinate Pick68 box	RESOLVED_AT_CONDITIONAL_SCOPE	R31;D4-U004..007	Retain exact finite-box theorem; correct blob. Do not promote primitive containment.	Fresh high-ordinate special-function evaluation not performed.
K03	Pick71 primitive and checker scope	CONDITIONAL_COMPUTATION_ONLY	R31;S05	Keep original conditional-box assurance and status-specific acceptance.	512-bit production not regenerated; no unconditional producer acceptance.
K04	Larger Robin terminal streams	OUTSIDE_ACCEPTED_SCOPE	prior D report;main finite-Robin packet	Do not import10^54/10^100 traversal claims from unavailable stream hashes.	First-pass5582 endpoint and finite structural theorem remain separate.
K05	Q4 Haar and Fourier fine modes	RESOLVED_LOCAL_THEOREMS	R28	Extract exact local identities and logarithmic fine bound.	Mean/coarse and actual-measure adapter remain open.
K06	Q4 physical-bank/PIG transfer	KEEP_EXPLICIT_HYPOTHESIS	R28;prior R17/R18	Require same measure or separately proved domination.	No arbitrary sampling inference.
K07	Wavelet/SHARP/carrier/Hasse transfer	RESOLVED_WITH_TYPING	R30	Preserve signed sums, derivative convention and flow premise.	Specific PR688 phase producer unreviewed; no new independent detector.
K08	Carry reward and three convexity counterexamples	RESOLVED_PROOF_AND_REPLAY	R29	Retain exact finite refutations and conditional response identities.	Actual square-root cancellation remains open.
K09	Brownian fixed-height expansion	RESOLVED_WITH_PROOF_DETAIL	R27	Attach uniform remainder and normalization derivation.	No height-growing limit or nonsimple-root formula.
K10	Nakamura safe source identity	RESOLVED_SAFE_DOMAIN	R26	Keep signed LK measure and deterministic compensation.	sigma>1; critical continuation not accepted.
K11	Positive-source to elementary Gram promotion	REJECT_AND_REPAIR	D-F16;R26	Retain negative endpoint Grams and remove exhaustive-sign assertion.	Full form sign remains an open theorem.
K12	Full native source-owned allocation	OPEN_MATHEMATICS_NOT_A_REVIEW_DEPENDENCY	prior D-F08/F09 and native ledgers	Keep finite Farkas reductions only with corrected sign/data contract.	No all-X feasible allocation is claimed or silently accepted.
K13	P61 variation and Xi-cardinal range	CLOSED_IN_PRIOR_PASS	D-pass3 R16/R21	Preserve supplied proof adapters and exact scope.	Adaptive packet capture not fixed-grid positivity.
K14	Formal conditional consumer	SOURCE_AUDIT_COMPLETE_FOR_INSPECTED_MODULES	R31;S21..25	Keep explicit hypothesis types; do not promote generic helpers.	No fresh lake/comparator/axiom run; transitive imports uninspected.
K15	Critical signed inequalities / complete intertwiners	KEEP_OPEN	all four reports	No graph path to RH without the named mathematical hypothesis.	No finite positive scan, safe line or source analogy pays it.
K16	Unlisted historical claims and large archived branches	OUTSIDE_NEW_ACCEPTANCE	COVERAGE.tsv	Preserve prior statuses; do not blanket-merge unreviewed sources.	This is not an exhaustive proof replay of all139 rows.
K17	All previous D-F01..D-F15 repairs	REMAIN_BINDING	reviews/D;reviews/D-final;reviews/D-pass3	Review and propagate accepted repairs under new identities.	No prior finding is retired by this pass.
K18	A/B/C source/version conflicts	INTEGRATOR_RECONCILIATION	all exact source ledgers	Compare frozen SHA/path/claim, not model agreement or PR title.	Unpublished reviews are not dependencies.
